period,SBH,SBH,LBH,SBH,LBH,SBH,SBH,SBH,SBH,LBH,SBH,LBH,LBH,SBH,SBH,LBH,SBH,LBH,SBH,LBH,SBH
genre,prose,prose,prose,instruction,prose,prose,poetry,instruction,prose,list,list,list,prose,instruction,instruction,poetry,list,list,list,prose,list
domain2,Q,N,N,Q,Q,?,Q,D,D,N,N,?,?,N,?,Q,Q,Q,D,D,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,,
PRES,1.32,19.32,27.22,3.62,7.61,22.09,25.74,45.18,168.33,507.0,inf,inf,168.33,inf,62.5,83.67,126.0,inf,inf,inf,inf
PAST,8.08,1.51,3.07,42.6,24.65,30.14,108.0,435.0,61.29,35.33,42.6,32.54,47.44,86.2,inf,inf,inf,144.33,435.0,inf,435.0
PRES PART,2.42,2.87,10.39,6.32,9.79,inf,204.0,21.78,50.25,67.33,inf,204.0,101.5,33.17,inf,inf,inf,inf,inf,204.0,inf
PAST PROG,23.25,0.39,6.46,inf,47.5,23.25,inf,inf,inf,inf,96.0,inf,96.0,47.5,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,0.95,13.0,83.0,4.6,6.0,inf,41.0,83.0,83.0,83.0,inf,inf,inf,inf,41.0,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,9.5,0.62,3.42,inf,41.0,83.0,inf,inf,83.0,inf,inf,inf,83.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PART,21.33,1.09,2.72,inf,32.5,32.5,66.0,inf,32.5,66.0,15.75,66.0,inf,inf,inf,inf,inf,inf,66.0,inf,inf
PRES PROG,0.4,inf,inf,14.75,3.85,inf,inf,62.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,0.38,inf,inf,6.71,8.0,inf,53.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,53.0,inf,inf,inf
PAST PERF,12.33,1.11,1.35,inf,inf,inf,inf,inf,39.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT,0.09,inf,inf,37.0,18.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD shall,0.23,inf,inf,inf,4.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,30.0,0.24,5.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES,2.22,8.67,13.5,13.5,28.0,inf,3.14,inf,13.5,28.0,28.0,inf,inf,inf,28.0,inf,inf,inf,inf,inf,inf
PRES PERF,0.2,inf,inf,inf,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,23.0,inf,inf,inf,inf,inf
PAST ~ PAST PERF,inf,1.0,2.0,inf,11.0,inf,inf,inf,inf,inf,inf,23.0,inf,23.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,0.57,inf,inf,6.33,6.33,inf,inf,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,0.2,inf,inf,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PROG,0.12,inf,inf,inf,8.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,0.6,inf,inf,15.0,3.0,inf,15.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,0.33,inf,inf,15.0,4.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
