eng_TAM,xQt0,xQtX,WXQt,XQtl,ZQt0,WxQ0,ZQtX,WxQX,CPen,Voct
PAST..IND,-0.03,-0.06,0.1,-0.02,-0.04,0.06,-0.04,0.04,-0.0,-0.0
PRES.PERF.IND,0.13,-0.1,-0.07,0.03,0.04,-0.03,0.01,-0.02,0.0,0.0
PRES..IND,-0.14,0.13,-0.05,0.02,0.05,-0.06,0.07,-0.03,-0.0,0.0
PAST.PERF.IND,0.1,0.18,-0.02,-0.06,-0.09,-0.04,-0.06,-0.02,-0.0,-0.0
FUT..IND,0.05,-0.17,-0.04,0.06,0.08,0.0,0.0,0.01,-0.0,-0.0
PAST..SUBJ,-0.02,-0.15,-0.07,-0.05,-0.03,0.24,-0.04,0.11,-0.0,-0.0
PRES..MOD,-0.15,-0.16,-0.05,0.03,-0.07,0.26,-0.02,0.15,-0.0,-0.0
PRES..,0.24,-0.18,-0.04,-0.1,0.03,0.1,-0.05,-0.0,-0.0,-0.0
PRES.PROG.IND,0.06,-0.1,-0.1,0.12,-0.09,0.03,0.11,-0.03,-0.0,-0.0
PAST.PROG.IND,-0.25,0.02,0.36,0.05,-0.09,-0.01,-0.05,-0.03,-0.0,-0.0
..,-0.13,-0.21,-0.1,-0.1,0.51,-0.08,0.15,-0.03,-0.0,-0.0
past.PERF_PROG.IND,-0.33,0.79,-0.1,-0.1,-0.09,-0.08,-0.05,-0.03,-0.0,-0.0
FUT.PERF.IND,-0.33,-0.21,0.9,-0.1,-0.09,-0.08,-0.05,-0.03,-0.0,-0.0
PRES.PERF_PROG.IND,0.67,-0.21,-0.1,-0.1,-0.09,-0.08,-0.05,-0.03,-0.0,-0.0
