eng_TAM,xQt0,xQtX,WXQt,XQtl,ZQt0,WxQ0,ZQtX,WxQX,CPen,Voct
PAST..IND,3.24,5.67,6.44,11.66,14.97,8.47,31.91,18.05,514.5,inf
PRES.PERF.IND,2.37,7.27,21.8,7.95,8.15,15.59,16.58,65.39,181.08,2354.0
PRES..IND,4.63,3.21,16.11,8.45,7.47,26.78,9.08,98.19,inf,2062.0
PAST.PERF.IND,2.38,2.67,12.22,21.72,86.89,21.14,391.0,71.09,782.0,inf
FUT..IND,2.65,23.0,17.25,6.27,5.75,11.5,17.25,23.0,inf,inf
PAST..SUBJ,3.26,15.5,31.0,20.67,15.5,3.1,62.0,6.89,inf,inf
PRES..MOD,5.5,18.33,18.33,7.86,55.0,2.89,27.5,5.5,inf,inf
PRES..,1.78,32.0,16.0,inf,8.0,5.33,inf,32.0,inf,inf
PRES.PROG.IND,2.57,9.0,inf,4.5,inf,9.0,6.0,inf,inf,inf
PAST.PROG.IND,13.0,4.33,2.17,6.5,inf,13.0,inf,inf,inf,inf
..,5.0,inf,inf,inf,1.67,inf,5.0,inf,inf,inf
past.PERF_PROG.IND,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT.PERF.IND,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
PRES.PERF_PROG.IND,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
