eng_TAM,xQt0,xQtX,WXQt,XQtl,ZQt0,WxQ0,ZQtX,WxQX,CPen,Voct
PAST..IND,2.24,4.67,5.44,10.66,13.97,7.47,30.91,17.05,513.5,inf
PRES.PERF.IND,1.37,6.27,20.8,6.95,7.15,14.59,15.58,64.39,180.08,2353.0
PRES..IND,3.63,2.21,15.11,7.45,6.47,25.78,8.08,97.19,inf,2061.0
PAST.PERF.IND,1.38,1.67,11.22,20.72,85.89,20.14,390.0,70.09,781.0,inf
FUT..IND,1.65,22.0,16.25,5.27,4.75,10.5,16.25,22.0,inf,inf
PAST..SUBJ,2.26,14.5,30.0,19.67,14.5,2.1,61.0,5.89,inf,inf
PRES..MOD,4.5,17.33,17.33,6.86,54.0,1.89,26.5,4.5,inf,inf
PRES..,0.78,31.0,15.0,inf,7.0,4.33,inf,31.0,inf,inf
PRES.PROG.IND,1.57,8.0,inf,3.5,inf,8.0,5.0,inf,inf,inf
PAST.PROG.IND,12.0,3.33,1.17,5.5,inf,12.0,inf,inf,inf,inf
..,4.0,inf,inf,inf,0.67,inf,4.0,inf,inf,inf
past.PERF_PROG.IND,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT.PERF.IND,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
PRES.PERF_PROG.IND,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
