eng_TAMsimp,Main,SubAdv,SubMod,SubArg
PRES,0.77,2.41,7.21,46.79
FUT,0.19,7.43,37.56,56.37
FUT ~ MOD shall,0.13,11.22,51.94,90.95
IMPV,0.01,149.25,inf,600.0
IMPV ~ MOD shall,0.02,62.38,168.0,inf
PAST,0.28,6.71,11.77,110.75
FUT ~ PRES,0.33,4.57,19.43,52.62
MOD let,0.02,44.88,inf,inf
MOD must ~ MOD shall,0.04,27.17,337.0,inf
MOD may,0.36,3.29,45.57,107.67
MOD is to ~ MOD shall,0.14,25.73,11.78,146.0
MOD can,0.43,4.62,9.38,37.57
MOD shall,0.07,15.92,219.0,inf
MOD shall ~ PRES,0.3,11.5,6.14,74.0
FUT ~ MOD may,0.49,2.19,133.0,133.0
MOD would,0.3,7.57,39.0,9.91
IMPV ~ MOD let,0.03,55.0,inf,111.0
PAST ~ PRES,0.35,4.84,21.2,21.2
MOD let ~ MOD may,0.0,inf,inf,inf
PRES ~ PRES PART,0.6,3.57,5.86,95.0
PRES ~ PRES PERF,1.2,1.67,5.29,87.0
MOD should,0.63,3.15,8.22,26.67
FUT ~ MOD lest,2.0,0.5,inf,inf
MOD can ~ PRES,0.58,2.94,9.14,70.0
TO INF,0.45,7.88,34.5,4.92
FUT ~ MOD can,0.19,8.14,31.0,63.0
MOD may ~ PRES,0.77,1.95,9.33,inf
PRES PERF,1.26,1.26,9.17,60.0
MOD may ~ MOD shall,0.07,28.0,57.0,57.0
IMPV ~ PRES,0.67,1.75,inf,26.5
MOD can ~ MOD may,0.25,6.14,15.67,inf
PRES PART,0.26,7.17,15.33,48.0
PRES ~ TO INF,1.5,2.46,3.5,10.25
MOD should ~ PRES,0.5,2.46,44.0,44.0
MOD can ~ MOD shall,0.1,13.67,43.0,inf
FUT ~ MOD would,0.27,4.25,41.0,inf
MOD must,0.19,6.6,37.0,inf
MOD shall ~ TO INF,0.27,11.67,18.0,11.67
MOD could,1.0,6.6,2.17,18.0
PAST ~ PRES PERF,0.27,5.6,15.5,inf
MOD may ~ TO INF,0.22,5.6,inf,32.0
MOD shall ~ MOD should,0.48,6.75,14.5,6.75
IMPV ~ MOD may,0.07,14.0,inf,inf
FUT ~ TO INF,0.32,4.8,inf,13.5
MOD would ~ PAST,0.16,13.5,13.5,inf
MOD would ~ PRES,0.44,10.5,22.0,4.75
FUT ~ IMPV,0.15,6.67,inf,inf
MOD let ~ PRES,0.0,inf,inf,inf
PAST ~ PRES PART,0.31,4.25,20.0,inf
FUT ~ MOD let,0.11,9.5,inf,inf
MOD shall ~ PRES PART,0.18,19.0,19.0,19.0
MOD should ~ TO INF,5.33,1.38,8.5,2.17
MOD must ~ PRES,0.64,5.0,8.0,8.0
FUT ~ PRES PART,0.21,4.67,inf,inf
MOD let ~ TO INF,0.0,inf,inf,inf
MOD lest ~ MOD may,3.0,0.33,inf,inf
PRES ~ PRES PROG,1.0,2.2,7.0,15.0
MOD let ~ MOD shall,0.0,inf,inf,inf
FUT ~ PAST,0.0,inf,inf,inf
IMPV ~ MOD must,0.08,13.0,inf,inf
MOD lest ~ PRES,3.67,0.27,inf,inf
MOD shall ~ PAST,0.27,3.67,inf,inf
MOD should ~ MOD would,0.56,2.5,13.0,inf
PAST ~ TO INF,0.44,12.0,12.0,5.5
FUT ~ MOD should,0.33,11.0,11.0,11.0
HAB used to ~ PAST,0.33,inf,3.0,inf
MOD might,2.67,0.83,10.0,10.0
MOD may ~ MOD must,0.0,inf,inf,inf
IMPV ~ MOD can,0.0,inf,inf,inf
MOD is to,1.0,9.0,4.0,4.0
PAST ~ PAST PERF,0.43,9.0,inf,4.0
MOD let ~ MOD must,0.0,inf,inf,inf
MOD was to ~ PAST,0.5,8.0,3.5,inf
MOD is to ~ MOD let,0.0,inf,inf,inf
MOD can ~ MOD should,3.0,0.6,inf,7.0
MOD let ~ PAST,0.0,inf,inf,inf
MOD let ~ MOD should,0.0,inf,inf,inf
MOD can ~ MOD could,3.0,1.0,3.0,inf
IMPV ~ PAST,0.0,inf,inf,inf
MOD could ~ MOD would,0.4,2.5,inf,inf
IMPV ~ MOD should,0.0,inf,inf,inf
FUT ~ MOD must,0.0,inf,inf,inf
MOD lest,2.5,0.4,inf,inf
MOD should ~ MOD was to,2.5,6.0,1.33,6.0
PAST PERF,0.75,6.0,2.5,inf
IMPV ~ PRES PART,0.0,inf,inf,inf
MOD might ~ MOD would,0.75,1.33,inf,inf
IMPV ~ TO INF,0.0,inf,inf,inf
FUT ~ FUT going-to,0.2,5.0,inf,inf
PRES PART ~ TO INF,0.5,inf,2.0,inf
MOD lest ~ MOD might,2.0,0.5,inf,inf
MOD could ~ PAST,0.2,5.0,inf,inf
FUT ~ PRES PERF,1.0,1.0,inf,inf
MOD can ~ TO INF,0.0,inf,inf,inf
MOD is to ~ MOD may,1.0,5.0,2.0,inf
MOD may ~ PRES PART,0.5,2.0,inf,inf
MOD could ~ MOD might,0.5,2.0,inf,inf
FUT going-to ~ MOD shall,0.2,5.0,inf,inf
MOD shall ~ MOD would,0.2,5.0,inf,inf
?VB ~ MOD let,0.0,inf,inf,inf
PAST ~ PAST PROG,0.2,5.0,inf,inf
MOD can ~ PRES PART,0.25,4.0,inf,inf
MOD VB ~ MOD may,0.67,1.5,inf,inf
MOD is to ~ MOD must,1.5,inf,1.5,4.0
MOD might ~ TO INF,1.5,0.67,inf,inf
MOD can ~ MOD let,0.0,inf,inf,inf
MOD lest ~ TO INF,inf,0.0,inf,inf
MOD would ~ TO INF,1.5,inf,4.0,1.5
