eng_TAMsimp,TOTAL,Main,SubAdv,SubMod,SubArg
PRES,2676,1510,784,326,56
FUT,2352,1971,279,61,41
FUT ~ MOD shall,1747,1552,143,33,19
IMPV,601,596,4,0,1
IMPV ~ MOD shall,507,496,8,3,0
PAST,447,350,58,35,4
FUT ~ PRES,429,323,77,21,8
MOD let,367,359,8,0,0
MOD must ~ MOD shall,338,325,12,1,0
MOD may,326,240,76,7,3
MOD is to ~ MOD shall,294,258,11,23,2
MOD can,270,189,48,26,7
MOD shall,220,206,13,1,0
MOD shall ~ PRES,150,115,12,21,2
FUT ~ MOD may,134,90,42,1,1
MOD would,120,92,14,3,11
IMPV ~ MOD let,112,109,2,0,1
PAST ~ PRES,111,82,19,5,5
MOD let ~ MOD may,104,104,0,0,0
PRES ~ PRES PART,96,60,21,14,1
PRES ~ PRES PERF,88,40,33,14,1
MOD should,83,51,20,9,3
FUT ~ MOD lest,72,24,48,0,0
MOD can ~ PRES,71,45,18,7,1
TO INF,71,49,8,2,12
FUT ~ MOD can,64,54,7,2,1
MOD may ~ PRES,62,35,21,6,0
PRES PERF,61,27,27,6,1
MOD may ~ MOD shall,58,54,2,1,1
IMPV ~ PRES,55,33,20,0,2
MOD can ~ MOD may,50,40,7,3,0
PRES PART,49,39,6,3,1
PRES ~ TO INF,45,18,13,10,4
MOD should ~ PRES,45,30,13,1,1
MOD can ~ MOD shall,44,40,3,1,0
FUT ~ MOD would,42,33,8,1,0
MOD must,38,32,5,1,0
MOD shall ~ TO INF,38,30,3,2,3
MOD could,38,19,5,12,2
PAST ~ PRES PERF,33,26,5,2,0
MOD may ~ TO INF,33,27,5,0,1
MOD shall ~ MOD should,31,21,4,2,4
IMPV ~ MOD may,30,28,2,0,0
FUT ~ TO INF,29,22,5,0,2
MOD would ~ PAST,29,25,2,2,0
MOD would ~ PRES,23,16,2,1,4
FUT ~ IMPV,23,20,3,0,0
MOD let ~ PRES,22,22,0,0,0
PAST ~ PRES PART,21,16,4,1,0
FUT ~ MOD let,21,19,2,0,0
MOD shall ~ PRES PART,20,17,1,1,1
MOD should ~ TO INF,19,3,8,2,6
MOD must ~ PRES,18,11,3,2,2
FUT ~ PRES PART,17,14,3,0,0
MOD let ~ TO INF,17,17,0,0,0
MOD lest ~ MOD may,16,4,12,0,0
PRES ~ PRES PROG,16,8,5,2,1
MOD let ~ MOD shall,15,15,0,0,0
FUT ~ PAST,15,15,0,0,0
IMPV ~ MOD must,14,13,1,0,0
MOD lest ~ PRES,14,3,11,0,0
MOD shall ~ PAST,14,11,3,0,0
MOD should ~ MOD would,14,9,4,1,0
PAST ~ TO INF,13,9,1,1,2
FUT ~ MOD should,12,9,1,1,1
HAB used to ~ PAST,12,9,0,3,0
MOD might,11,3,6,1,1
MOD may ~ MOD must,11,11,0,0,0
IMPV ~ MOD can,11,11,0,0,0
MOD is to,10,5,1,2,2
PAST ~ PAST PERF,10,7,1,0,2
MOD let ~ MOD must,9,9,0,0,0
MOD was to ~ PAST,9,6,1,2,0
MOD is to ~ MOD let,9,9,0,0,0
MOD can ~ MOD should,8,2,5,0,1
MOD let ~ PAST,8,8,0,0,0
MOD let ~ MOD should,8,8,0,0,0
MOD can ~ MOD could,8,2,4,2,0
IMPV ~ PAST,7,7,0,0,0
MOD could ~ MOD would,7,5,2,0,0
IMPV ~ MOD should,7,7,0,0,0
FUT ~ MOD must,7,7,0,0,0
MOD lest,7,2,5,0,0
MOD should ~ MOD was to,7,2,1,3,1
PAST PERF,7,4,1,2,0
IMPV ~ PRES PART,7,7,0,0,0
MOD might ~ MOD would,7,4,3,0,0
IMPV ~ TO INF,7,7,0,0,0
FUT ~ FUT going-to,6,5,1,0,0
PRES PART ~ TO INF,6,4,0,2,0
MOD lest ~ MOD might,6,2,4,0,0
MOD could ~ PAST,6,5,1,0,0
FUT ~ PRES PERF,6,3,3,0,0
MOD can ~ TO INF,6,6,0,0,0
MOD is to ~ MOD may,6,3,1,2,0
MOD may ~ PRES PART,6,4,2,0,0
MOD could ~ MOD might,6,4,2,0,0
FUT going-to ~ MOD shall,6,5,1,0,0
MOD shall ~ MOD would,6,5,1,0,0
?VB ~ MOD let,6,6,0,0,0
PAST ~ PAST PROG,6,5,1,0,0
MOD can ~ PRES PART,5,4,1,0,0
MOD VB ~ MOD may,5,3,2,0,0
MOD is to ~ MOD must,5,2,0,2,1
MOD might ~ TO INF,5,2,3,0,0
MOD can ~ MOD let,5,5,0,0,0
MOD lest ~ TO INF,5,0,5,0,0
MOD would ~ TO INF,5,2,0,1,2
MOD let ~ PRES PART,5,5,0,0,0
MOD might ~ PAST,5,4,1,0,0
MOD was to,5,4,0,1,0
MOD might ~ MOD should,5,4,0,0,1
MOD should ~ PAST,4,1,3,0,0
MOD VB ~ PRES,4,0,4,0,0
FUT ~ PRES PROG,4,3,1,0,0
IMPV ~ MOD lest,4,2,2,0,0
HAB used to,4,3,0,0,1
PAST PERF ~ PRES,4,3,0,1,0
MOD can ~ PAST,4,4,0,0,0
FUT ~ MOD is to,4,1,0,1,2
?VB ~ PAST,4,4,0,0,0
PRES PERF ~ TO INF,4,4,0,0,0
MOD could ~ MOD should,3,0,3,0,0
?VB,3,3,0,0,0
PAST PROG,3,1,0,2,0
