,Main,SubAdv,SubMod,SubArg
PRES,0.27,3.04,3.68,1.22
FUT,1.62,0.7,0.42,0.97
FUT ~ MOD shall,2.54,0.45,0.31,0.57
IMPV,36.7,0.03,0.0,0.09
IMPV ~ MOD shall,13.72,0.08,0.1,0.0
PAST,1.05,0.81,1.54,0.49
FUT ~ PRES,0.88,1.21,0.91,1.04
MOD let,13.48,0.12,0.0,0.0
MOD must ~ MOD shall,7.47,0.2,0.05,0.0
MOD may,0.81,1.69,0.38,0.5
MOD is to ~ MOD shall,2.11,0.21,1.52,0.37
MOD can,0.67,1.19,1.93,1.47
MOD shall,4.35,0.34,0.08,0.0
MOD shall ~ PRES,0.96,0.47,2.95,0.74
FUT ~ MOD may,0.59,2.54,0.13,0.41
MOD would,0.96,0.72,0.45,5.75
IMPV ~ MOD let,10.67,0.1,0.0,0.49
PAST ~ PRES,0.82,1.13,0.84,2.62
MOD let ~ MOD may,inf,0.0,0.0,0.0
PRES ~ PRES PART,0.48,1.54,3.07,0.58
PRES ~ PRES PERF,0.24,3.33,3.41,0.63
MOD should,0.46,1.75,2.18,2.07
FUT ~ MOD lest,0.14,11.21,0.0,0.0
MOD can ~ PRES,0.5,1.87,1.95,0.78
TO INF,0.65,0.7,0.51,11.69
FUT ~ MOD can,1.57,0.67,0.57,0.87
MOD may ~ PRES,0.37,2.83,1.91,0.0
PRES PERF,0.23,4.4,1.95,0.91
MOD may ~ MOD shall,3.94,0.2,0.31,0.96
IMPV ~ PRES,0.43,3.16,0.0,2.08
MOD can ~ MOD may,1.16,0.89,1.13,0.0
PRES PART,1.13,0.77,1.16,1.14
PRES ~ TO INF,0.19,2.24,5.13,5.42
MOD should ~ PRES,0.58,2.24,0.4,1.25
MOD can ~ MOD shall,2.92,0.4,0.41,0.0
FUT ~ MOD would,1.07,1.29,0.43,0.0
MOD must,1.55,0.83,0.48,0.0
MOD shall ~ TO INF,1.09,0.47,0.99,4.75
MOD could,0.29,0.83,8.32,3.06
PAST ~ PRES PERF,1.08,0.98,1.15,0.0
MOD may ~ TO INF,1.31,0.98,0.0,1.72
MOD shall ~ MOD should,0.61,0.81,1.23,8.25
IMPV ~ MOD may,4.08,0.39,0.0,0.0
FUT ~ TO INF,0.91,1.14,0.0,4.09
MOD would ~ PAST,1.82,0.41,1.32,0.0
MOD would ~ PRES,0.66,0.52,0.81,11.72
FUT ~ IMPV,1.94,0.82,0.0,0.0
MOD let ~ PRES,inf,0.0,0.0,0.0
PAST ~ PRES PART,0.93,1.29,0.89,0.0
FUT ~ MOD let,2.77,0.58,0.0,0.0
MOD shall ~ PRES PART,1.65,0.29,0.94,2.89
MOD should ~ TO INF,0.05,4.0,2.09,25.93
MOD must ~ PRES,0.46,1.1,2.22,6.9
FUT ~ PRES PART,1.36,1.18,0.0,0.0
MOD let ~ TO INF,inf,0.0,0.0,0.0
MOD lest ~ MOD may,0.1,16.55,0.0,0.0
PRES ~ PRES PROG,0.29,2.5,2.54,3.67
MOD let ~ MOD shall,inf,0.0,0.0,0.0
FUT ~ PAST,inf,0.0,0.0,0.0
IMPV ~ MOD must,3.78,0.42,0.0,0.0
MOD lest ~ PRES,0.08,20.23,0.0,0.0
MOD shall ~ PAST,1.07,1.5,0.0,0.0
MOD should ~ MOD would,0.52,2.2,1.37,0.0
PAST ~ TO INF,0.65,0.46,1.48,10.05
FUT ~ MOD should,0.87,0.5,1.62,5.0
HAB used to ~ PAST,0.87,0.0,5.94,0.0
MOD might,0.11,6.6,1.78,5.5
MOD may ~ MOD must,inf,0.0,0.0,0.0
IMPV ~ MOD can,inf,0.0,0.0,0.0
MOD is to,0.29,0.61,4.45,13.82
PAST ~ PAST PERF,0.68,0.61,0.0,13.82
MOD let ~ MOD must,inf,0.0,0.0,0.0
MOD was to ~ PAST,0.58,0.69,5.09,0.0
MOD is to ~ MOD let,inf,0.0,0.0,0.0
MOD can ~ MOD should,0.1,9.17,0.0,7.86
MOD let ~ PAST,inf,0.0,0.0,0.0
MOD let ~ MOD should,inf,0.0,0.0,0.0
MOD can ~ MOD could,0.1,5.5,5.94,0.0
IMPV ~ PAST,inf,0.0,0.0,0.0
MOD could ~ MOD would,0.73,2.2,0.0,0.0
IMPV ~ MOD should,inf,0.0,0.0,0.0
FUT ~ MOD must,inf,0.0,0.0,0.0
MOD lest,0.12,13.75,0.0,0.0
MOD should ~ MOD was to,0.12,0.91,13.38,9.17
PAST PERF,0.39,0.91,7.13,0.0
IMPV ~ PRES PART,inf,0.0,0.0,0.0
MOD might ~ MOD would,0.39,4.12,0.0,0.0
IMPV ~ TO INF,inf,0.0,0.0,0.0
FUT ~ FUT going-to,1.45,1.1,0.0,0.0
PRES PART ~ TO INF,0.58,0.0,8.91,0.0
MOD lest ~ MOD might,0.15,11.0,0.0,0.0
MOD could ~ PAST,1.45,1.1,0.0,0.0
FUT ~ PRES PERF,0.29,5.49,0.0,0.0
MOD can ~ TO INF,inf,0.0,0.0,0.0
MOD is to ~ MOD may,0.29,1.1,8.91,0.0
MOD may ~ PRES PART,0.58,2.75,0.0,0.0
MOD could ~ MOD might,0.58,2.75,0.0,0.0
FUT going-to ~ MOD shall,1.45,1.1,0.0,0.0
MOD shall ~ MOD would,1.45,1.1,0.0,0.0
?VB ~ MOD let,inf,0.0,0.0,0.0
PAST ~ PAST PROG,1.45,1.1,0.0,0.0
MOD can ~ PRES PART,1.16,1.37,0.0,0.0
MOD VB ~ MOD may,0.44,3.66,0.0,0.0
MOD is to ~ MOD must,0.19,0.0,11.88,13.76
MOD might ~ TO INF,0.19,8.24,0.0,0.0
MOD can ~ MOD let,inf,0.0,0.0,0.0
MOD lest ~ TO INF,0.0,inf,0.0,0.0
MOD would ~ TO INF,0.19,0.0,4.45,36.86
MOD let ~ PRES PART,inf,0.0,0.0,0.0
MOD might ~ PAST,1.16,1.37,0.0,0.0
MOD was to,1.16,0.0,4.45,0.0
MOD might ~ MOD should,1.16,0.0,0.0,13.76
MOD should ~ PAST,0.1,16.49,0.0,0.0
MOD VB ~ PRES,0.0,inf,0.0,0.0
FUT ~ PRES PROG,0.87,1.83,0.0,0.0
IMPV ~ MOD lest,0.29,5.49,0.0,0.0
HAB used to,0.87,0.0,0.0,18.35
PAST PERF ~ PRES,0.87,0.0,5.93,0.0
MOD can ~ PAST,inf,0.0,0.0,0.0
FUT ~ MOD is to,0.1,0.0,5.93,55.3
?VB ~ PAST,inf,0.0,0.0,0.0
PRES PERF ~ TO INF,inf,0.0,0.0,0.0
MOD could ~ MOD should,0.0,inf,0.0,0.0
?VB,inf,0.0,0.0,0.0
PAST PROG,0.15,0.0,35.64,0.0
MOD shall ~ PRES PERF,inf,0.0,0.0,0.0
MOD can ~ MOD might,0.15,0.0,0.0,110.6
MOD could ~ MOD must,inf,0.0,0.0,0.0
FUT PROG ~ PRES,0.15,10.99,0.0,0.0
MOD lest ~ MOD would,0.15,10.99,0.0,0.0
FUT ~ MOD that be,inf,0.0,0.0,0.0
MOD need not ~ MOD shall,inf,0.0,0.0,0.0
MOD may ~ PRES PERF,0.15,2.74,8.9,0.0
MOD may ~ PAST,0.58,0.0,8.9,0.0
MOD may ~ MOD might,0.15,10.99,0.0,0.0
