,SBH,LBH
PRES,3.1,-3.1
FUT,-1.14,1.14
FUT ~ MOD shall,-9.51,9.51
IMPV ~ MOD shall,14.41,-14.41
MOD must ~ MOD shall,7.98,-7.98
IMPV,-2.75,2.75
MOD is to ~ MOD shall,4.29,-4.29
MOD may,2.52,-2.52
PAST,-2.65,2.65
MOD shall,1.89,-1.89
MOD let,-2.02,2.02
FUT ~ PRES,-0.0,0.0
MOD shall ~ PRES,1.24,-1.24
MOD can,0.15,-0.15
FUT ~ MOD may,0.17,-0.17
IMPV ~ MOD let,-3.97,3.97
MOD should,-3.18,3.18
FUT ~ MOD lest,0.64,-0.64
MOD would,-1.49,1.49
PRES ~ PRES PERF,0.37,-0.37
MOD may ~ MOD shall,1.54,-1.54
MOD can ~ MOD may,-0.37,0.37
TO INF,-0.78,0.78
PRES ~ PRES PART,-0.11,0.11
MOD may ~ PRES,0.44,-0.44
MOD may ~ TO INF,-0.7,0.7
PAST ~ PRES,0.29,-0.29
MOD shall ~ TO INF,-1.29,1.29
MOD let ~ MOD may,-0.74,0.74
PRES ~ TO INF,-0.0,0.0
IMPV ~ MOD may,0.79,-0.79
MOD could,-0.0,0.0
MOD must,0.8,-0.8
MOD should ~ PRES,-0.58,0.58
MOD can ~ MOD shall,-0.0,0.0
PRES PERF,-1.33,1.33
MOD can ~ PRES,0.15,-0.15
FUT ~ MOD can,-2.15,2.15
MOD would ~ PAST,-1.62,1.62
MOD shall ~ MOD should,-0.18,0.18
PRES PART,-0.18,0.18
FUT ~ TO INF,-1.22,1.22
IMPV ~ PRES,-0.0,0.0
FUT ~ MOD would,-0.0,0.0
MOD let ~ TO INF,0.41,-0.41
MOD lest ~ PRES,0.21,-0.21
PRES ~ PRES PROG,-0.0,0.0
PAST ~ PRES PERF,0.21,-0.21
IMPV ~ MOD must,0.21,-0.21
MOD may ~ MOD must,-0.0,0.0
MOD must ~ PRES,-0.0,0.0
MOD should ~ TO INF,-2.74,2.74
MOD lest ~ MOD may,0.21,-0.21
MOD let ~ MOD shall,0.0,-0.0
MOD is to ~ MOD let,-1.25,1.25
MOD shall ~ PRES PART,0.21,-0.21
HAB used to ~ PAST,0.0,-0.0
PAST ~ PRES PART,-0.71,0.71
MOD let ~ MOD must,-0.0,0.0
FUT ~ IMPV,-0.0,0.0
FUT ~ MOD let,-0.27,0.27
MOD is to,-0.0,0.0
MOD should ~ MOD was to,-2.53,2.53
MOD shall ~ PAST,-0.27,0.27
PAST ~ TO INF,-1.56,1.56
PAST ~ PAST PERF,-0.32,0.32
MOD is to ~ MOD may,-0.32,0.32
PAST PERF,-0.32,0.32
MOD let ~ MOD should,-0.32,0.32
FUT ~ FUT going-to,-0.0,0.0
MOD would ~ PRES,-0.32,0.32
FUT ~ PAST,-1.07,1.07
FUT ~ PRES PART,-0.38,0.38
MOD lest ~ TO INF,-0.0,0.0
FUT going-to ~ MOD shall,-0.0,0.0
MOD lest ~ MOD might,-0.0,0.0
MOD could ~ MOD might,-1.26,1.26
MOD was to ~ PAST,-0.0,0.0
MOD should ~ MOD would,-0.45,0.45
IMPV ~ PRES PART,-0.0,0.0
MOD was to,-0.45,0.45
HAB used to,-0.0,0.0
PRES PART ~ TO INF,-0.0,0.0
MOD might,-0.0,0.0
MOD is to ~ MOD must,-0.0,0.0
MOD can ~ MOD let,-0.0,0.0
IMPV ~ TO INF,-0.0,0.0
FUT ~ PRES PROG,-0.0,0.0
FUT ~ PRES PERF,-0.0,0.0
MOD shall ~ MOD would,-0.0,0.0
MOD lest ~ MOD would,-0.0,0.0
