,SBH,LBH
PRES,1.47,0.68
FUT,0.72,1.4
FUT ~ MOD shall,0.42,2.38
IMPV ~ MOD shall,7.63,0.13
MOD must ~ MOD shall,5.55,0.18
MOD is to ~ MOD shall,3.44,0.29
PAST,0.48,2.07
MOD shall,2.06,0.49
MOD may,2.94,0.34
FUT ~ PRES,0.93,1.08
IMPV,0.71,1.41
MOD shall ~ PRES,2.4,0.42
MOD can,1.22,0.82
FUT ~ MOD may,1.23,0.81
MOD should,0.29,3.43
FUT ~ MOD lest,4.84,0.21
MOD would,0.37,2.73
PRES ~ PRES PERF,1.94,0.52
MOD may ~ MOD shall,inf,0.0
PRES ~ PRES PART,0.76,1.32
PAST ~ PRES,2.72,0.37
MOD shall ~ TO INF,0.35,2.9
MOD can ~ MOD may,0.66,1.52
MOD could,1.04,0.96
MOD must,inf,0.0
MOD should ~ PRES,0.44,2.26
PRES PERF,0.31,3.22
MOD can ~ MOD shall,0.94,1.06
MOD can ~ PRES,1.99,0.5
PRES ~ TO INF,0.94,1.06
MOD may ~ PRES,1.99,0.5
FUT ~ MOD can,0.21,4.84
TO INF,0.52,1.92
MOD would ~ PAST,0.25,4.02
PRES PART,0.68,1.48
MOD shall ~ MOD should,0.68,1.48
FUT ~ TO INF,0.23,4.28
MOD let,inf,0.0
FUT ~ MOD would,1.15,0.87
PAST ~ PRES PERF,inf,0.0
PRES ~ PRES PROG,1.04,0.96
MOD lest ~ PRES,inf,0.0
MOD must ~ PRES,0.94,1.06
MOD lest ~ MOD may,inf,0.0
MOD may ~ MOD must,0.94,1.06
IMPV ~ PRES,0.94,1.06
IMPV ~ MOD must,inf,0.0
MOD should ~ TO INF,0.1,9.67
MOD shall ~ PRES PART,inf,0.0
MOD let ~ MOD shall,0.83,1.2
HAB used to ~ PAST,0.83,1.2
MOD may ~ TO INF,0.36,2.74
IMPV ~ MOD let,inf,0.0
IMPV ~ MOD may,inf,0.0
FUT ~ IMPV,inf,0.0
PAST ~ PRES PART,0.31,3.2
MOD shall ~ PAST,0.63,1.6
MOD is to,inf,0.0
MOD should ~ MOD was to,0.08,12.87
PAST ~ PAST PERF,0.52,1.92
MOD would ~ PRES,0.52,1.92
PAST ~ TO INF,0.1,9.63
MOD is to ~ MOD may,0.52,1.92
MOD let ~ MOD must,inf,0.0
PAST PERF,0.52,1.92
FUT ~ PAST,0.16,6.41
FUT ~ MOD let,0.42,2.4
FUT ~ FUT going-to,inf,0.0
FUT going-to ~ MOD shall,inf,0.0
MOD lest ~ TO INF,inf,0.0
MOD was to ~ PAST,inf,0.0
HAB used to,inf,0.0
MOD could ~ MOD might,0.1,9.62
PRES PART ~ TO INF,inf,0.0
MOD is to ~ MOD must,inf,0.0
IMPV ~ PRES PART,inf,0.0
MOD might,inf,0.0
MOD should ~ MOD would,0.31,3.2
MOD was to,0.31,3.2
MOD lest ~ MOD might,inf,0.0
