eng_TAMsimp,SBH,LBH
FUT,0.88,0.12
PRES,0.93,0.07
FUT ~ MOD shall,0.82,0.18
IMPV ~ MOD shall,0.99,0.01
MOD must ~ MOD shall,0.98,0.02
IMPV,0.84,0.16
MOD may,0.93,0.07
MOD let,0.83,0.17
MOD is to ~ MOD shall,0.97,0.03
PAST,0.83,0.17
MOD shall,0.95,0.05
FUT ~ PRES,0.9,0.1
MOD shall ~ PRES,0.96,0.04
FUT ~ MOD may,0.91,0.09
IMPV ~ MOD let,0.73,0.27
MOD can,0.92,0.08
MOD should,0.74,0.26
MOD can ~ MOD may,0.89,0.11
FUT ~ MOD lest,0.96,0.04
MOD would,0.79,0.21
TO INF,0.8,0.2
MOD may ~ TO INF,0.82,0.18
MOD let ~ MOD may,0.87,0.13
PRES ~ PRES PERF,0.95,0.05
MOD may ~ MOD shall,1.0,0.0
MOD may ~ PRES,0.97,0.03
PRES ~ PRES PART,0.88,0.12
MOD shall ~ TO INF,0.78,0.22
PAST ~ PRES,0.96,0.04
IMPV ~ MOD may,1.0,0.0
PRES ~ TO INF,0.92,0.08
MOD could,0.91,0.09
MOD can ~ PRES,0.95,0.05
MOD must,1.0,0.0
MOD should ~ PRES,0.81,0.19
MOD can ~ MOD shall,0.9,0.1
PRES PERF,0.75,0.25
FUT ~ MOD can,0.68,0.32
IMPV ~ PRES,0.89,0.11
FUT ~ MOD would,0.94,0.06
MOD would ~ PAST,0.71,0.29
MOD let ~ TO INF,1.0,0.0
FUT ~ TO INF,0.75,0.25
PRES PART,0.87,0.13
MOD shall ~ MOD should,0.87,0.13
FUT ~ MOD let,0.93,0.07
MOD let ~ MOD must,0.85,0.15
PAST ~ PRES PERF,1.0,0.0
MOD may ~ MOD must,0.91,0.09
IMPV ~ MOD must,1.0,0.0
MOD let ~ MOD shall,0.91,0.09
MOD lest ~ PRES,1.0,0.0
PRES ~ PRES PROG,0.91,0.09
MOD is to ~ MOD let,0.7,0.3
MOD must ~ PRES,0.9,0.1
MOD should ~ TO INF,0.5,0.5
MOD lest ~ MOD may,1.0,0.0
MOD let ~ MOD should,0.89,0.11
FUT ~ IMPV,1.0,0.0
HAB used to ~ PAST,0.89,0.11
MOD shall ~ PRES PART,1.0,0.0
PAST ~ PRES PART,0.75,0.25
MOD shall ~ PAST,0.86,0.14
MOD should ~ MOD was to,0.43,0.57
PAST ~ TO INF,0.57,0.43
MOD is to,1.0,0.0
MOD let ~ PRES,0.86,0.14
MOD can ~ MOD let,1.0,0.0
MOD is to ~ MOD may,0.83,0.17
