,qal,hif,piel,nif,hit,hsht,hof,pual
PAST,1.84,0.57,0.58,0.8,0.86,0.45,inf,0.71
PAST ~ PRES PART,0.66,0.93,1.58,1.17,1.78,8.24,0.0,13.36
PAST ~ PAST PERF,0.69,1.56,1.29,1.8,0.0,0.0,0.0,0.0
PRES PERF,0.5,2.38,1.52,1.07,0.46,0.97,0.0,0.0
PRES,0.59,1.38,1.47,2.49,1.02,1.06,0.0,0.0
?PAST ~ PAST,0.31,5.05,1.3,0.0,1.34,0.0,0.0,0.0
PAST ~ PRES PERF,0.52,0.99,2.93,1.74,1.49,1.54,0.0,0.0
?PAST,1.08,1.85,0.4,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,1.33,0.74,1.11,0.8,0.0,0.0,0.0,0.0
PAST ~ TO INF,0.27,1.86,3.6,1.35,1.17,13.72,0.0,0.0
PAST PERF,0.92,1.1,1.95,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,0.86,1.05,1.85,0.0,2.05,0.0,0.0,0.0
PAST ~ PAST PROG,1.1,0.6,0.51,0.0,10.4,0.0,0.0,0.0
PRES PART,0.86,1.79,0.0,0.0,6.89,0.0,0.0,0.0
FUT ~ PRES,0.47,1.88,0.95,4.72,0.0,0.0,0.0,0.0
?PRES,0.14,2.26,5.93,0.0,15.04,0.0,0.0,0.0
?PRES ~ PRES,0.71,0.63,1.11,5.58,0.0,0.0,0.0,0.0
MOD would,0.84,1.67,0.0,3.06,0.0,0.0,0.0,0.0
MOD could ~ PAST,0.55,0.0,0.0,17.64,0.0,0.0,0.0,0.0
TO INF,0.63,0.0,6.67,0.0,0.0,0.0,0.0,0.0
?VB ~ PAST,0.63,0.94,1.66,3.83,0.0,0.0,0.0,0.0
?PRES ~ PAST,0.42,3.01,0.0,5.11,0.0,0.0,0.0,0.0
FUT ~ PAST,0.63,0.0,6.66,0.0,0.0,0.0,0.0,0.0
?PAST ~ PRES PART,0.32,3.77,2.66,0.0,0.0,0.0,0.0,0.0
PAST PROG,1.26,1.88,0.0,0.0,0.0,0.0,0.0,0.0
?VB,0.08,11.31,3.33,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,0.21,1.88,8.88,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,0.47,1.88,3.33,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PERF,0.32,2.51,4.44,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,0.95,0.0,4.44,0.0,0.0,0.0,0.0,0.0
?PAST did not ~ PAST,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,0.32,2.51,0.0,10.22,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,0.32,0.0,13.32,0.0,0.0,0.0,0.0,0.0
?TO INF ~ PAST,0.0,3.76,6.65,0.0,0.0,86.11,0.0,0.0
MOD let ~ PAST,0.16,15.07,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ PRES,0.63,3.76,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ ?VB,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
