,qal,hif,piel,nif,hit,hsht,hof,pual
PAST,24.67,-13.38,-8.16,-0.9,-0.27,-2.13,1.56,-0.26
PAST ~ PRES PART,-2.0,-0.04,1.21,0.17,0.53,4.84,0.0,1.07
PAST ~ PAST PERF,-1.64,1.45,0.51,1.08,-0.75,-0.2,0.0,0.0
PRES PERF,-4.76,5.07,0.99,0.08,-0.14,0.0,0.0,0.0
PRES,-2.66,0.85,0.8,2.27,0.14,0.21,0.0,0.0
?PAST ~ PAST,-9.38,14.77,0.42,-1.45,0.18,0.0,0.0,0.0
PAST ~ PRES PERF,-2.78,0.0,4.06,0.77,0.41,0.32,0.0,0.0
?PAST,0.09,1.71,-0.92,-1.1,-0.2,0.0,0.0,0.0
PAST ~ PRES,0.45,-0.23,0.09,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,-7.11,1.38,4.03,0.31,0.24,4.24,0.0,0.0
PAST PERF,-0.12,0.08,0.98,-0.37,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,-0.15,0.09,0.68,-0.19,0.41,0.0,0.0,0.0
PAST ~ PAST PROG,-0.0,-0.12,0.0,0.0,2.39,0.0,0.0,0.0
PRES PART,-0.19,0.66,-0.59,0.0,1.41,0.0,0.0,0.0
FUT ~ PRES,-0.66,0.39,0.0,1.1,0.0,0.0,0.0,0.0
?PRES,-3.15,0.72,1.99,0.0,1.98,0.0,0.0,0.0
?PRES ~ PRES,-0.28,0.0,0.21,1.21,0.0,0.0,0.0,0.0
MOD would,-0.14,0.42,0.0,0.53,0.0,0.0,0.0,0.0
MOD could ~ PAST,-0.51,-0.2,0.0,3.56,0.0,0.0,0.0,0.0
TO INF,-0.34,-0.21,1.68,0.0,0.0,0.0,0.0,0.0
?VB ~ PAST,-0.34,0.0,0.32,0.6,0.0,0.0,0.0,0.0
?PRES ~ PAST,-0.43,0.71,0.0,0.7,0.0,0.0,0.0,0.0
FUT ~ PAST,-0.2,0.0,1.22,0.0,0.0,0.0,0.0,0.0
?PAST ~ PRES PART,-0.81,0.82,0.45,0.0,0.0,0.0,0.0,0.0
PAST PROG,-0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0
?VB,-1.87,1.87,0.52,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,-1.03,0.33,1.37,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,-0.46,0.33,0.52,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PERF,-0.61,0.41,0.6,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
?PAST did not ~ PAST,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,-0.61,0.41,0.0,0.92,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,-0.61,0.0,1.57,0.0,0.0,0.0,0.0,0.0
?TO INF ~ PAST,-1.86,0.51,0.71,0.0,0.0,1.76,0.0,0.0
MOD let ~ PAST,-0.84,1.42,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ PRES,-0.25,0.51,0.0,0.0,0.0,0.0,0.0,0.0
?PAST ~ ?VB,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
