eng_TAMsimp,qal,hif,piel,nif,hit,hsht,hof,pual
PAST,0.29,8.2,14.45,31.52,83.35,195.82,349.59,2242.8
PAST ~ PRES PART,0.47,8.05,8.5,26.14,46.5,22.75,inf,189.0
PAST ~ PAST PERF,0.46,4.87,10.38,17.2,inf,inf,inf,inf
PRES PERF,0.62,3.21,8.83,28.5,176.0,176.0,inf,inf
PRES,0.53,5.48,9.12,12.5,80.0,161.0,inf,inf
?PAST ~ PAST,1.0,1.53,10.27,inf,61.0,inf,inf,inf
PAST ~ PRES PERF,0.6,7.62,4.6,17.67,55.0,111.0,inf,inf
?PAST,0.29,4.1,33.0,inf,inf,inf,inf,inf
PAST ~ PRES,0.24,10.14,12.0,38.0,inf,inf,inf,inf
PAST ~ TO INF,1.15,4.07,3.73,22.67,70.0,13.2,inf,inf
PAST PERF,0.34,6.86,6.86,inf,inf,inf,inf,inf
PRES ~ PRES PERF,0.37,7.2,7.2,inf,40.0,inf,inf,inf
PAST ~ PAST PROG,0.29,12.5,26.0,inf,8.0,inf,inf,inf
PRES PART,0.37,4.2,inf,inf,12.0,inf,inf,inf
FUT ~ PRES,0.67,4.0,14.0,6.5,inf,inf,inf,inf
?PRES,2.25,3.33,2.25,inf,5.5,inf,inf,inf
?PRES ~ PRES,0.44,12.0,12.0,5.5,inf,inf,inf,inf
MOD would,0.38,4.5,inf,10.0,inf,inf,inf,inf
MOD could ~ PAST,0.57,inf,inf,1.75,inf,inf,inf,inf
TO INF,0.5,inf,2.0,inf,inf,inf,inf,inf
?VB ~ PAST,0.5,8.0,8.0,8.0,inf,inf,inf,inf
?PRES ~ PAST,0.75,2.5,inf,6.0,inf,inf,inf,inf
FUT ~ PAST,0.5,inf,2.0,inf,inf,inf,inf,inf
?PAST ~ PRES PART,1.0,2.0,5.0,inf,inf,inf,inf,inf
PAST PROG,0.25,4.0,inf,inf,inf,inf,inf,inf
?VB,4.0,0.67,4.0,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,1.5,4.0,1.5,inf,inf,inf,inf,inf
FUT ~ PRES PERF,0.67,4.0,4.0,inf,inf,inf,inf,inf
PAST PERF ~ PRES PERF,1.0,3.0,3.0,inf,inf,inf,inf,inf
MOD would ~ PAST,0.33,inf,3.0,inf,inf,inf,inf,inf
?PAST did not ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,1.0,3.0,inf,3.0,inf,inf,inf,inf
PRES ~ PRES PROG,1.0,inf,1.0,inf,inf,inf,inf,inf
?TO INF ~ PAST,inf,2.0,2.0,inf,inf,2.0,inf,inf
MOD let ~ PAST,2.0,0.5,inf,inf,inf,inf,inf,inf
?PAST ~ PRES,0.5,2.0,inf,inf,inf,inf,inf,inf
?PAST ~ ?VB,0.0,inf,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,0.5,2.0,inf,inf,inf,inf,inf,inf
MOD let,inf,inf,0.0,inf,inf,inf,inf,inf
FUT ~ MOD shall,0.0,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES PART,0.5,inf,inf,2.0,inf,inf,inf,inf
PRES PERF ~ TO INF,inf,0.0,inf,inf,inf,inf,inf,inf
??PAST,1.0,1.0,inf,inf,inf,inf,inf,inf
?PRES PERF ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ PRES PROG,0.0,inf,inf,inf,inf,inf,inf,inf
?PAST ~ IMPV,0.0,inf,inf,inf,inf,inf,inf,inf
?VB ~ PRES,1.0,1.0,inf,inf,inf,inf,inf,inf
?VB ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf
FUT,1.0,1.0,inf,inf,inf,inf,inf,inf
?PRES ~ ?PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf
?PRES ~ PRES PERF,1.0,inf,1.0,inf,inf,inf,inf,inf
?FUT ~ PAST,1.0,1.0,inf,inf,inf,inf,inf,inf
?PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,1.0,1.0,inf,inf,inf,inf,inf,inf
??VB ~ ?PAST question,1.0,1.0,inf,inf,inf,inf,inf,inf
MOD may ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf
?PRES ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question,0.0,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ ?PRES,0.0,inf,inf,inf,inf,inf,inf,inf
?PAST question,inf,inf,0.0,inf,inf,inf,inf,inf
?PAST do-support ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ MOD let,inf,inf,0.0,inf,inf,inf,inf,inf
?PAST did not ~ TO INF,inf,0.0,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ PAST,inf,0.0,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf
?PAST ~ ?TO INF,0.0,inf,inf,inf,inf,inf,inf,inf
?MOD would ~ PAST,inf,0.0,inf,inf,inf,inf,inf,inf
?PAST did not ~ ?PAST question,inf,inf,0.0,inf,inf,inf,inf,inf
?PAST PERF ~ PAST PERF,0.0,inf,inf,inf,inf,inf,inf,inf
?MOD would,inf,inf,0.0,inf,inf,inf,inf,inf
?MOD let ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf
?FUT ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf
?FUT ~ PRES,inf,0.0,inf,inf,inf,inf,inf,inf
?FUT ~ ?PRES,inf,inf,inf,inf,inf,0.0,inf,inf
??VB ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf
??VB ~ PRES,inf,inf,0.0,inf,inf,inf,inf,inf
??VB ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf
??PRES ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf
??PAST ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf
??PAST ~ ?TO INF,0.0,inf,inf,inf,inf,inf,inf,inf
??PAST ~ ?PAST,0.0,inf,inf,inf,inf,inf,inf,inf
PRES PERF PROG,0.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,inf,0.0,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,inf,inf,inf,inf,0.0,inf,inf,inf
?PAST ~ PAST PERF,inf,0.0,inf,inf,inf,inf,inf,inf
MOD may,0.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,0.0,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,inf,inf,inf,inf,0.0,inf,inf,inf
MOD could ~ MOD might,inf,inf,0.0,inf,inf,inf,inf,inf
IMPV ~ PRES PART,inf,0.0,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,inf,inf,inf,0.0,inf,inf,inf,inf
MOD would ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf
?TO INF ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf
?TO INF,0.0,inf,inf,inf,inf,inf,inf,inf
?PRES ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,inf,inf,inf,0.0,inf,inf,inf,inf
?PRES ~ FUT,0.0,inf,inf,inf,inf,inf,inf,inf
?PRES ~ ?VB,0.0,inf,inf,inf,inf,inf,inf,inf
?PRES PERF ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,inf,inf,0.0,inf,inf,inf,inf,inf
?PAST ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf
