,prose,prophetic,poetry,instruction,list
PRES ~ PRES PART,0.47,1.29,2.27,2.47,0.24
PAST ~ PAST PROG,5.13,0.42,0.0,0.0,0.0
PAST ~ PRES PART,1.86,0.71,0.18,0.0,5.25
PRES ~ PRES PROG,1.0,1.18,0.41,1.69,0.55
PAST ~ PRES,0.35,0.96,5.12,0.96,1.73
FUT ~ PRES,0.46,2.23,0.71,1.98,0.0
FUT ~ MOD shall,1.8,1.17,0.0,0.0,0.0
PRES ~ PRES PERF,0.38,1.07,5.09,0.8,0.0
PAST PROG ~ PRES PART,4.58,0.38,0.23,0.0,0.0
FUT ~ FUT going-to,1.07,1.96,0.0,0.0,0.0
PAST ~ PRES PERF,0.9,1.18,1.35,0.61,0.0
PAST ~ PAST PERF,5.44,0.17,0.0,0.74,2.01
PRES PART ~ PRES PROG,2.51,0.67,0.37,0.0,0.0
FUT ~ PRES PROG,0.28,7.57,0.0,0.0,0.0
FUT ~ PRES PART,0.19,3.43,1.83,1.09,0.0
PAST ~ TO INF,6.85,0.14,0.0,0.0,3.38
FUT ~ TO INF,0.32,4.34,0.82,0.0,0.0
MOD may ~ PRES,0.68,0.71,3.07,1.7,0.0
FUT going-to ~ PRES,1.15,0.8,0.0,4.23,0.0
MOD could ~ PAST,0.8,0.0,0.0,0.0,79.48
FUT going-to ~ PRES PROG,0.24,3.24,0.0,4.77,0.0
PRES ~ TO INF,0.41,0.53,9.4,0.0,0.0
PRES PART ~ TO INF,0.41,2.15,1.0,2.08,0.0
IMPV ~ PRES,0.57,1.28,1.29,2.68,0.0
MOD is to ~ PRES,0.32,0.71,3.05,6.37,0.0
MOD can ~ PRES,0.72,0.35,0.0,7.65,8.52
PRES PART ~ PRES PERF,0.48,4.31,0.0,0.0,0.0
MOD shall ~ PRES,0.24,1.43,2.27,4.7,0.0
PAST PERF ~ PAST PROG,1.44,1.43,0.0,0.0,0.0
MOD would ~ PRES,inf,0.0,0.0,0.0,0.0
FUT ~ MOD must,0.96,0.0,9.18,0.0,0.0
MOD would ~ PAST,inf,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,0.32,0.0,0.0,19.18,17.09
PAST ~ PRES PROG,0.0,inf,0.0,0.0,0.0
IMPV ~ MOD may,inf,0.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,0.96,2.14,0.0,0.0,0.0
PAST ~ PAST PERF PROG,inf,0.0,0.0,0.0,0.0
PAST PROG ~ PRES,0.0,0.71,9.18,6.28,0.0
MOD is to ~ PRES PART,0.0,4.29,0.0,9.42,0.0
FUT ~ MOD is to,inf,0.0,0.0,0.0,0.0
PRES PERF PROG ~ PRES PROG,1.92,0.0,4.55,0.0,0.0
MOD can ~ MOD shall,0.48,4.29,0.0,0.0,0.0
FUT PROG ~ PRES PART,inf,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,0.0,4.29,0.0,9.42,0.0
MOD can ~ TO INF,0.0,4.29,4.55,0.0,0.0
MOD should ~ MOD would,0.48,4.29,0.0,0.0,0.0
PRES ~ PRES PERF PROG,0.48,4.29,0.0,0.0,0.0
MOD should ~ TO INF,inf,0.0,0.0,0.0,0.0
MOD let ~ PRES,0.48,1.07,0.0,9.42,0.0
MOD was to ~ PAST,1.92,0.0,0.0,0.0,25.66
PRES PERF ~ PRES PROG,1.92,1.07,0.0,0.0,0.0
PRES ~ PRES PROG keep,0.0,inf,0.0,0.0,0.0
MOD must ~ MOD shall,inf,0.0,0.0,0.0,0.0
MOD may ~ PAST,0.96,0.0,9.11,0.0,0.0
MOD is to ~ TO INF,0.0,0.0,0.0,inf,0.0
MOD may ~ TO INF,0.0,0.0,inf,0.0,0.0
PAST PERF PROG ~ PAST PROG,inf,0.0,0.0,0.0,0.0
MOD must ~ PRES,inf,0.0,0.0,0.0,0.0
FUT going-to ~ PRES PART,inf,0.0,0.0,0.0,0.0
