eng_TAMsimp,prose,prophetic,poetry,instruction,list
PRES ~ PRES PART,0.36,0.37,0.17,0.1,0.01
PAST ~ PAST PROG,0.83,0.17,0.0,0.0,0.0
PAST ~ PRES PART,0.65,0.26,0.02,0.0,0.07
PRES ~ PRES PROG,0.51,0.35,0.05,0.08,0.01
PAST ~ PRES,0.28,0.31,0.33,0.05,0.03
FUT ~ PRES,0.33,0.5,0.07,0.09,0.0
FUT ~ MOD shall,0.65,0.35,0.0,0.0,0.0
PRES ~ PRES PERF,0.29,0.33,0.33,0.04,0.0
PAST PROG ~ PRES PART,0.82,0.15,0.03,0.0,0.0
FUT ~ FUT going-to,0.53,0.47,0.0,0.0,0.0
PAST ~ PRES PERF,0.48,0.35,0.13,0.03,0.0
PAST ~ PAST PERF,0.85,0.08,0.0,0.04,0.04
PRES PART ~ PRES PROG,0.72,0.24,0.04,0.0,0.0
FUT ~ PRES PROG,0.23,0.77,0.0,0.0,0.0
FUT ~ PRES PART,0.17,0.61,0.17,0.06,0.0
PAST ~ TO INF,0.88,0.06,0.0,0.0,0.06
FUT ~ TO INF,0.25,0.67,0.08,0.0,0.0
MOD may ~ PRES,0.42,0.25,0.25,0.08,0.0
FUT going-to ~ PRES,0.55,0.27,0.0,0.18,0.0
MOD could ~ PAST,0.45,0.0,0.0,0.0,0.55
FUT going-to ~ PRES PROG,0.2,0.6,0.0,0.2,0.0
PRES ~ TO INF,0.3,0.2,0.5,0.0,0.0
PRES PART ~ TO INF,0.3,0.5,0.1,0.1,0.0
IMPV ~ PRES,0.38,0.38,0.12,0.12,0.0
MOD is to ~ PRES,0.25,0.25,0.25,0.25,0.0
MOD can ~ PRES,0.43,0.14,0.0,0.29,0.14
PRES PART ~ PRES PERF,0.33,0.67,0.0,0.0,0.0
MOD shall ~ PRES,0.2,0.4,0.2,0.2,0.0
PAST PERF ~ PAST PROG,0.6,0.4,0.0,0.0,0.0
MOD would ~ PRES,1.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,0.5,0.0,0.5,0.0,0.0
MOD would ~ PAST,1.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,0.25,0.0,0.0,0.5,0.25
PAST ~ PRES PROG,0.0,1.0,0.0,0.0,0.0
IMPV ~ MOD may,1.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,0.5,0.5,0.0,0.0,0.0
PAST ~ PAST PERF PROG,1.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES,0.0,0.25,0.5,0.25,0.0
MOD is to ~ PRES PART,0.0,0.67,0.0,0.33,0.0
FUT ~ MOD is to,1.0,0.0,0.0,0.0,0.0
PRES PERF PROG ~ PRES PROG,0.67,0.0,0.33,0.0,0.0
MOD can ~ MOD shall,0.33,0.67,0.0,0.0,0.0
FUT PROG ~ PRES PART,1.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,0.0,0.67,0.0,0.33,0.0
MOD can ~ TO INF,0.0,0.67,0.33,0.0,0.0
MOD should ~ MOD would,0.33,0.67,0.0,0.0,0.0
PRES ~ PRES PERF PROG,0.33,0.67,0.0,0.0,0.0
MOD should ~ TO INF,1.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,0.33,0.33,0.0,0.33,0.0
MOD was to ~ PAST,0.67,0.0,0.0,0.0,0.33
PRES PERF ~ PRES PROG,0.67,0.33,0.0,0.0,0.0
PRES ~ PRES PROG keep,0.0,1.0,0.0,0.0,0.0
MOD must ~ MOD shall,1.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,0.5,0.0,0.5,0.0,0.0
MOD is to ~ TO INF,0.0,0.0,0.0,1.0,0.0
MOD may ~ TO INF,0.0,0.0,1.0,0.0,0.0
PAST PERF PROG ~ PAST PROG,1.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,1.0,0.0,0.0,0.0,0.0
FUT going-to ~ PRES PART,1.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF PROG,1.0,0.0,0.0,0.0,0.0
FUT ~ PAST PROG,0.0,1.0,0.0,0.0,0.0
MOD can ~ PRES PART,1.0,0.0,0.0,0.0,0.0
FUT ~ MOD may,0.0,0.0,1.0,0.0,0.0
MOD was to ~ PAST PROG,1.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,1.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES,0.5,0.5,0.0,0.0,0.0
PAST PERF ~ PAST PERF PROG,1.0,0.0,0.0,0.0,0.0
MOD was to ~ TO INF,1.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST PERF,1.0,0.0,0.0,0.0,0.0
TO INF ~ VB,1.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST,1.0,0.0,0.0,0.0,0.0
FUT ~ VB,1.0,0.0,0.0,0.0,0.0
FUT ~ PAST,1.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,0.0,0.0,1.0,0.0,0.0
FUT ~ MOD can,0.0,0.0,1.0,0.0,0.0
FUT ~ FUT PROG,1.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,0.0,0.0,0.0,0.0,1.0
MOD shall ~ PRES PART,0.0,1.0,0.0,0.0,0.0
IMPV ~ PRES PROG,1.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,0.0,1.0,0.0,0.0,0.0
PRES PROG ~ TO INF,0.0,1.0,0.0,0.0,0.0
PRES PROG ~ PRES PROG keep,0.0,1.0,0.0,0.0,0.0
PRES PERF ~ TO INF,1.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PERF PROG,1.0,0.0,0.0,0.0,0.0
PAST ~ VB,0.0,1.0,0.0,0.0,0.0
PAST PROG ~ TO INF,1.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PROG,1.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PERF,0.0,1.0,0.0,0.0,0.0
MOD was to ~ PRES PART,1.0,0.0,0.0,0.0,0.0
MOD that VB ~ PRES PART,1.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,0.0,1.0,0.0,0.0,0.0
MOD can ~ MOD may,0.0,1.0,0.0,0.0,0.0
MOD should ~ PAST,1.0,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,1.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,0.0,1.0,0.0,0.0,0.0
MOD shall ~ PAST,1.0,0.0,0.0,0.0,0.0
MOD need not ~ TO INF,0.0,1.0,0.0,0.0,0.0
MOD must ~ PRES PART,1.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,0.0,0.0,1.0,0.0,0.0
MOD let ~ TO INF,1.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD would,1.0,0.0,0.0,0.0,0.0
MOD could ~ PRES PART,0.0,0.0,0.0,1.0,0.0
FUT PROG ~ MOD is to,1.0,0.0,0.0,0.0,0.0
