eng_TAMsimp,prose,prophetic,poetry,instruction,list
PRES ~ PRES PART,1.82,1.73,4.72,9.17,182.0
PAST ~ PAST PROG,0.21,4.72,inf,inf,inf
PAST ~ PRES PART,0.54,2.92,46.0,inf,12.43
PRES ~ PRES PROG,0.96,1.84,21.0,11.57,87.0
PAST ~ PRES,2.59,2.21,2.05,19.33,29.5
FUT ~ PRES,2.0,1.0,12.5,9.8,inf
FUT ~ MOD shall,0.55,1.83,inf,inf,inf
PRES ~ PRES PERF,2.43,2.0,2.0,23.0,inf
PAST PROG ~ PRES PART,0.22,5.5,38.0,inf,inf
FUT ~ FUT going-to,0.89,1.12,inf,inf,inf
PAST ~ PRES PERF,1.07,1.82,6.75,30.0,inf
PAST ~ PAST PERF,0.18,12.0,inf,25.0,25.0
PRES PART ~ PRES PROG,0.39,3.17,24.0,inf,inf
FUT ~ PRES PROG,3.4,0.29,inf,inf,inf
FUT ~ PRES PART,5.0,0.64,5.0,17.0,inf
PAST ~ TO INF,0.14,15.0,inf,inf,15.0
FUT ~ TO INF,3.0,0.5,11.0,inf,inf
MOD may ~ PRES,1.4,3.0,3.0,11.0,inf
FUT going-to ~ PRES,0.83,2.67,inf,4.5,inf
MOD could ~ PAST,1.2,inf,inf,inf,0.83
FUT going-to ~ PRES PROG,4.0,0.67,inf,4.0,inf
PRES ~ TO INF,2.33,4.0,1.0,inf,inf
PRES PART ~ TO INF,2.33,1.0,9.0,9.0,inf
IMPV ~ PRES,1.67,1.67,7.0,7.0,inf
MOD is to ~ PRES,3.0,3.0,3.0,3.0,inf
MOD can ~ PRES,1.33,6.0,inf,2.5,6.0
PRES PART ~ PRES PERF,2.0,0.5,inf,inf,inf
MOD shall ~ PRES,4.0,1.5,4.0,4.0,inf
PAST PERF ~ PAST PROG,0.67,1.5,inf,inf,inf
MOD would ~ PRES,0.0,inf,inf,inf,inf
FUT ~ MOD must,1.0,inf,1.0,inf,inf
MOD would ~ PAST,0.0,inf,inf,inf,inf
MOD is to ~ MOD shall,3.0,inf,inf,1.0,3.0
PAST ~ PRES PROG,inf,0.0,inf,inf,inf
IMPV ~ MOD may,0.0,inf,inf,inf,inf
FUT going-to ~ MOD shall,1.0,1.0,inf,inf,inf
PAST ~ PAST PERF PROG,0.0,inf,inf,inf,inf
PAST PROG ~ PRES,inf,3.0,1.0,3.0,inf
MOD is to ~ PRES PART,inf,0.5,inf,2.0,inf
FUT ~ MOD is to,0.0,inf,inf,inf,inf
PRES PERF PROG ~ PRES PROG,0.5,inf,2.0,inf,inf
MOD can ~ MOD shall,2.0,0.5,inf,inf,inf
FUT PROG ~ PRES PART,0.0,inf,inf,inf,inf
MOD shall ~ TO INF,inf,0.5,inf,2.0,inf
MOD can ~ TO INF,inf,0.5,2.0,inf,inf
MOD should ~ MOD would,2.0,0.5,inf,inf,inf
PRES ~ PRES PERF PROG,2.0,0.5,inf,inf,inf
MOD should ~ TO INF,0.0,inf,inf,inf,inf
MOD let ~ PRES,2.0,2.0,inf,2.0,inf
MOD was to ~ PAST,0.5,inf,inf,inf,2.0
PRES PERF ~ PRES PROG,0.5,2.0,inf,inf,inf
PRES ~ PRES PROG keep,inf,0.0,inf,inf,inf
MOD must ~ MOD shall,0.0,inf,inf,inf,inf
