period,SBH,LBH,SBH,SBH,SBH,LBH,LBH,SBH,LBH,SBH,LBH,SBH,SBH,LBH
genre,prose,prose,prose,instruction,list,prose,list,poetry,poetry,instruction,list,prophetic,poetry,poetry
domain2,N,N,Q,N,N,Q,N,Q,Q,Q,Q,Q,N,N
eng_TAMsimp,,,,,,,,,,,,,,
PAST,1.33,7.3,24.38,46.43,52.99,93.76,87.85,226.77,278.6,812.58,2437.75,4875.5,9751.0,9751.0
PAST ~ PRES PART,1.43,8.05,15.36,169.0,56.33,16.9,169.0,169.0,84.5,169.0,inf,inf,inf,inf
PAST ~ PAST PERF,1.38,5.37,80.5,53.67,32.2,161.0,80.5,inf,161.0,inf,inf,inf,inf,inf
?PAST ~ PAST,1.43,10.9,27.25,7.27,inf,54.5,54.5,inf,inf,inf,inf,inf,inf,inf
PRES PERF,27.0,108.0,1.66,inf,inf,4.15,108.0,36.0,108.0,15.43,inf,inf,inf,inf
?PAST,1.36,6.43,30.0,30.0,inf,90.0,45.0,inf,90.0,inf,inf,inf,inf,inf
PAST ~ TO INF,1.3,7.22,21.67,32.5,inf,65.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,19.67,59.0,1.44,inf,inf,7.38,inf,14.75,inf,29.5,inf,inf,inf,inf
PAST PERF,1.55,7.29,inf,inf,5.1,51.0,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES,2.77,12.0,3.27,inf,inf,inf,36.0,36.0,inf,5.14,inf,inf,inf,inf
PAST ~ PAST PROG,1.09,25.0,inf,inf,inf,inf,25.0,inf,inf,inf,inf,inf,inf,inf
PRES,4.6,11.5,2.09,inf,inf,11.5,inf,11.5,inf,23.0,inf,inf,inf,inf
PRES PART,1.75,7.0,4.2,inf,inf,21.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,4.0,12.0,2.4,inf,inf,inf,inf,6.0,inf,inf,12.0,inf,inf,inf
