eng_TAMsimp,wqtl,yqtl,Ø,qtl,impv,ptcp,wayq,infc,infa
FUT,1.95,4.18,11.46,19.54,57.78,13.29,332.25,83.06,443.0
FUT ~ MOD shall,1.79,4.1,14.51,22.06,105.9,15.81,529.5,211.8,264.75
PRES,3.37,2.48,14.91,10.04,44.73,18.22,246.0,19.68,492.0
IMPV ~ MOD shall,1.61,3.99,14.82,138.33,27.67,69.17,inf,415.0,415.0
IMPV,3.21,11.1,22.93,26.46,2.25,114.67,inf,86.0,19.11
MOD is to ~ MOD shall,1.61,4.22,14.0,28.0,44.0,154.0,inf,inf,154.0
PAST,3.8,14.64,9.32,3.15,inf,41.0,4.88,102.5,205.0
MOD shall,1.37,7.07,9.76,205.0,102.5,102.5,inf,inf,inf
MOD must ~ MOD shall,2.73,3.64,3.19,25.5,inf,153.0,inf,inf,inf
FUT ~ PRES,2.68,2.75,22.0,10.0,27.5,22.0,110.0,36.67,inf
MOD may,2.75,2.36,13.2,33.0,13.2,inf,66.0,66.0,inf
PAST ~ PRES,1.45,16.0,21.33,8.0,inf,inf,12.8,inf,inf
MOD shall ~ PRES,2.33,3.73,7.0,18.67,28.0,14.0,inf,inf,inf
FUT ~ MOD may,2.0,3.38,9.0,27.0,27.0,inf,inf,54.0,inf
PRES PERF,7.0,5.83,5.83,2.92,17.5,inf,11.67,inf,35.0
MOD shall ~ TO INF,1.47,4.0,28.0,inf,inf,28.0,inf,inf,inf
PRES ~ PRES PART,2.45,3.38,27.0,13.5,inf,9.0,27.0,27.0,inf
PRES ~ PRES PERF,13.0,2.17,6.5,3.71,inf,26.0,inf,inf,inf
MOD would,1.92,5.0,25.0,12.5,inf,25.0,8.33,inf,inf
TO INF,3.57,1.67,inf,inf,8.33,inf,inf,inf,inf
FUT ~ MOD lest,4.0,1.41,inf,24.0,inf,inf,inf,inf,inf
MOD would ~ PAST,1.6,12.0,24.0,4.8,inf,inf,24.0,inf,inf
MOD may ~ TO INF,2.09,2.3,inf,23.0,inf,23.0,inf,inf,inf
MOD may ~ PRES,2.62,2.1,21.0,inf,inf,inf,10.5,inf,inf
MOD let,4.2,2.33,7.0,21.0,21.0,21.0,inf,inf,21.0
FUT ~ IMPV,1.46,9.5,19.0,inf,19.0,9.5,inf,inf,inf
PRES ~ TO INF,2.38,2.38,6.33,inf,inf,inf,inf,inf,inf
MOD may ~ MOD shall,2.57,3.0,4.5,inf,18.0,inf,inf,inf,inf
PAST ~ PRES PART,1.89,inf,inf,3.4,inf,inf,17.0,17.0,17.0
FUT ~ TO INF,2.29,4.0,16.0,16.0,16.0,8.0,inf,inf,inf
MOD shall ~ PRES PART,1.45,4.0,16.0,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,1.88,3.75,inf,7.5,15.0,inf,inf,inf,inf
IMPV ~ MOD let,2.0,4.67,inf,inf,3.5,inf,inf,inf,inf
PRES PART,2.0,7.0,14.0,4.67,inf,inf,14.0,inf,inf
IMPV ~ TO INF,1.86,13.0,13.0,inf,3.25,inf,inf,inf,inf
PAST ~ PRES PERF,inf,13.0,13.0,1.62,inf,inf,6.5,13.0,inf
FUT ~ MOD let,2.0,6.0,12.0,inf,12.0,6.0,inf,inf,inf
FUT ~ PRES PART,1.71,4.0,inf,12.0,inf,12.0,inf,inf,inf
MOD can ~ MOD may,1.83,2.75,11.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,2.2,2.2,inf,11.0,inf,inf,inf,inf,inf
MOD can ~ MOD shall,2.0,5.0,5.0,inf,10.0,inf,inf,inf,inf
MOD shall ~ PAST,1.29,9.0,inf,9.0,inf,inf,inf,inf,inf
MOD let ~ MOD shall,3.0,2.25,9.0,inf,9.0,inf,inf,inf,inf
MOD is to ~ PRES,1.6,4.0,inf,inf,inf,8.0,inf,inf,inf
MOD is to ~ MOD let,1.33,inf,inf,inf,4.0,inf,inf,inf,inf
MOD let ~ MOD may,2.0,4.0,inf,8.0,inf,8.0,inf,inf,inf
FUT ~ PAST,4.0,1.6,inf,inf,inf,inf,inf,8.0,inf
MOD is to ~ PAST,1.4,3.5,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD may,2.33,1.75,inf,inf,inf,inf,inf,inf,inf
PAST ~ TO INF,3.5,7.0,7.0,3.5,inf,inf,7.0,inf,inf
MOD lest ~ TO INF,1.75,2.33,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,7.0,7.0,1.75,inf,inf,inf,7.0,inf,inf
MOD shall ~ PRES PERF,2.0,inf,inf,3.0,inf,6.0,inf,inf,inf
FUT ~ PRES PERF,6.0,inf,inf,2.0,6.0,6.0,inf,inf,inf
IMPV ~ MOD lest,1.67,2.5,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD would,2.5,1.67,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD must,5.0,1.67,5.0,inf,inf,inf,inf,inf,inf
MOD can,inf,5.0,inf,2.5,inf,2.5,inf,inf,inf
MOD would ~ PRES,inf,1.25,inf,5.0,inf,inf,inf,inf,inf
IMPV ~ PAST,2.5,5.0,inf,inf,2.5,inf,inf,inf,inf
MOD should ~ PRES,inf,1.33,inf,inf,inf,inf,inf,4.0,inf
HAB used to ~ PAST,inf,4.0,4.0,4.0,inf,inf,4.0,inf,inf
IMPV ~ MOD may,1.33,inf,inf,4.0,inf,inf,inf,inf,inf
IMPV ~ MOD must,4.0,inf,2.0,inf,inf,4.0,inf,inf,inf
PAST PERF,inf,inf,inf,1.33,inf,inf,4.0,inf,inf
MOD shall ~ MOD should,2.0,4.0,4.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD can,2.0,2.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ TO INF,inf,1.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT PERF,2.0,4.0,inf,4.0,inf,inf,inf,inf,inf
MOD should,inf,2.0,2.0,inf,inf,inf,inf,inf,inf
MOD could ~ MOD may,3.0,3.0,3.0,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF,inf,inf,inf,3.0,inf,inf,1.5,inf,inf
MOD can ~ PRES,3.0,1.5,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,3.0,3.0,inf,inf,inf,inf,inf,3.0,inf
IMPV ~ MOD would,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ TO INF,1.5,3.0,inf,inf,inf,inf,inf,inf,inf
