eng_TAMsimp,wqtl,yqtl,Ø,qtl,impv,ptcp,wayq,infc,jussM,infa,jussF,cohoT,cohoM
MOD may ~ MOD must,4.0,0.67,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can,inf,4.0,inf,1.5,inf,1.5,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,inf,0.25,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,1.5,4.0,inf,inf,1.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,inf,0.33,inf,inf,inf,inf,inf,3.0,inf,inf,inf,inf,inf
HAB used to ~ PAST,inf,3.0,3.0,3.0,inf,inf,3.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD may,0.33,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD must,3.0,inf,1.0,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf
PAST PERF,inf,inf,inf,0.33,inf,inf,3.0,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD should,1.0,3.0,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD can,1.0,3.0,inf,inf,inf,inf,inf,inf,3.0,inf,inf,inf,inf
MOD let ~ TO INF,inf,3.0,inf,inf,inf,inf,inf,inf,1.0,inf,inf,3.0,inf
FUT ~ FUT PERF,1.0,3.0,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD may,2.0,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF,inf,inf,inf,2.0,inf,inf,0.5,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,2.0,0.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,2.0,2.0,inf,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf
IMPV ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ TO INF,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ MOD would,0.5,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
HAB used to,inf,2.0,inf,inf,inf,2.0,2.0,inf,inf,inf,inf,inf,inf
MOD was to,2.0,2.0,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD is to,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD that be ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to ~ PAST,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD shall,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD let,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD might,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD should,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,1.0,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD must ~ PRES,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD must,1.0,inf,inf,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD lest ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD must,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PART,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD may,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0
MOD should ~ MOD would,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD should,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ TO INF,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PROG,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD is to,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD VB,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ MOD would,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ TO INF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD should,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD that be,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
PAST PERF ~ PRES PART,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD might,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest must ~ MOD shall,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ VB,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD would,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ PRES,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PAST PROG,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ TO INF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD VB,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD lest,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD can,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
