eng_TAMsimp,wqtl,yqtl,Ø,qtl,impv,ptcp,wayq,infc,infa,jussF,cohoF
FUT,681,315,116,68,23,100,4,16,3,1,2
FUT ~ MOD shall,592,255,73,48,10,67,2,5,4,2,1
PRES,146,197,33,49,11,27,2,25,1,1,0
IMPV ~ MOD shall,257,104,28,3,15,6,0,1,1,0,0
IMPV,107,30,15,13,153,3,0,4,18,1,0
MOD is to ~ MOD shall,191,73,22,11,7,2,0,0,2,0,0
PAST,54,14,22,65,0,5,42,2,1,0,0
MOD shall,150,29,21,1,2,2,0,0,0,0,0
MOD must ~ MOD shall,56,42,48,6,0,1,0,0,0,0,0
FUT ~ PRES,41,40,5,11,4,5,1,3,0,0,0
MOD may,24,28,5,2,5,0,1,1,0,0,0
PAST ~ PRES,44,4,3,8,0,0,5,0,0,0,0
MOD shall ~ PRES,24,14,8,3,2,4,0,0,0,1,0
FUT ~ MOD may,27,16,6,2,2,0,0,1,0,0,0
PRES PERF,5,6,6,12,2,0,3,0,1,0,0
MOD shall ~ TO INF,19,7,1,0,0,1,0,0,0,0,0
PRES ~ PRES PART,11,8,1,2,0,3,1,1,0,0,0
PRES ~ PRES PERF,2,12,4,7,0,1,0,0,0,0,0
MOD would,13,5,1,2,0,1,3,0,0,0,0
TO INF,7,14,0,0,3,0,0,0,0,1,0
FUT ~ MOD lest,6,16,0,1,0,0,0,0,0,1,0
MOD would ~ PAST,15,2,1,5,0,0,1,0,0,0,0
MOD may ~ TO INF,11,10,0,1,0,1,0,0,0,0,0
MOD may ~ PRES,8,10,1,0,0,0,2,0,0,0,0
MOD let,5,5,3,1,1,1,0,0,1,1,3
FUT ~ IMPV,13,2,1,0,1,2,0,0,0,0,0
PRES ~ TO INF,8,8,3,0,0,0,0,0,0,0,0
MOD may ~ MOD shall,7,6,4,0,1,0,0,0,0,0,0
PAST ~ PRES PART,9,0,0,5,0,0,1,1,1,0,0
FUT ~ TO INF,7,4,1,1,1,2,0,0,0,0,0
MOD shall ~ PRES PART,11,4,1,0,0,0,0,0,0,0,0
IMPV ~ PRES,8,4,0,2,1,0,0,0,0,0,0
IMPV ~ MOD let,7,2,0,0,4,0,0,0,0,1,0
PRES PART,7,2,1,3,0,0,1,0,0,0,0
IMPV ~ TO INF,7,1,1,0,4,0,0,0,0,0,0
PAST ~ PRES PERF,0,1,1,8,0,0,2,1,0,0,0
FUT ~ MOD let,6,2,1,0,1,2,0,0,0,0,0
FUT ~ PRES PART,7,3,0,1,0,1,0,0,0,0,0
