eng_TAMsimp,TOTAL,wqtl,yqtl,Ø,qtl,impv,ptcp,wayq,infc,jussM,infa,jussF,cohoT,cohoM
FUT,1329,681,312,116,68,23,100,4,16,2,3,1,2,1
FUT ~ MOD shall,1059,592,253,73,48,10,67,2,5,2,4,2,1,0
PRES,492,146,194,33,49,11,27,2,25,3,1,1,0,0
IMPV ~ MOD shall,415,257,101,28,3,15,6,0,1,3,1,0,0,0
IMPV,344,107,24,15,13,153,3,0,4,6,18,1,0,0
MOD is to ~ MOD shall,308,191,72,22,11,7,2,0,0,1,2,0,0,0
PAST,205,54,14,22,65,0,5,42,2,0,1,0,0,0
MOD shall,205,150,29,21,1,2,2,0,0,0,0,0,0,0
MOD must ~ MOD shall,153,56,41,48,6,0,1,0,0,1,0,0,0,0
FUT ~ PRES,110,41,40,5,11,4,5,1,3,0,0,0,0,0
MOD may,66,24,23,5,2,5,0,1,1,5,0,0,0,0
PAST ~ PRES,64,44,4,3,8,0,0,5,0,0,0,0,0,0
MOD shall ~ PRES,56,24,14,8,3,2,4,0,0,0,0,1,0,0
FUT ~ MOD may,54,27,16,6,2,2,0,0,1,0,0,0,0,0
PRES PERF,35,5,6,6,12,2,0,3,0,0,1,0,0,0
MOD shall ~ TO INF,28,19,7,1,0,0,1,0,0,0,0,0,0,0
PRES ~ PRES PART,27,11,8,1,2,0,3,1,1,0,0,0,0,0
PRES ~ PRES PERF,26,2,12,4,7,0,1,0,0,0,0,0,0,0
MOD would,25,13,5,1,2,0,1,3,0,0,0,0,0,0
TO INF,25,7,14,0,0,3,0,0,0,0,0,1,0,0
FUT ~ MOD lest,24,6,16,0,1,0,0,0,0,0,0,1,0,0
MOD would ~ PAST,24,15,2,1,5,0,0,1,0,0,0,0,0,0
MOD may ~ TO INF,23,11,10,0,1,0,1,0,0,0,0,0,0,0
MOD may ~ PRES,21,8,9,1,0,0,0,2,0,1,0,0,0,0
MOD let,21,5,2,3,1,1,1,0,0,3,1,1,3,0
FUT ~ IMPV,19,13,2,1,0,1,2,0,0,0,0,0,0,0
PRES ~ TO INF,19,8,8,3,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD shall,18,7,6,4,0,1,0,0,0,0,0,0,0,0
PAST ~ PRES PART,17,9,0,0,5,0,0,1,1,0,1,0,0,0
FUT ~ TO INF,16,7,4,1,1,1,2,0,0,0,0,0,0,0
MOD shall ~ PRES PART,16,11,4,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES,15,8,4,0,2,1,0,0,0,0,0,0,0,0
IMPV ~ MOD let,14,7,1,0,0,4,0,0,0,1,0,1,0,0
PRES PART,14,7,2,1,3,0,0,1,0,0,0,0,0,0
IMPV ~ TO INF,13,7,0,1,0,4,0,0,0,1,0,0,0,0
PAST ~ PRES PERF,13,0,1,1,8,0,0,2,1,0,0,0,0,0
FUT ~ MOD let,12,6,1,1,0,1,2,0,0,0,0,0,0,1
FUT ~ PRES PART,12,7,3,0,1,0,1,0,0,0,0,0,0,0
