,qal,hif,piel,nif,hit,hof,pual,hsht,tif,poel,htpo
PRES,0.89,1.08,1.34,0.72,1.54,0.78,1.84,0.46,0.0,0.0,0.0
FUT,0.94,1.37,1.18,0.75,0.49,0.13,1.0,0.17,0.0,0.0,0.0
FUT ~ MOD shall,1.47,0.47,0.43,1.87,0.92,0.77,1.23,2.65,0.0,0.0,0.0
IMPV ~ MOD shall,1.13,1.15,1.36,0.25,0.62,0.17,0.0,1.9,0.0,0.0,0.0
PAST,0.64,1.63,1.36,0.99,1.21,0.81,2.2,1.03,0.0,0.0,0.0
FUT ~ PRES,1.09,0.93,1.25,0.54,1.75,0.0,1.38,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,0.6,0.72,1.4,1.5,1.11,12.76,0.0,4.53,0.0,0.0,0.0
MOD is to ~ MOD shall,1.36,1.07,0.31,1.14,0.18,1.59,0.0,0.0,0.0,0.0,0.0
MOD can,1.01,1.39,0.68,0.81,0.79,0.67,2.16,0.0,0.0,0.0,0.0
MOD shall,1.35,0.54,0.17,1.15,0.24,9.89,0.0,7.09,0.0,0.0,0.0
MOD may,1.59,0.76,0.84,0.64,0.56,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,1.07,1.26,0.96,0.72,0.85,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,1.98,0.44,0.58,1.13,0.35,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,1.01,1.69,0.67,0.7,0.46,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES,0.75,1.27,1.0,1.14,1.48,1.69,3.53,0.0,0.0,0.0,0.0
FUT ~ MOD may,1.26,0.72,0.76,1.23,1.04,0.0,0.0,4.65,0.0,0.0,0.0
PRES ~ PRES PART,0.94,0.95,1.42,0.13,2.93,0.95,0.0,0.0,0.0,inf,inf
PRES ~ PRES PERF,1.0,1.25,0.78,1.11,0.0,2.12,0.0,0.0,0.0,0.0,0.0
MOD should,1.6,0.88,0.48,0.68,0.0,1.16,2.41,0.0,0.0,0.0,0.0
MOD can ~ PRES,1.13,0.77,0.68,1.63,1.53,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD lest,1.48,0.56,0.26,2.11,0.0,0.0,2.69,0.0,0.0,0.0,0.0
FUT ~ MOD can,0.37,2.2,2.1,1.09,2.6,0.0,0.0,0.0,inf,0.0,0.0
PRES PERF,0.83,1.33,1.57,0.43,0.87,1.51,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD shall,6.67,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,0.78,0.39,2.04,1.79,2.25,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,0.73,1.64,1.58,0.57,1.14,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,0.95,1.24,1.08,0.57,2.35,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,1.95,0.42,0.63,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD shall,0.54,0.78,0.9,4.31,1.22,2.11,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,0.59,1.35,1.43,1.28,3.88,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ TO INF,0.42,1.96,1.26,2.65,1.31,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,1.26,1.29,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could,0.93,1.14,0.0,2.91,1.42,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ TO INF,1.0,0.17,1.41,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must,1.23,1.21,1.13,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,0.32,1.52,4.75,0.78,1.55,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD may,2.53,0.18,0.27,0.8,0.0,2.76,5.72,0.0,0.0,0.0,0.0
PAST ~ PRES PERF,0.73,2.28,0.9,0.4,1.64,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,0.51,0.9,0.62,1.37,5.69,9.9,6.29,0.0,0.0,0.0,0.0
MOD would ~ PAST,1.42,0.7,0.67,0.95,0.0,0.0,0.0,17.05,0.0,0.0,0.0
FUT ~ TO INF,0.58,2.56,1.57,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,0.5,2.66,0.86,0.0,7.97,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ IMPV,0.72,2.43,0.45,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PRES PART,0.41,0.3,3.63,3.02,2.63,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,2.17,0.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,1.9,0.36,1.13,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,0.68,0.0,1.81,0.75,10.63,5.36,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,0.42,0.4,2.09,5.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD may,2.35,0.0,0.6,0.85,3.51,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,0.36,2.21,1.39,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,1.08,2.21,0.0,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PAST,0.2,5.32,1.39,0.92,3.76,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PAST,0.54,1.01,0.0,7.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD let,0.22,3.37,2.47,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ PRES,1.35,1.01,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD would,0.97,0.0,0.69,2.14,4.05,7.01,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD may,0.63,1.82,1.64,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD shall,0.46,1.1,0.75,5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD should,0.76,0.55,0.82,2.57,0.0,8.28,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST,1.08,2.02,0.0,0.0,0.0,0.0,0.0,43.46,0.0,0.0,0.0
MOD may ~ TO INF,1.08,2.02,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD must,0.76,2.02,0.0,0.0,4.79,8.28,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,0.31,1.35,2.01,2.85,0.0,9.11,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD can,0.45,2.27,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might,5.42,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,1.44,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD must,1.26,0.67,0.0,1.42,0.0,0.0,0.0,53.13,0.0,0.0,0.0
PAST ~ PAST PERF,1.26,0.67,1.0,0.0,0.0,0.0,21.02,0.0,0.0,0.0,0.0
MOD is to,0.54,0.0,0.0,5.51,5.86,10.13,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PAST,1.9,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD should,0.54,2.02,0.0,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD could,1.62,0.87,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest,1.35,1.01,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF,0.41,2.42,0.0,2.14,8.79,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,0.41,1.01,6.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,3.25,0.0,0.0,0.0,0.0,15.19,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD would,0.54,1.21,1.81,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,1.08,0.0,0.0,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PROG,0.27,0.0,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
