eng_TAMsimp,qal,hif,piel,nif,hit,hof,pual,hsht,tif,poel,poal,htpo
PRES,1697,401,329,151,69,24,22,3,0,0,0,0
FUT,1562,454,322,137,25,4,12,2,0,0,0,0
FUT ~ MOD shall,1269,138,86,210,32,15,11,8,0,0,0,0
IMPV,452,108,62,31,25,0,0,0,0,0,0,0
MOD let,377,69,57,34,11,6,0,1,0,0,0,0
IMPV ~ MOD shall,342,83,66,10,6,1,0,2,0,0,0,0
PAST,247,94,59,32,10,4,5,1,0,0,0,0
FUT ~ PRES,287,65,54,18,15,0,3,1,0,0,0,0
MOD may,296,45,34,22,3,0,0,2,0,0,0,0
MOD must ~ MOD shall,179,39,45,35,7,33,0,3,0,0,0,0
MOD is to ~ MOD shall,211,44,10,24,1,5,0,0,0,0,0,0
MOD can,176,50,20,16,4,2,3,0,0,0,0,0
MOD shall,156,18,4,20,1,19,0,3,0,0,0,0
FUT ~ MOD may,114,19,16,11,4,0,0,1,0,0,0,0
MOD shall ~ PRES,121,10,9,12,1,0,0,0,0,0,0,0
IMPV ~ MOD let,92,21,7,16,3,1,0,0,0,0,0,0
MOD would,87,32,11,6,1,0,0,0,0,0,0,0
MOD let ~ MOD may,104,8,7,12,0,0,0,0,0,0,1,0
PAST ~ PRES,68,19,11,9,3,2,2,0,0,0,0,0
PRES ~ PRES PART,61,13,14,1,5,1,0,0,0,1,0,1
PRES ~ PRES PERF,57,15,7,7,0,2,0,0,0,0,0,0
MOD should,62,10,5,4,1,1,1,0,0,0,0,0
TO INF,54,14,7,2,2,0,0,0,0,0,0,0
FUT ~ MOD lest,52,7,2,10,0,0,1,0,0,0,0,0
MOD can ~ PRES,49,8,5,8,2,0,0,0,0,0,0,0
MOD can ~ MOD may,50,7,6,4,0,1,1,0,0,0,0,0
MOD may ~ PRES,50,4,7,6,0,0,0,1,0,0,0,0
FUT ~ MOD can,28,17,12,6,3,0,0,0,1,0,0,0
PRES PERF,37,11,9,2,1,1,0,0,0,0,0,0
IMPV ~ PRES,36,11,9,2,1,0,0,0,0,0,0,0
MOD may ~ MOD shall,53,1,0,4,0,0,0,0,0,0,0,0
PRES PART,30,3,9,6,2,0,0,0,0,0,0,0
MOD can ~ MOD shall,22,6,5,11,1,1,0,0,0,0,0,0
FUT ~ MOD would,29,12,5,0,0,0,0,0,0,0,0,0
MOD may ~ TO INF,33,4,5,3,1,0,0,0,0,0,0,0
