eng_TAMsimp,poetry,prophetic,prose,instruction,list
PRES,1256,650,419,349,2
FUT,661,937,692,61,1
FUT ~ MOD shall,185,961,462,129,10
IMPV,183,162,237,19,0
IMPV ~ MOD shall,0,28,126,347,6
PAST,214,86,131,5,11
FUT ~ PRES,196,132,82,19,0
MOD let,137,96,124,10,0
MOD must ~ MOD shall,1,24,59,253,1
MOD may,65,35,146,80,0
MOD is to ~ MOD shall,0,29,55,203,7
MOD can,124,72,65,9,0
MOD shall,11,21,99,89,0
MOD shall ~ PRES,22,35,35,55,3
FUT ~ MOD may,34,31,50,19,0
MOD would,52,26,41,0,1
IMPV ~ MOD let,28,21,58,5,0
PAST ~ PRES,56,37,13,3,2
MOD let ~ MOD may,73,5,25,1,0
PRES ~ PRES PART,41,27,17,11,0
PRES ~ PRES PERF,31,19,21,17,0
MOD should,16,13,53,1,0
FUT ~ MOD lest,14,10,33,15,0
MOD can ~ PRES,35,16,19,1,0
TO INF,17,19,31,4,0
FUT ~ MOD can,22,23,18,1,0
MOD may ~ PRES,19,11,22,10,0
PRES PERF,26,12,16,7,0
MOD may ~ MOD shall,15,5,16,22,0
IMPV ~ PRES,26,16,11,2,0
MOD can ~ MOD may,7,6,32,5,0
PRES PART,16,19,12,2,0
PRES ~ TO INF,14,7,7,17,0
MOD should ~ PRES,15,9,19,2,0
MOD can ~ MOD shall,13,12,17,2,0
FUT ~ MOD would,18,10,14,0,0
MOD must,5,12,15,6,0
MOD shall ~ TO INF,1,10,22,5,0
MOD could,10,6,17,5,0
PAST ~ PRES PERF,22,7,2,2,0
MOD may ~ TO INF,1,3,26,3,0
MOD shall ~ MOD should,2,13,15,1,0
IMPV ~ MOD may,7,1,19,3,0
FUT ~ TO INF,9,6,14,0,0
MOD would ~ PAST,3,7,16,2,1
MOD would ~ PRES,16,1,5,1,0
FUT ~ IMPV,8,7,7,1,0
MOD let ~ PRES,12,6,4,0,0
PAST ~ PRES PART,7,7,5,1,1
FUT ~ MOD let,9,5,7,0,0
MOD shall ~ PRES PART,0,8,2,10,0
MOD should ~ TO INF,5,3,10,0,1
MOD must ~ PRES,6,2,5,5,0
FUT ~ PRES PART,2,10,5,0,0
MOD let ~ TO INF,4,1,12,0,0
MOD lest ~ MOD may,4,2,3,7,0
PRES ~ PRES PROG,2,2,7,5,0
MOD let ~ MOD shall,0,6,3,6,0
FUT ~ PAST,2,8,5,0,0
IMPV ~ MOD must,0,2,11,1,0
MOD lest ~ PRES,2,1,10,1,0
MOD shall ~ PAST,0,7,5,2,0
MOD should ~ MOD would,7,2,4,1,0
PAST ~ TO INF,3,3,4,1,2
FUT ~ MOD should,5,4,2,1,0
HAB used to ~ PAST,1,2,9,0,0
MOD might,6,1,4,0,0
MOD may ~ MOD must,1,0,5,5,0
IMPV ~ MOD can,9,0,2,0,0
MOD is to,2,1,5,2,0
PAST ~ PAST PERF,4,1,5,0,0
MOD let ~ MOD must,0,1,6,2,0
MOD was to ~ PAST,1,2,3,3,0
MOD is to ~ MOD let,0,0,5,4,0
MOD can ~ MOD should,1,3,4,0,0
MOD let ~ PAST,5,1,1,1,0
MOD let ~ MOD should,1,1,6,0,0
MOD can ~ MOD could,4,1,3,0,0
IMPV ~ PAST,1,4,2,0,0
MOD could ~ MOD would,1,4,2,0,0
IMPV ~ MOD should,0,6,1,0,0
FUT ~ MOD must,3,2,2,0,0
MOD lest,6,1,0,0,0
MOD should ~ MOD was to,2,0,5,0,0
PAST PERF,1,0,6,0,0
IMPV ~ PRES PART,0,3,3,1,0
MOD might ~ MOD would,3,3,0,1,0
IMPV ~ TO INF,1,2,2,2,0
FUT ~ FUT going-to,0,0,6,0,0
PRES PART ~ TO INF,2,1,0,3,0
MOD lest ~ MOD might,0,1,4,1,0
MOD could ~ PAST,4,0,2,0,0
FUT ~ PRES PERF,1,2,3,0,0
MOD can ~ TO INF,3,1,2,0,0
MOD is to ~ MOD may,0,0,2,4,0
MOD may ~ PRES PART,0,3,3,0,0
MOD could ~ MOD might,1,1,4,0,0
FUT going-to ~ MOD shall,0,1,5,0,0
MOD shall ~ MOD would,3,0,2,1,0
?VB ~ MOD let,5,0,1,0,0
PAST ~ PAST PROG,1,2,3,0,0
MOD can ~ PRES PART,3,1,1,0,0
MOD VB ~ MOD may,2,2,0,1,0
MOD is to ~ MOD must,0,1,4,0,0
MOD might ~ TO INF,2,2,1,0,0
MOD can ~ MOD let,0,1,4,0,0
MOD lest ~ TO INF,0,0,4,1,0
MOD would ~ TO INF,3,1,1,0,0
MOD let ~ PRES PART,2,1,2,0,0
MOD might ~ PAST,2,3,0,0,0
MOD was to,1,0,3,0,1
MOD might ~ MOD should,2,0,3,0,0
MOD should ~ PAST,2,1,1,0,0
MOD VB ~ PRES,4,0,0,0,0
FUT ~ PRES PROG,0,1,3,0,0
IMPV ~ MOD lest,1,2,1,0,0
HAB used to,0,0,4,0,0
PAST PERF ~ PRES,1,1,2,0,0
MOD can ~ PAST,0,3,1,0,0
FUT ~ MOD is to,0,1,3,0,0
?VB ~ PAST,2,0,2,0,0
PRES PERF ~ TO INF,0,4,0,0,0
MOD could ~ MOD should,0,1,2,0,0
?VB,0,1,2,0,0
PAST PROG,0,0,3,0,0
MOD shall ~ PRES PERF,0,0,3,0,0
MOD can ~ MOD might,0,0,3,0,0
MOD could ~ MOD must,3,0,0,0,0
FUT PROG ~ PRES,1,0,0,2,0
MOD lest ~ MOD would,0,0,2,1,0
FUT ~ MOD that be,0,0,2,1,0
MOD need not ~ MOD shall,2,0,1,0,0
MOD may ~ PRES PERF,1,0,1,1,0
MOD may ~ PAST,2,0,1,0,0
MOD may ~ MOD might,1,1,1,0,0
PRES PART ~ PRES PERF,2,1,0,0,0
MOD is to ~ PRES PART,1,0,2,0,0
MOD let ~ PRES PERF,1,0,2,0,0
MOD let ~ MOD would,1,0,2,0,0
IMPV ~ MOD is to,0,0,3,0,0
MOD would ~ PRES PART,1,1,1,0,0
?VB ~ MOD must,0,0,2,0,0
?VB ~ MOD shall,0,0,1,1,0
??VB ~ MOD let,0,0,2,0,0
MOD must ~ MOD should,1,0,1,0,0
MOD is to ~ PRES,0,0,2,0,0
MOD can ~ MOD must,1,0,1,0,0
MOD should ~ PRES PERF,0,1,1,0,0
MOD that be,0,1,1,0,0
MOD let ~ MOD that be,1,0,1,0,0
PAST PROG ~ PRES,1,1,0,0,0
MOD lest ~ MOD should,2,0,0,0,0
MOD lest ~ MOD shall,0,1,1,0,0
MOD is to ~ TO INF,1,0,1,0,0
MOD need not ~ PRES,0,1,0,1,0
MOD could ~ TO INF,1,0,1,0,0
PRES PROG,0,1,1,0,0
PRES ~ PRES do,2,0,0,0,0
FUT PERF,0,1,0,0,0
FUT ~ MOD,0,0,1,0,0
MOD quest must,0,1,0,0,0
MOD quest must ~ MOD shall,0,0,1,0,0
PRES ~ PRES shall,0,0,0,1,0
MOD should ~ PRES PART,0,0,1,0,0
?VB ~ IMPV,0,0,1,0,0
?VB ~ MOD lest,1,0,0,0,0
MOD that be ~ TO INF,0,0,0,1,0
MOD was to ~ PRES,0,0,1,0,0
MOD would ~ PAST PERF,0,1,0,0,0
MOD ~ PRES,0,0,1,0,0
MOD would ~ PAST PROG,1,0,0,0,0
FUT PERF ~ PRES,0,0,1,0,0
FUT ~ FUT PROG,1,0,0,0,0
PRES ~ PRES can,0,0,1,0,0
PRES PERF ~ PRES PROG,1,0,0,0,0
MOD must ~ TO INF,0,0,1,0,0
FUT going-to ~ MOD is to,0,1,0,0,0
PAST PROG ~ PRES PART,0,1,0,0,0
FUT PROG ~ MOD shall,0,0,0,1,0
PRES PART ~ PRES PROG,0,0,1,0,0
FUT going-to ~ MOD lest,0,0,1,0,0
MOD can ~ MOD lest,0,0,1,0,0
MOD must ~ PRES shall,0,0,0,1,0
MOD lest ~ MOD let,0,0,1,0,0
MOD could ~ MOD shall,0,0,1,0,0
MOD VB ~ TO INF,1,0,0,0,0
MOD could ~ PAST PERF,0,0,1,0,0
MOD VB ~ MOD shall,0,1,0,0,0
MOD could ~ PRES PERF,1,0,0,0,0
MOD VB ~ MOD can,1,0,0,0,0
JJ ~ PRES,1,0,0,0,0
IMPV ~ PRES PERF,0,1,0,0,0
MOD is to ~ MOD lest,0,1,0,0,0
MOD is to ~ MOD should,0,0,1,0,0
MOD is to ~ PRES PROG,0,0,1,0,0
IMPV ~ MOD need not,0,0,0,1,0
MOD lest ~ MOD must,0,0,0,1,0
MOD must ~ PRES PROG,1,0,0,0,0
MOD let ~ MOD might,0,1,0,0,0
IMPV ~ MOD,0,0,1,0,0
MOD let ~ VB,0,0,1,0,0
HAB used to ~ PRES PERF,1,0,0,0,0
HAB used to ~ PRES,0,0,1,0,0
MOD may ~ MOD should,1,0,0,0,0
HAB used to ~ MOD would,1,0,0,0,0
MOD may ~ MOD would,0,0,1,0,0
MOD might ~ PRES PERF,0,1,0,0,0
FUT ~ PRES shall,0,0,0,1,0
MOD must ~ MOD quest must,0,1,0,0,0
MOD must ~ PRES PART,0,0,1,0,0
MOD lest ~ MOD that be,0,0,0,1,0
