eng_TAMsimp,poetry,prophetic,prose,instruction,list
PRES,2.13,4.12,6.39,7.67,1338.0
FUT,3.56,2.51,3.4,38.56,2352.0
FUT ~ MOD shall,9.44,1.82,3.78,13.54,174.7
IMPV,3.28,3.71,2.54,31.63,inf
IMPV ~ MOD shall,inf,18.11,4.02,1.46,84.5
PAST,2.09,5.2,3.41,89.4,40.64
FUT ~ PRES,2.19,3.25,5.23,22.58,inf
MOD let,2.68,3.82,2.96,36.7,inf
MOD must ~ MOD shall,338.0,14.08,5.73,1.34,338.0
MOD may,5.02,9.31,2.23,4.08,inf
MOD is to ~ MOD shall,inf,10.14,5.35,1.45,42.0
MOD can,2.18,3.75,4.15,30.0,inf
MOD shall,20.0,10.48,2.22,2.47,inf
MOD shall ~ PRES,6.82,4.29,4.29,2.73,50.0
FUT ~ MOD may,3.94,4.32,2.68,7.05,inf
MOD would,2.31,4.62,2.93,inf,120.0
IMPV ~ MOD let,4.0,5.33,1.93,22.4,inf
PAST ~ PRES,1.98,3.0,8.54,37.0,55.5
MOD let ~ MOD may,1.42,20.8,4.16,104.0,inf
PRES ~ PRES PART,2.34,3.56,5.65,8.73,inf
PRES ~ PRES PERF,2.84,4.63,4.19,5.18,inf
MOD should,5.19,6.38,1.57,83.0,inf
FUT ~ MOD lest,5.14,7.2,2.18,4.8,inf
MOD can ~ PRES,2.03,4.44,3.74,71.0,inf
TO INF,4.18,3.74,2.29,17.75,inf
FUT ~ MOD can,2.91,2.78,3.56,64.0,inf
MOD may ~ PRES,3.26,5.64,2.82,6.2,inf
PRES PERF,2.35,5.08,3.81,8.71,inf
MOD may ~ MOD shall,3.87,11.6,3.62,2.64,inf
IMPV ~ PRES,2.12,3.44,5.0,27.5,inf
MOD can ~ MOD may,7.14,8.33,1.56,10.0,inf
PRES PART,3.06,2.58,4.08,24.5,inf
PRES ~ TO INF,3.21,6.43,6.43,2.65,inf
MOD should ~ PRES,3.0,5.0,2.37,22.5,inf
MOD can ~ MOD shall,3.38,3.67,2.59,22.0,inf
FUT ~ MOD would,2.33,4.2,3.0,inf,inf
MOD must,7.6,3.17,2.53,6.33,inf
MOD shall ~ TO INF,38.0,3.8,1.73,7.6,inf
MOD could,3.8,6.33,2.24,7.6,inf
PAST ~ PRES PERF,1.5,4.71,16.5,16.5,inf
MOD may ~ TO INF,33.0,11.0,1.27,11.0,inf
MOD shall ~ MOD should,15.5,2.38,2.07,31.0,inf
IMPV ~ MOD may,4.29,30.0,1.58,10.0,inf
FUT ~ TO INF,3.22,4.83,2.07,inf,inf
MOD would ~ PAST,9.67,4.14,1.81,14.5,29.0
MOD would ~ PRES,1.44,23.0,4.6,23.0,inf
FUT ~ IMPV,2.88,3.29,3.29,23.0,inf
MOD let ~ PRES,1.83,3.67,5.5,inf,inf
PAST ~ PRES PART,3.0,3.0,4.2,21.0,21.0
FUT ~ MOD let,2.33,4.2,3.0,inf,inf
MOD shall ~ PRES PART,inf,2.5,10.0,2.0,inf
MOD should ~ TO INF,3.8,6.33,1.9,inf,19.0
MOD must ~ PRES,3.0,9.0,3.6,3.6,inf
FUT ~ PRES PART,8.5,1.7,3.4,inf,inf
MOD let ~ TO INF,4.25,17.0,1.42,inf,inf
MOD lest ~ MOD may,4.0,8.0,5.33,2.29,inf
PRES ~ PRES PROG,8.0,8.0,2.29,3.2,inf
MOD let ~ MOD shall,inf,2.5,5.0,2.5,inf
FUT ~ PAST,7.5,1.88,3.0,inf,inf
IMPV ~ MOD must,inf,7.0,1.27,14.0,inf
MOD lest ~ PRES,7.0,14.0,1.4,14.0,inf
MOD shall ~ PAST,inf,2.0,2.8,7.0,inf
MOD should ~ MOD would,2.0,7.0,3.5,14.0,inf
PAST ~ TO INF,4.33,4.33,3.25,13.0,6.5
FUT ~ MOD should,2.4,3.0,6.0,12.0,inf
HAB used to ~ PAST,12.0,6.0,1.33,inf,inf
MOD might,1.83,11.0,2.75,inf,inf
MOD may ~ MOD must,11.0,inf,2.2,2.2,inf
IMPV ~ MOD can,1.22,inf,5.5,inf,inf
MOD is to,5.0,10.0,2.0,5.0,inf
PAST ~ PAST PERF,2.5,10.0,2.0,inf,inf
MOD let ~ MOD must,inf,9.0,1.5,4.5,inf
MOD was to ~ PAST,9.0,4.5,3.0,3.0,inf
MOD is to ~ MOD let,inf,inf,1.8,2.25,inf
MOD can ~ MOD should,8.0,2.67,2.0,inf,inf
MOD let ~ PAST,1.6,8.0,8.0,8.0,inf
MOD let ~ MOD should,8.0,8.0,1.33,inf,inf
MOD can ~ MOD could,2.0,8.0,2.67,inf,inf
IMPV ~ PAST,7.0,1.75,3.5,inf,inf
MOD could ~ MOD would,7.0,1.75,3.5,inf,inf
IMPV ~ MOD should,inf,1.17,7.0,inf,inf
FUT ~ MOD must,2.33,3.5,3.5,inf,inf
MOD lest,1.17,7.0,inf,inf,inf
MOD should ~ MOD was to,3.5,inf,1.4,inf,inf
PAST PERF,7.0,inf,1.17,inf,inf
IMPV ~ PRES PART,inf,2.33,2.33,7.0,inf
MOD might ~ MOD would,2.33,2.33,inf,7.0,inf
IMPV ~ TO INF,7.0,3.5,3.5,3.5,inf
FUT ~ FUT going-to,inf,inf,1.0,inf,inf
PRES PART ~ TO INF,3.0,6.0,inf,2.0,inf
MOD lest ~ MOD might,inf,6.0,1.5,6.0,inf
MOD could ~ PAST,1.5,inf,3.0,inf,inf
FUT ~ PRES PERF,6.0,3.0,2.0,inf,inf
MOD can ~ TO INF,2.0,6.0,3.0,inf,inf
MOD is to ~ MOD may,inf,inf,3.0,1.5,inf
MOD may ~ PRES PART,inf,2.0,2.0,inf,inf
MOD could ~ MOD might,6.0,6.0,1.5,inf,inf
FUT going-to ~ MOD shall,inf,6.0,1.2,inf,inf
MOD shall ~ MOD would,2.0,inf,3.0,6.0,inf
?VB ~ MOD let,1.2,inf,6.0,inf,inf
PAST ~ PAST PROG,6.0,3.0,2.0,inf,inf
MOD can ~ PRES PART,1.67,5.0,5.0,inf,inf
MOD VB ~ MOD may,2.5,2.5,inf,5.0,inf
MOD is to ~ MOD must,inf,5.0,1.25,inf,inf
MOD might ~ TO INF,2.5,2.5,5.0,inf,inf
MOD can ~ MOD let,inf,5.0,1.25,inf,inf
MOD lest ~ TO INF,inf,inf,1.25,5.0,inf
