eng_TAMsimp,TOTAL,prophetic,poetry,prose,instruction,list
PRES,2663,646,1248,418,349,2
FUT,2251,920,603,666,61,1
FUT ~ MOD shall,1727,957,177,454,129,10
IMPV ~ MOD shall,504,28,0,125,345,6
PAST,447,86,214,131,5,11
FUT ~ PRES,414,131,183,81,19,0
MOD must ~ MOD shall,338,24,1,59,253,1
MOD is to ~ MOD shall,294,29,0,55,203,7
MOD can,269,71,124,65,9,0
MOD shall,219,20,11,99,89,0
MOD may,188,26,18,64,80,0
IMPV,187,38,44,98,7,0
MOD shall ~ PRES,148,35,20,35,55,3
MOD would,115,24,49,41,0,1
PAST ~ PRES,110,37,55,13,3,2
FUT ~ MOD may,103,26,22,36,19,0
PRES ~ PRES PART,96,27,41,17,11,0
PRES ~ PRES PERF,88,19,31,21,17,0
MOD should,79,12,14,52,1,0
MOD can ~ PRES,71,16,35,19,1,0
FUT ~ MOD lest,71,10,14,32,15,0
FUT ~ MOD can,64,23,22,18,1,0
PRES PERF,61,12,26,16,7,0
MOD may ~ MOD shall,53,5,12,14,22,0
PRES PART,49,19,16,12,2,0
IMPV ~ PRES,47,15,23,7,2,0
TO INF,47,15,14,16,2,0
MOD may ~ PRES,46,10,16,10,10,0
MOD can ~ MOD shall,44,12,13,17,2,0
MOD should ~ PRES,44,9,14,19,2,0
PRES ~ TO INF,41,7,14,7,13,0
FUT ~ MOD would,40,10,17,13,0,0
MOD could,38,6,10,17,5,0
MOD shall ~ TO INF,37,10,1,21,5,0
MOD must,36,11,4,15,6,0
MOD let,35,9,14,8,4,0
MOD can ~ MOD may,34,5,7,17,5,0
PAST ~ PRES PERF,33,7,22,2,2,0
MOD shall ~ MOD should,31,13,2,15,1,0
MOD would ~ PAST,29,7,3,16,2,1
FUT ~ TO INF,27,6,9,12,0,0
MOD would ~ PRES,23,1,16,5,1,0
FUT ~ IMPV,21,5,8,7,1,0
PAST ~ PRES PART,21,7,7,5,1,1
MOD shall ~ PRES PART,20,8,0,2,10,0
MOD should ~ TO INF,18,2,5,10,0,1
MOD must ~ PRES,18,2,6,5,5,0
PRES ~ PRES PROG,16,2,2,7,5,0
MOD lest ~ MOD may,16,2,4,3,7,0
MOD let ~ PRES,15,5,7,3,0,0
FUT ~ PRES PART,15,10,2,3,0,0
FUT ~ PAST,15,8,2,5,0,0
MOD shall ~ PAST,14,7,0,5,2,0
FUT ~ MOD let,14,4,5,5,0,0
MOD lest ~ PRES,14,1,2,10,1,0
MOD should ~ MOD would,14,2,7,4,1,0
IMPV ~ MOD may,13,1,4,6,2,0
MOD let ~ MOD shall,13,4,0,3,6,0
FUT ~ MOD should,12,4,5,2,1,0
HAB used to ~ PAST,12,2,1,9,0,0
MOD may ~ TO INF,12,2,1,8,1,0
IMPV ~ MOD must,12,2,0,9,1,0
IMPV ~ MOD let,11,3,0,4,4,0
IMPV ~ MOD can,11,0,9,2,0,0
MOD might,11,1,6,4,0,0
PAST ~ TO INF,11,2,3,3,1,2
MOD may ~ MOD must,10,0,0,5,5,0
PAST ~ PAST PERF,10,1,4,5,0,0
MOD is to,10,1,2,5,2,0
MOD was to ~ PAST,9,2,1,3,3,0
MOD can ~ MOD should,8,3,1,4,0,0
MOD can ~ MOD could,8,1,4,3,0,0
MOD lest,7,1,6,0,0,0
PAST PERF,7,0,1,6,0,0
FUT ~ MOD must,7,2,3,2,0,0
MOD should ~ MOD was to,7,0,2,5,0,0
MOD might ~ MOD would,6,2,3,0,1,0
MOD could ~ PAST,6,0,4,2,0,0
FUT ~ PRES PERF,6,2,1,3,0,0
PAST ~ PAST PROG,6,2,1,3,0,0
FUT going-to ~ MOD shall,6,1,0,5,0,0
MOD lest ~ MOD might,6,1,0,4,1,0
MOD shall ~ MOD would,6,0,3,2,1,0
MOD let ~ MOD must,6,0,0,4,2,0
PRES PART ~ TO INF,6,1,2,0,3,0
MOD is to ~ MOD may,6,0,0,2,4,0
MOD could ~ MOD would,6,4,0,2,0,0
FUT ~ FUT going-to,5,0,0,5,0,0
MOD VB ~ MOD may,5,2,2,0,1,0
MOD can ~ PRES PART,5,1,3,1,0,0
MOD is to ~ MOD must,5,1,0,4,0,0
MOD can ~ TO INF,5,1,3,1,0,0
IMPV ~ PRES PART,5,1,0,3,1,0
MOD lest ~ TO INF,5,0,0,4,1,0
MOD might ~ TO INF,5,2,2,1,0,0
MOD may ~ PRES PART,5,3,0,2,0,0
MOD would ~ TO INF,5,1,3,1,0,0
MOD might ~ PAST,5,3,2,0,0,0
MOD might ~ MOD should,5,0,2,3,0,0
MOD was to,5,0,1,3,0,1
?VB ~ PAST,4,0,2,2,0,0
IMPV ~ TO INF,4,1,1,0,2,0
PRES PERF ~ TO INF,4,4,0,0,0,0
MOD could ~ MOD might,4,0,0,4,0,0
MOD can ~ PAST,4,3,0,1,0,0
FUT ~ MOD is to,4,1,0,3,0,0
MOD VB ~ PRES,4,0,4,0,0,0
PAST PERF ~ PRES,4,1,1,2,0,0
IMPV ~ PAST,4,3,1,0,0,0
MOD should ~ PAST,4,1,2,1,0,0
HAB used to,4,0,0,4,0,0
IMPV ~ MOD lest,4,2,1,1,0,0
MOD let ~ MOD may,4,1,1,1,1,0
FUT ~ PRES PROG,3,1,0,2,0,0
MOD shall ~ PRES PERF,3,0,0,3,0,0
MOD would ~ PRES PART,3,1,1,1,0,0
FUT ~ MOD that be,3,0,0,2,1,0
MOD can ~ MOD let,3,0,0,3,0,0
PAST PROG,3,0,0,3,0,0
MOD can ~ MOD might,3,0,0,3,0,0
MOD lest ~ MOD would,3,0,0,2,1,0
MOD could ~ MOD must,3,0,3,0,0,0
MOD could ~ MOD should,3,1,0,2,0,0
IMPV ~ MOD is to,3,0,0,3,0,0
PRES PART ~ PRES PERF,3,1,2,0,0,0
MOD may ~ MOD might,3,1,1,1,0,0
FUT PROG ~ PRES,3,0,1,0,2,0
MOD is to ~ PRES PART,3,0,1,2,0,0
PRES ~ PRES do,2,0,2,0,0,0
MOD may ~ PAST,2,0,1,1,0,0
MOD lest ~ MOD should,2,0,2,0,0,0
MOD should ~ PRES PERF,2,1,0,1,0,0
MOD lest ~ MOD shall,2,1,0,1,0,0
IMPV ~ MOD should,2,2,0,0,0,0
MOD is to ~ TO INF,2,0,1,1,0,0
MOD let ~ PAST,2,0,1,0,1,0
MOD need not ~ PRES,2,1,0,0,1,0
MOD need not ~ MOD shall,2,0,1,1,0,0
MOD let ~ TO INF,2,0,0,2,0,0
MOD can ~ MOD must,2,0,1,1,0,0
PAST PROG ~ PRES,2,1,1,0,0,0
MOD could ~ TO INF,2,0,1,1,0,0
MOD may ~ PRES PERF,2,0,1,0,1,0
PRES PROG,2,1,0,1,0,0
MOD must ~ MOD should,2,0,1,1,0,0
PRES ~ PRES can,1,0,0,1,0,0
PRES PART ~ PRES PROG,1,0,0,1,0,0
MOD was to ~ PRES,1,0,0,1,0,0
FUT PERF ~ PRES,1,0,0,1,0,0
HAB used to ~ MOD would,1,0,1,0,0,0
PRES ~ PRES shall,1,0,0,0,1,0
HAB used to ~ PRES,1,0,0,1,0,0
MOD would ~ PAST PERF,1,1,0,0,0,0
FUT PROG ~ MOD shall,1,0,0,0,1,0
FUT ~ PRES shall,1,0,0,0,1,0
FUT ~ FUT PROG,1,0,1,0,0,0
FUT going-to ~ MOD is to,1,1,0,0,0,0
FUT going-to ~ MOD lest,1,0,0,1,0,0
MOD would ~ PAST PROG,1,0,1,0,0,0
PAST PROG ~ PRES PART,1,1,0,0,0,0
MOD ~ PRES,1,0,0,1,0,0
PRES PERF ~ PRES PROG,1,0,1,0,0,0
FUT PERF,1,1,0,0,0,0
FUT ~ MOD,1,0,0,1,0,0
MOD let ~ MOD should,1,0,0,1,0,0
HAB used to ~ PRES PERF,1,0,1,0,0,0
MOD is to ~ PRES PROG,1,0,0,1,0,0
MOD might ~ PRES PERF,1,1,0,0,0,0
MOD could ~ PAST PERF,1,0,0,1,0,0
MOD could ~ PRES PERF,1,0,1,0,0,0
MOD is to ~ MOD lest,1,1,0,0,0,0
MOD is to ~ MOD should,1,0,0,1,0,0
MOD is to ~ PRES,1,0,0,1,0,0
MOD may ~ MOD would,1,0,0,1,0,0
MOD that be ~ TO INF,1,0,0,0,1,0
MOD lest ~ MOD let,1,0,0,1,0,0
MOD may ~ MOD should,1,0,1,0,0,0
MOD lest ~ MOD must,1,0,0,0,1,0
MOD lest ~ MOD that be,1,0,0,0,1,0
MOD let ~ PRES PERF,1,0,1,0,0,0
MOD let ~ PRES PART,1,0,0,1,0,0
MOD could ~ MOD shall,1,0,0,1,0,0
MOD must ~ MOD quest must,1,1,0,0,0,0
MOD must ~ PRES PART,1,0,0,1,0,0
MOD must ~ PRES PROG,1,0,1,0,0,0
MOD must ~ PRES shall,1,0,0,0,1,0
MOD must ~ TO INF,1,0,0,1,0,0
MOD can ~ MOD lest,1,0,0,1,0,0
MOD VB ~ TO INF,1,0,1,0,0,0
MOD VB ~ MOD shall,1,1,0,0,0,0
MOD let ~ MOD that be,1,0,1,0,0,0
MOD VB ~ MOD can,1,0,1,0,0,0
JJ ~ PRES,1,0,1,0,0,0
IMPV ~ PRES PERF,1,1,0,0,0,0
MOD quest must ~ MOD shall,1,0,0,1,0,0
IMPV ~ MOD need not,1,0,0,0,1,0
MOD should ~ PRES PART,1,0,0,1,0,0
MOD that be,1,1,0,0,0,0
MOD quest must,1,1,0,0,0,0
