,poetry,prophetic,prose,instruction,list
MOD is to ~ MOD must,0.0,0.62,10.36,0.0,0.0
MOD might ~ TO INF,1.62,1.66,0.65,0.0,0.0
MOD can ~ MOD let,0.0,0.62,10.36,0.0,0.0
MOD lest ~ TO INF,0.0,0.0,10.36,1.54,0.0
MOD would ~ TO INF,3.65,0.62,0.65,0.0,0.0
MOD let ~ PRES PART,1.62,0.62,1.73,0.0,0.0
MOD might ~ PAST,1.62,3.74,0.0,0.0,0.0
MOD was to,0.61,0.0,3.89,0.0,68.68
MOD might ~ MOD should,1.62,0.0,3.89,0.0,0.0
MOD should ~ PAST,2.44,0.83,0.86,0.0,0.0
MOD VB ~ PRES,inf,0.0,0.0,0.0,0.0
FUT ~ PRES PROG,0.0,0.83,7.77,0.0,0.0
IMPV ~ MOD lest,0.81,2.49,0.86,0.0,0.0
HAB used to,0.0,0.0,inf,0.0,0.0
PAST PERF ~ PRES,0.81,0.83,2.59,0.0,0.0
MOD can ~ PAST,0.0,7.48,0.86,0.0,0.0
FUT ~ MOD is to,0.0,0.83,7.77,0.0,0.0
?VB ~ PAST,2.44,0.0,2.59,0.0,0.0
PRES PERF ~ TO INF,0.0,inf,0.0,0.0,0.0
MOD could ~ MOD should,0.0,1.25,5.18,0.0,0.0
?VB,0.0,1.25,5.18,0.0,0.0
PAST PROG,0.0,0.0,inf,0.0,0.0
MOD shall ~ PRES PERF,0.0,0.0,inf,0.0,0.0
MOD can ~ MOD might,0.0,0.0,inf,0.0,0.0
MOD could ~ MOD must,inf,0.0,0.0,0.0,0.0
FUT PROG ~ PRES,1.22,0.0,0.0,12.3,0.0
MOD lest ~ MOD would,0.0,0.0,5.18,3.07,0.0
FUT ~ MOD that be,0.0,0.0,5.18,3.07,0.0
MOD need not ~ MOD shall,4.87,0.0,1.29,0.0,0.0
MOD may ~ PRES PERF,1.22,0.0,1.29,3.07,0.0
MOD may ~ PAST,4.87,0.0,1.29,0.0,0.0
MOD may ~ MOD might,1.22,1.25,1.29,0.0,0.0
PRES PART ~ PRES PERF,4.87,1.25,0.0,0.0,0.0
MOD is to ~ PRES PART,1.22,0.0,5.18,0.0,0.0
MOD let ~ PRES PERF,1.22,0.0,5.18,0.0,0.0
MOD let ~ MOD would,1.22,0.0,5.18,0.0,0.0
IMPV ~ MOD is to,0.0,0.0,inf,0.0,0.0
MOD would ~ PRES PART,1.22,1.25,1.29,0.0,0.0
?VB ~ MOD must,0.0,0.0,inf,0.0,0.0
?VB ~ MOD shall,0.0,0.0,2.59,6.15,0.0
??VB ~ MOD let,0.0,0.0,inf,0.0,0.0
MOD must ~ MOD should,2.43,0.0,2.59,0.0,0.0
MOD is to ~ PRES,0.0,0.0,inf,0.0,0.0
MOD can ~ MOD must,2.43,0.0,2.59,0.0,0.0
MOD should ~ PRES PERF,0.0,2.49,2.59,0.0,0.0
MOD that be,0.0,2.49,2.59,0.0,0.0
MOD let ~ MOD that be,2.43,0.0,2.59,0.0,0.0
PAST PROG ~ PRES,2.43,2.49,0.0,0.0,0.0
MOD lest ~ MOD should,inf,0.0,0.0,0.0,0.0
MOD lest ~ MOD shall,0.0,2.49,2.59,0.0,0.0
MOD is to ~ TO INF,2.43,0.0,2.59,0.0,0.0
MOD need not ~ PRES,0.0,2.49,0.0,6.15,0.0
MOD could ~ TO INF,2.43,0.0,2.59,0.0,0.0
PRES PROG,0.0,2.49,2.59,0.0,0.0
PRES ~ PRES do,inf,0.0,0.0,0.0,0.0
FUT PERF,0.0,inf,0.0,0.0,0.0
FUT ~ MOD,0.0,0.0,inf,0.0,0.0
MOD quest must,0.0,inf,0.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,0.0,inf,0.0,0.0
PRES ~ PRES shall,0.0,0.0,0.0,inf,0.0
MOD should ~ PRES PART,0.0,0.0,inf,0.0,0.0
?VB ~ IMPV,0.0,0.0,inf,0.0,0.0
?VB ~ MOD lest,inf,0.0,0.0,0.0,0.0
MOD that be ~ TO INF,0.0,0.0,0.0,inf,0.0
MOD was to ~ PRES,0.0,0.0,inf,0.0,0.0
MOD would ~ PAST PERF,0.0,inf,0.0,0.0,0.0
MOD ~ PRES,0.0,0.0,inf,0.0,0.0
MOD would ~ PAST PROG,inf,0.0,0.0,0.0,0.0
FUT PERF ~ PRES,0.0,0.0,inf,0.0,0.0
FUT ~ FUT PROG,inf,0.0,0.0,0.0,0.0
PRES ~ PRES can,0.0,0.0,inf,0.0,0.0
PRES PERF ~ PRES PROG,inf,0.0,0.0,0.0,0.0
MOD must ~ TO INF,0.0,0.0,inf,0.0,0.0
FUT going-to ~ MOD is to,0.0,inf,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.0,inf,0.0,0.0,0.0
FUT PROG ~ MOD shall,0.0,0.0,0.0,inf,0.0
PRES PART ~ PRES PROG,0.0,0.0,inf,0.0,0.0
FUT going-to ~ MOD lest,0.0,0.0,inf,0.0,0.0
MOD can ~ MOD lest,0.0,0.0,inf,0.0,0.0
MOD must ~ PRES shall,0.0,0.0,0.0,inf,0.0
MOD lest ~ MOD let,0.0,0.0,inf,0.0,0.0
MOD could ~ MOD shall,0.0,0.0,inf,0.0,0.0
MOD VB ~ TO INF,inf,0.0,0.0,0.0,0.0
MOD could ~ PAST PERF,0.0,0.0,inf,0.0,0.0
MOD VB ~ MOD shall,0.0,inf,0.0,0.0,0.0
MOD could ~ PRES PERF,inf,0.0,0.0,0.0,0.0
MOD VB ~ MOD can,inf,0.0,0.0,0.0,0.0
JJ ~ PRES,inf,0.0,0.0,0.0,0.0
IMPV ~ PRES PERF,0.0,inf,0.0,0.0,0.0
MOD is to ~ MOD lest,0.0,inf,0.0,0.0,0.0
MOD is to ~ MOD should,0.0,0.0,inf,0.0,0.0
MOD is to ~ PRES PROG,0.0,0.0,inf,0.0,0.0
IMPV ~ MOD need not,0.0,0.0,0.0,inf,0.0
MOD lest ~ MOD must,0.0,0.0,0.0,inf,0.0
MOD must ~ PRES PROG,inf,0.0,0.0,0.0,0.0
MOD let ~ MOD might,0.0,inf,0.0,0.0,0.0
IMPV ~ MOD,0.0,0.0,inf,0.0,0.0
MOD let ~ VB,0.0,0.0,inf,0.0,0.0
HAB used to ~ PRES PERF,inf,0.0,0.0,0.0,0.0
HAB used to ~ PRES,0.0,0.0,inf,0.0,0.0
MOD may ~ MOD should,inf,0.0,0.0,0.0,0.0
HAB used to ~ MOD would,inf,0.0,0.0,0.0,0.0
MOD may ~ MOD would,0.0,0.0,inf,0.0,0.0
MOD might ~ PRES PERF,0.0,inf,0.0,0.0,0.0
FUT ~ PRES shall,0.0,0.0,0.0,inf,0.0
MOD must ~ MOD quest must,0.0,inf,0.0,0.0,0.0
MOD must ~ PRES PART,0.0,0.0,inf,0.0,0.0
MOD lest ~ MOD that be,0.0,0.0,0.0,inf,0.0
