,Q,D,N,?
FUT,1.96,0.67,0.02,1.19
FUT ~ MOD shall,1.96,0.49,0.0,1.46
PRES,0.71,3.11,0.05,1.43
IMPV ~ MOD shall,4.4,0.57,0.0,0.15
IMPV,inf,0.0,0.0,0.0
MOD is to ~ MOD shall,1.56,0.25,0.0,2.15
PAST,0.1,1.55,29.76,1.15
MOD shall,0.53,3.52,0.0,2.31
MOD must ~ MOD shall,2.05,0.91,0.0,0.65
FUT ~ PRES,1.12,0.49,0.25,2.27
MOD may,2.36,1.29,0.0,0.0
PAST ~ PRES,0.04,0.0,84.66,0.0
MOD shall ~ PRES,6.19,0.0,0.0,0.59
FUT ~ MOD may,1.91,1.04,0.0,0.61
PRES PERF,inf,0.0,0.0,0.0
MOD shall ~ TO INF,inf,0.0,0.0,0.0
PRES ~ PRES PART,0.39,0.0,4.89,2.63
PRES ~ PRES PERF,2.8,1.08,0.0,0.0
MOD would,0.05,13.17,16.26,0.0
TO INF,1.28,2.36,0.0,0.0
FUT ~ MOD lest,2.57,1.17,0.0,0.0
MOD would ~ PAST,0.04,11.47,24.74,0.0
MOD may ~ TO INF,2.46,1.23,0.0,0.0
MOD may ~ PRES,2.24,1.35,0.0,0.0
MOD let,2.24,1.35,0.0,0.0
FUT ~ IMPV,inf,0.0,0.0,0.0
PRES ~ TO INF,inf,0.0,0.0,0.0
MOD may ~ MOD shall,1.9,1.59,0.0,0.0
PAST ~ PRES PART,0.05,1.69,53.68,0.0
FUT ~ TO INF,inf,0.0,0.0,0.0
MOD shall ~ PRES PART,1.68,0.0,0.0,2.18
IMPV ~ PRES,1.56,1.93,0.0,0.0
IMPV ~ MOD let,inf,0.0,0.0,0.0
PRES PART,0.15,7.45,7.65,0.0
IMPV ~ TO INF,inf,0.0,0.0,0.0
PAST ~ PRES PERF,inf,0.0,0.0,0.0
FUT ~ MOD let,inf,0.0,0.0,0.0
FUT ~ PRES PART,inf,0.0,0.0,0.0
MOD can ~ MOD may,inf,0.0,0.0,0.0
FUT ~ MOD would,inf,0.0,0.0,0.0
MOD can ~ MOD shall,1.0,3.01,0.0,0.0
MOD shall ~ PAST,0.89,3.38,0.0,0.0
MOD let ~ MOD shall,inf,0.0,0.0,0.0
MOD is to ~ PRES,0.78,3.87,0.0,0.0
MOD is to ~ MOD let,inf,0.0,0.0,0.0
MOD let ~ MOD may,0.33,0.0,9.31,0.0
FUT ~ PAST,0.78,3.87,0.0,0.0
MOD is to ~ PAST,0.28,0.0,0.0,13.2
MOD lest ~ MOD may,inf,0.0,0.0,0.0
PAST ~ TO INF,0.08,0.0,21.06,5.46
MOD lest ~ TO INF,inf,0.0,0.0,0.0
PAST ~ PAST PROG,0.04,4.51,37.64,0.0
MOD shall ~ PRES PERF,0.56,5.41,0.0,0.0
FUT ~ PRES PERF,inf,0.0,0.0,0.0
IMPV ~ MOD lest,inf,0.0,0.0,0.0
MOD shall ~ MOD would,inf,0.0,0.0,0.0
MOD may ~ MOD must,inf,0.0,0.0,0.0
MOD can,inf,0.0,0.0,0.0
MOD would ~ PRES,inf,0.0,0.0,0.0
IMPV ~ PAST,inf,0.0,0.0,0.0
MOD should ~ PRES,inf,0.0,0.0,0.0
HAB used to ~ PAST,0.0,9.03,84.29,0.0
IMPV ~ MOD may,0.33,0.0,0.0,10.93
IMPV ~ MOD must,inf,0.0,0.0,0.0
PAST PERF,0.04,0.0,84.29,0.0
MOD shall ~ MOD should,inf,0.0,0.0,0.0
FUT ~ MOD can,0.33,0.0,0.0,10.93
MOD let ~ TO INF,inf,0.0,0.0,0.0
FUT ~ FUT PERF,inf,0.0,0.0,0.0
MOD should,0.33,0.0,9.27,0.0
MOD could ~ MOD may,inf,0.0,0.0,0.0
PAST ~ PAST PERF,0.0,0.0,inf,0.0
MOD can ~ PRES,inf,0.0,0.0,0.0
MOD should ~ TO INF,inf,0.0,0.0,0.0
IMPV ~ MOD would,0.06,0.0,55.91,0.0
MOD VB ~ PRES,inf,0.0,0.0,0.0
MOD is to ~ TO INF,0.22,13.54,0.0,0.0
HAB used to ~ MOD would,0.0,13.54,55.91,0.0
HAB used to,0.06,13.54,13.9,0.0
MOD was to,0.0,13.54,55.91,0.0
FUT ~ FUT going-to,inf,0.0,0.0,0.0
IMPV ~ MOD is to,inf,0.0,0.0,0.0
MOD that be ~ TO INF,inf,0.0,0.0,0.0
MOD was to ~ PAST,0.0,0.0,inf,0.0
PRES ~ PRES PROG,inf,0.0,0.0,0.0
FUT ~ MOD must,inf,0.0,0.0,0.0
IMPV ~ PRES PART,inf,0.0,0.0,0.0
MOD would ~ PRES PART,0.0,inf,0.0,0.0
FUT going-to ~ MOD shall,inf,0.0,0.0,0.0
PRES PART ~ PRES PERF,inf,0.0,0.0,0.0
MOD may ~ PRES PART,inf,0.0,0.0,0.0
MOD can ~ MOD let,inf,0.0,0.0,0.0
MOD lest ~ MOD might,inf,0.0,0.0,0.0
MOD may ~ MOD should,inf,0.0,0.0,0.0
MOD let ~ PRES,inf,0.0,0.0,0.0
MOD must ~ PRES,0.11,0.0,0.0,32.81
MOD let ~ MOD must,inf,0.0,0.0,0.0
MOD lest ~ PRES PART,inf,0.0,0.0,0.0
MOD lest ~ MOD must,inf,0.0,0.0,0.0
MOD must ~ PRES PART,inf,0.0,0.0,0.0
MOD is to ~ MOD may,inf,0.0,0.0,0.0
MOD let ~ PRES PART,inf,0.0,0.0,0.0
MOD should ~ MOD would,inf,0.0,0.0,0.0
MOD let ~ MOD should,inf,0.0,0.0,0.0
MOD let ~ MOD would,inf,0.0,0.0,0.0
MOD can ~ TO INF,inf,0.0,0.0,0.0
MOD would ~ PRES PROG,inf,0.0,0.0,0.0
FUT ~ MOD is to,inf,0.0,0.0,0.0
FUT ~ MOD VB,inf,0.0,0.0,0.0
MOD ~ MOD would,0.0,inf,0.0,0.0
MOD would ~ TO INF,inf,0.0,0.0,0.0
MOD must,0.0,inf,0.0,0.0
FUT ~ FUT PROG,inf,0.0,0.0,0.0
MOD might ~ MOD would,inf,0.0,0.0,0.0
PAST PROG ~ TO INF,0.0,inf,0.0,0.0
FUT PROG,inf,0.0,0.0,0.0
FUT ~ MOD should,inf,0.0,0.0,0.0
FUT ~ MOD that be,inf,0.0,0.0,0.0
PAST PERF ~ PRES PART,0.0,0.0,inf,0.0
MOD could,inf,0.0,0.0,0.0
PRES PERF ~ TO INF,inf,0.0,0.0,0.0
MOD let ~ MOD might,inf,0.0,0.0,0.0
