eng_TAMsimp,Q,D,N,?
FUT,0.94,0.03,0.0,0.03
FUT ~ MOD shall,0.94,0.02,0.0,0.04
PRES,0.87,0.09,0.0,0.04
IMPV ~ MOD shall,0.97,0.02,0.0,0.0
IMPV,1.0,0.0,0.0,0.0
MOD is to ~ MOD shall,0.93,0.01,0.0,0.06
PAST,0.52,0.05,0.39,0.03
MOD shall,0.83,0.11,0.0,0.06
MOD must ~ MOD shall,0.95,0.03,0.0,0.02
FUT ~ PRES,0.91,0.02,0.01,0.06
MOD may,0.95,0.05,0.0,0.0
PAST ~ PRES,0.3,0.0,0.7,0.0
MOD shall ~ PRES,0.98,0.0,0.0,0.02
FUT ~ MOD may,0.94,0.04,0.0,0.02
PRES PERF,1.0,0.0,0.0,0.0
MOD shall ~ TO INF,1.0,0.0,0.0,0.0
PRES ~ PRES PART,0.78,0.0,0.15,0.07
PRES ~ PRES PERF,0.96,0.04,0.0,0.0
MOD would,0.32,0.32,0.36,0.0
TO INF,0.92,0.08,0.0,0.0
FUT ~ MOD lest,0.96,0.04,0.0,0.0
MOD would ~ PAST,0.25,0.29,0.46,0.0
MOD may ~ TO INF,0.96,0.04,0.0,0.0
MOD may ~ PRES,0.95,0.05,0.0,0.0
MOD let,0.95,0.05,0.0,0.0
FUT ~ IMPV,1.0,0.0,0.0,0.0
PRES ~ TO INF,1.0,0.0,0.0,0.0
MOD may ~ MOD shall,0.94,0.06,0.0,0.0
PAST ~ PRES PART,0.29,0.06,0.65,0.0
FUT ~ TO INF,1.0,0.0,0.0,0.0
MOD shall ~ PRES PART,0.94,0.0,0.0,0.06
IMPV ~ PRES,0.93,0.07,0.0,0.0
IMPV ~ MOD let,1.0,0.0,0.0,0.0
PRES PART,0.57,0.21,0.21,0.0
IMPV ~ TO INF,1.0,0.0,0.0,0.0
PAST ~ PRES PERF,1.0,0.0,0.0,0.0
FUT ~ MOD let,1.0,0.0,0.0,0.0
FUT ~ PRES PART,1.0,0.0,0.0,0.0
MOD can ~ MOD may,1.0,0.0,0.0,0.0
FUT ~ MOD would,1.0,0.0,0.0,0.0
MOD can ~ MOD shall,0.9,0.1,0.0,0.0
MOD shall ~ PAST,0.89,0.11,0.0,0.0
MOD let ~ MOD shall,1.0,0.0,0.0,0.0
MOD is to ~ PRES,0.88,0.12,0.0,0.0
MOD is to ~ MOD let,1.0,0.0,0.0,0.0
MOD let ~ MOD may,0.75,0.0,0.25,0.0
FUT ~ PAST,0.88,0.12,0.0,0.0
MOD is to ~ PAST,0.71,0.0,0.0,0.29
MOD lest ~ MOD may,1.0,0.0,0.0,0.0
PAST ~ TO INF,0.43,0.0,0.43,0.14
MOD lest ~ TO INF,1.0,0.0,0.0,0.0
PAST ~ PAST PROG,0.29,0.14,0.57,0.0
MOD shall ~ PRES PERF,0.83,0.17,0.0,0.0
FUT ~ PRES PERF,1.0,0.0,0.0,0.0
IMPV ~ MOD lest,1.0,0.0,0.0,0.0
MOD shall ~ MOD would,1.0,0.0,0.0,0.0
MOD may ~ MOD must,1.0,0.0,0.0,0.0
MOD can,1.0,0.0,0.0,0.0
MOD would ~ PRES,1.0,0.0,0.0,0.0
IMPV ~ PAST,1.0,0.0,0.0,0.0
MOD should ~ PRES,1.0,0.0,0.0,0.0
HAB used to ~ PAST,0.0,0.25,0.75,0.0
IMPV ~ MOD may,0.75,0.0,0.0,0.25
IMPV ~ MOD must,1.0,0.0,0.0,0.0
PAST PERF,0.25,0.0,0.75,0.0
MOD shall ~ MOD should,1.0,0.0,0.0,0.0
FUT ~ MOD can,0.75,0.0,0.0,0.25
MOD let ~ TO INF,1.0,0.0,0.0,0.0
FUT ~ FUT PERF,1.0,0.0,0.0,0.0
MOD should,0.75,0.0,0.25,0.0
MOD could ~ MOD may,1.0,0.0,0.0,0.0
PAST ~ PAST PERF,0.0,0.0,1.0,0.0
MOD can ~ PRES,1.0,0.0,0.0,0.0
MOD should ~ TO INF,1.0,0.0,0.0,0.0
IMPV ~ MOD would,0.33,0.0,0.67,0.0
MOD VB ~ PRES,1.0,0.0,0.0,0.0
MOD is to ~ TO INF,0.67,0.33,0.0,0.0
HAB used to ~ MOD would,0.0,0.33,0.67,0.0
HAB used to,0.33,0.33,0.33,0.0
MOD was to,0.0,0.33,0.67,0.0
FUT ~ FUT going-to,1.0,0.0,0.0,0.0
IMPV ~ MOD is to,1.0,0.0,0.0,0.0
MOD that be ~ TO INF,1.0,0.0,0.0,0.0
MOD was to ~ PAST,0.0,0.0,1.0,0.0
PRES ~ PRES PROG,1.0,0.0,0.0,0.0
FUT ~ MOD must,1.0,0.0,0.0,0.0
IMPV ~ PRES PART,1.0,0.0,0.0,0.0
MOD would ~ PRES PART,0.0,1.0,0.0,0.0
FUT going-to ~ MOD shall,1.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,1.0,0.0,0.0,0.0
MOD may ~ PRES PART,1.0,0.0,0.0,0.0
MOD can ~ MOD let,1.0,0.0,0.0,0.0
MOD lest ~ MOD might,1.0,0.0,0.0,0.0
MOD may ~ MOD should,1.0,0.0,0.0,0.0
MOD let ~ PRES,1.0,0.0,0.0,0.0
MOD must ~ PRES,0.5,0.0,0.0,0.5
MOD let ~ MOD must,1.0,0.0,0.0,0.0
MOD lest ~ PRES PART,1.0,0.0,0.0,0.0
MOD lest ~ MOD must,1.0,0.0,0.0,0.0
MOD must ~ PRES PART,1.0,0.0,0.0,0.0
MOD is to ~ MOD may,1.0,0.0,0.0,0.0
MOD let ~ PRES PART,1.0,0.0,0.0,0.0
MOD should ~ MOD would,1.0,0.0,0.0,0.0
MOD let ~ MOD should,1.0,0.0,0.0,0.0
MOD let ~ MOD would,1.0,0.0,0.0,0.0
MOD can ~ TO INF,1.0,0.0,0.0,0.0
MOD would ~ PRES PROG,1.0,0.0,0.0,0.0
FUT ~ MOD is to,1.0,0.0,0.0,0.0
