genre,prose,prose,prophetic,prophetic,poetry,list,instruction,poetry,instruction,list,poetry,prophetic
domain2,N,Q,Q,N,Q,N,N,N,Q,Q,?,?
eng_TAMsimp,,,,,,,,,,,,
PAST,0.26,20.39,29.33,22.74,37.87,37.22,45.05,203.75,381.2,2865.5,11465.0,11465.0
PAST ~ PRES PART,0.32,7.91,18.6,48.0,31.67,48.0,195.0,inf,195.0,inf,inf,inf
PRES,26.86,9.83,2.1,20.67,1.41,194.0,inf,12.0,194.0,inf,inf,inf
PAST ~ PAST PERF,0.17,60.0,35.6,25.14,90.5,25.14,60.0,inf,inf,inf,inf,inf
PRES PERF,35.4,0.8,4.06,181.0,6.28,181.0,inf,29.33,25.0,inf,inf,inf
PAST ~ PRES PERF,28.0,1.23,2.05,57.0,5.82,inf,inf,115.0,57.0,inf,inf,inf
PAST ~ PRES,3.89,4.81,2.88,30.0,5.64,92.0,inf,9.33,12.29,inf,inf,inf
PAST ~ TO INF,0.2,18.5,25.0,25.0,77.0,inf,38.0,inf,inf,inf,inf,inf
PAST PERF,0.37,27.0,inf,27.0,inf,4.6,inf,55.0,inf,inf,inf,inf
PRES ~ PRES PERF,10.25,8.0,1.81,44.0,1.81,inf,inf,21.5,inf,44.0,inf,inf
PAST ~ PAST PROG,0.12,inf,inf,12.5,inf,26.0,inf,inf,inf,inf,inf,inf
PRES PART,0.73,2.71,5.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,inf,inf,2.0,5.0,2.6,inf,inf,5.0,17.0,inf,inf,inf
MOD would,0.71,11.0,5.0,inf,5.0,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST,0.22,10.0,inf,10.0,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,1.0,9.0,4.0,inf,9.0,inf,inf,9.0,inf,inf,inf,inf
FUT ~ PAST,inf,inf,7.0,1.0,1.67,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PAST,1.0,5.0,inf,5.0,5.0,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,inf,inf,2.0,inf,1.0,inf,inf,5.0,inf,inf,inf,inf
PRES ~ TO INF,inf,inf,1.5,inf,0.67,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,inf,1.5,1.5,inf,inf,inf,inf,inf,4.0,inf,inf,inf
PAST PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,inf,0.25,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST,0.25,inf,inf,inf,4.0,inf,inf,inf,inf,inf,inf,inf
