genre,prose,prose,prophetic,prophetic,poetry,list,instruction,poetry,instruction,list,poetry,prophetic
domain2,N,Q,Q,N,Q,N,N,N,Q,Q,?,?
eng_TAMsimp,,,,,,,,,,,,
PAST,1.26,21.39,30.33,23.74,38.87,38.22,46.05,204.75,382.2,2866.5,11466.0,11466.0
PAST ~ PRES PART,1.32,8.91,19.6,49.0,32.67,49.0,196.0,inf,196.0,inf,inf,inf
PRES,27.86,10.83,3.1,21.67,2.41,195.0,inf,13.0,195.0,inf,inf,inf
PAST ~ PAST PERF,1.17,61.0,36.6,26.14,91.5,26.14,61.0,inf,inf,inf,inf,inf
PRES PERF,36.4,1.8,5.06,182.0,7.28,182.0,inf,30.33,26.0,inf,inf,inf
PAST ~ PRES PERF,29.0,2.23,3.05,58.0,6.82,inf,inf,116.0,58.0,inf,inf,inf
PAST ~ PRES,4.89,5.81,3.88,31.0,6.64,93.0,inf,10.33,13.29,inf,inf,inf
PAST ~ TO INF,1.2,19.5,26.0,26.0,78.0,inf,39.0,inf,inf,inf,inf,inf
PAST PERF,1.37,28.0,inf,28.0,inf,5.6,inf,56.0,inf,inf,inf,inf
PRES ~ PRES PERF,11.25,9.0,2.81,45.0,2.81,inf,inf,22.5,inf,45.0,inf,inf
PAST ~ PAST PROG,1.12,inf,inf,13.5,inf,27.0,inf,inf,inf,inf,inf,inf
PRES PART,1.73,3.71,6.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES,inf,inf,3.0,6.0,3.6,inf,inf,6.0,18.0,inf,inf,inf
MOD would,1.71,12.0,6.0,inf,6.0,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST,1.22,11.0,inf,11.0,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,2.0,10.0,5.0,inf,10.0,inf,inf,10.0,inf,inf,inf,inf
FUT ~ PAST,inf,inf,8.0,2.0,2.67,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PAST,2.0,6.0,inf,6.0,6.0,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,inf,inf,3.0,inf,2.0,inf,inf,6.0,inf,inf,inf,inf
PRES ~ TO INF,inf,inf,2.5,inf,1.67,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,inf,2.5,2.5,inf,inf,inf,inf,inf,5.0,inf,inf,inf
PAST PROG,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,inf,1.25,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST,1.25,inf,inf,inf,5.0,inf,inf,inf,inf,inf,inf,inf
