,prose,prose,prophetic,prophetic,poetry,list,instruction,poetry,instruction,list,poetry,prophetic
,N,Q,Q,N,Q,N,N,N,Q,Q,?,?
PAST,195.21,-64.92,-72.47,0.55,-67.39,0.7,6.07,-14.59,-7.25,-0.37,-0.0,-0.0
PAST ~ PRES PART,-0.0,2.21,0.13,-0.7,-0.15,-0.09,-0.72,-0.39,0.27,0.0,0.0,0.0
PRES,-104.99,1.02,35.33,0.15,63.06,-1.18,-1.45,10.86,0.27,0.0,0.0,0.0
PAST ~ PAST PERF,2.88,-2.13,-0.54,0.0,-1.3,0.62,0.0,-0.19,0.0,0.0,0.0,0.0
PRES PERF,-100.93,73.9,12.82,-2.12,7.55,-1.02,-1.27,2.61,5.21,0.0,0.0,0.0
PAST ~ PRES PERF,-62.54,31.77,21.63,-0.61,5.72,-0.9,-0.75,0.23,1.12,0.0,0.0,0.0
PAST ~ PRES,-28.18,3.8,11.32,0.0,4.95,-0.13,-0.57,7.54,7.19,0.0,0.0,0.0
PAST ~ TO INF,0.94,0.0,0.0,0.0,-0.43,-0.57,0.17,0.0,0.0,0.0,0.0,0.0
PAST PERF,-0.12,-0.23,-0.94,0.0,-0.56,5.89,-0.2,0.46,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,-20.37,0.7,10.05,0.0,11.41,-0.2,0.0,1.35,0.0,1.76,0.0,0.0
PAST ~ PAST PROG,0.92,-0.39,-0.2,0.51,-0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,-1.38,3.12,1.49,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES,-10.99,-0.21,3.91,1.44,3.34,0.0,0.0,3.51,1.17,0.0,0.0,0.0
MOD would,-0.74,0.27,0.97,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,-0.0,0.3,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO INF,-1.14,0.33,1.11,0.0,0.49,0.0,0.0,1.14,0.0,0.0,0.0,0.0
FUT ~ PAST,-4.88,0.0,0.49,3.75,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PAST,-0.79,0.5,0.0,0.65,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,-3.66,0.0,1.53,0.0,2.99,0.0,0.0,1.36,0.0,0.0,0.0,0.0
PRES ~ TO INF,-3.05,0.0,1.69,0.0,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,-3.05,1.48,1.69,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0
PAST PROG,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,-3.05,4.17,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,-0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,-0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,-3.05,0.0,0.67,1.8,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PERF,-2.44,3.05,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,-0.24,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,-1.83,0.76,0.87,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ VB,-0.82,0.76,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,-0.24,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD shall,-1.83,0.0,2.19,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT,-1.22,0.0,1.04,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,-1.22,0.92,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,-0.37,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES,-1.22,0.0,0.0,1.09,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0
PRES PERF PROG,-0.61,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PERF,-0.61,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,-0.61,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD would,-0.61,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,-0.61,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PART,-0.61,0.0,0.0,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PAST,-0.61,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD might,-0.61,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,-0.61,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF PROG,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD may,-0.61,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PAST,-0.61,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PERF PROG,-0.61,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PERF,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ TO INF,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,-0.61,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES,-0.61,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,-0.61,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,-0.61,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,-0.61,0.0,0.0,0.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD would,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,-0.61,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
??VB ~ PAST,-0.61,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
