eng_TAMsimp,wqtl,yqtl,Ø,qtl,impv,ptcp,wayq,infc,infa
FUT,0.51,0.24,0.09,0.05,0.02,0.08,0.0,0.01,0.0
FUT ~ MOD shall,0.56,0.24,0.07,0.05,0.01,0.06,0.0,0.0,0.0
PRES,0.3,0.4,0.07,0.1,0.02,0.05,0.0,0.05,0.0
IMPV ~ MOD shall,0.62,0.25,0.07,0.01,0.04,0.01,0.0,0.0,0.0
IMPV,0.31,0.09,0.04,0.04,0.44,0.01,0.0,0.01,0.05
MOD is to ~ MOD shall,0.62,0.24,0.07,0.04,0.02,0.01,0.0,0.0,0.01
PAST,0.26,0.07,0.11,0.32,0.0,0.02,0.2,0.01,0.0
MOD shall,0.73,0.14,0.1,0.0,0.01,0.01,0.0,0.0,0.0
MOD must ~ MOD shall,0.37,0.27,0.31,0.04,0.0,0.01,0.0,0.0,0.0
FUT ~ PRES,0.37,0.36,0.05,0.1,0.04,0.05,0.01,0.03,0.0
MOD may,0.36,0.42,0.08,0.03,0.08,0.0,0.02,0.02,0.0
PAST ~ PRES,0.69,0.06,0.05,0.12,0.0,0.0,0.08,0.0,0.0
MOD shall ~ PRES,0.43,0.27,0.14,0.05,0.04,0.07,0.0,0.0,0.0
FUT ~ MOD may,0.5,0.3,0.11,0.04,0.04,0.0,0.0,0.02,0.0
PRES PERF,0.14,0.17,0.17,0.34,0.06,0.0,0.09,0.0,0.03
MOD shall ~ TO INF,0.68,0.25,0.04,0.0,0.0,0.04,0.0,0.0,0.0
PRES ~ PRES PART,0.41,0.3,0.04,0.07,0.0,0.11,0.04,0.04,0.0
PRES ~ PRES PERF,0.08,0.46,0.15,0.27,0.0,0.04,0.0,0.0,0.0
MOD would,0.52,0.2,0.04,0.08,0.0,0.04,0.12,0.0,0.0
TO INF,0.28,0.6,0.0,0.0,0.12,0.0,0.0,0.0,0.0
FUT ~ MOD lest,0.25,0.71,0.0,0.04,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST,0.62,0.08,0.04,0.21,0.0,0.0,0.04,0.0,0.0
