,wqtl,yqtl,Ø,qtl,impv,ptcp,wayq,infc,infa
MOD let ~ TO INF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PERF,1.07,1.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0
MOD should,0.0,3.02,11.33,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD may,0.54,1.51,5.66,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,0.0,0.0,0.0,7.2,0.0,0.0,146.37,0.0,0.0
MOD can ~ PRES,0.54,6.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ TO INF,0.54,1.51,0.0,0.0,0.0,0.0,0.0,44.25,0.0
IMPV ~ MOD would,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ TO INF,2.15,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ MOD would,2.15,0.0,0.0,0.0,0.0,10.78,0.0,0.0,0.0
HAB used to,0.0,1.51,0.0,0.0,0.0,10.78,36.11,0.0,0.0
MOD was to,0.54,1.51,0.0,0.0,0.0,10.78,0.0,0.0,0.0
FUT ~ FUT going-to,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
IMPV ~ MOD is to,1.07,0.0,0.0,0.0,20.61,0.0,0.0,0.0,0.0
MOD that be ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PAST,1.07,0.0,11.31,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,1.07,0.0,11.31,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,0.0,3.02,11.31,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,1.07,0.0,11.31,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD let,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD might,1.07,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD should,1.07,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES,1.07,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD must,1.07,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD must,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PART,1.07,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD may,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD would,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD should,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD would,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ TO INF,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD would ~ PRES PROG,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD is to,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD VB,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD ~ MOD would,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ TO INF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
FUT ~ FUT PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD would,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ TO INF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD should,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD that be,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PERF ~ PRES PART,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD could,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD might,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ VB,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD would,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ PRES,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PAST PROG,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ TO INF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD VB,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD lest,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD can,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
