eng_TAMsimp,p3,p2,p1
PRES,0.75,0.16,0.1
FUT,0.44,0.1,0.46
FUT ~ MOD shall,0.79,0.16,0.05
IMPV,0.06,0.93,0.0
MOD let,0.63,0.01,0.36
IMPV ~ MOD shall,0.07,0.93,0.0
PAST,0.73,0.09,0.18
FUT ~ PRES,0.65,0.17,0.18
MOD may,0.67,0.15,0.18
MOD must ~ MOD shall,0.65,0.34,0.01
MOD is to ~ MOD shall,0.69,0.31,0.0
MOD can,0.62,0.16,0.22
MOD shall,0.55,0.19,0.25
FUT ~ MOD may,0.61,0.12,0.27
MOD shall ~ PRES,0.68,0.18,0.14
IMPV ~ MOD let,0.84,0.1,0.06
MOD would,0.55,0.15,0.3
MOD let ~ MOD may,0.94,0.01,0.05
PAST ~ PRES,0.62,0.19,0.18
PRES ~ PRES PART,0.8,0.15,0.04
PRES ~ PRES PERF,0.58,0.33,0.09
MOD should,0.52,0.08,0.39
TO INF,0.59,0.27,0.14
FUT ~ MOD lest,0.62,0.24,0.14
MOD can ~ PRES,0.62,0.24,0.14
MOD can ~ MOD may,0.36,0.12,0.52
MOD may ~ PRES,0.78,0.13,0.09
FUT ~ MOD can,0.69,0.15,0.16
PRES PERF,0.56,0.23,0.21
IMPV ~ PRES,0.44,0.54,0.02
MOD may ~ MOD shall,0.72,0.26,0.02
PRES PART,0.7,0.24,0.06
MOD can ~ MOD shall,0.37,0.13,0.5
FUT ~ MOD would,0.35,0.26,0.39
MOD may ~ TO INF,0.46,0.09,0.46
MOD should ~ PRES,0.47,0.38,0.16
PRES ~ TO INF,0.78,0.2,0.02
MOD could,0.73,0.0,0.27
MOD must,0.38,0.3,0.32
MOD shall ~ TO INF,0.47,0.37,0.16
PAST ~ PRES PERF,0.41,0.32,0.26
IMPV ~ MOD may,0.59,0.38,0.03
FUT ~ MOD let,0.38,0.0,0.62
FUT ~ TO INF,0.55,0.13,0.32
MOD shall ~ MOD should,0.39,0.06,0.55
MOD let ~ PRES,0.66,0.1,0.24
MOD would ~ PAST,0.9,0.0,0.1
FUT ~ IMPV,0.29,0.67,0.04
MOD would ~ PRES,0.38,0.46,0.17
MOD let ~ TO INF,0.73,0.0,0.27
PAST ~ PRES PART,0.86,0.05,0.1
MOD shall ~ PRES PART,0.9,0.1,0.0
MOD must ~ PRES,0.37,0.42,0.21
MOD should ~ TO INF,0.47,0.26,0.26
FUT ~ PRES PART,0.58,0.16,0.26
FUT ~ PAST,0.53,0.12,0.35
MOD let ~ MOD shall,1.0,0.0,0.0
MOD lest ~ MOD may,0.69,0.12,0.19
PRES ~ PRES PROG,0.62,0.31,0.06
MOD let ~ MOD must,0.64,0.07,0.29
IMPV ~ MOD must,0.14,0.86,0.0
MOD lest ~ PRES,0.36,0.57,0.07
MOD should ~ MOD would,0.86,0.07,0.07
MOD shall ~ PAST,0.79,0.14,0.07
MOD might,0.54,0.0,0.46
PAST ~ TO INF,0.77,0.08,0.15
HAB used to ~ PAST,0.92,0.0,0.08
MOD let ~ PAST,0.58,0.08,0.33
MOD may ~ MOD must,0.58,0.42,0.0
FUT ~ MOD should,0.67,0.33,0.0
IMPV ~ MOD can,0.83,0.17,0.0
MOD let ~ MOD should,0.64,0.0,0.36
IMPV ~ MOD should,0.18,0.82,0.0
PAST ~ PAST PERF,0.7,0.0,0.3
IMPV ~ PRES PART,0.1,0.8,0.1
MOD is to,0.9,0.1,0.0
MOD is to ~ MOD let,1.0,0.0,0.0
MOD was to ~ PAST,1.0,0.0,0.0
IMPV ~ TO INF,0.0,1.0,0.0
MOD can ~ MOD could,0.62,0.12,0.25
MOD can ~ MOD should,0.62,0.25,0.12
MOD should ~ MOD was to,0.71,0.14,0.14
MOD can ~ MOD let,0.43,0.0,0.57
IMPV ~ PAST,0.29,0.71,0.0
MOD can ~ TO INF,0.71,0.0,0.29
MOD may ~ PRES PART,0.71,0.0,0.29
MOD might ~ MOD would,0.71,0.14,0.14
MOD lest,0.71,0.29,0.0
MOD could ~ MOD might,0.57,0.0,0.43
PRES PART ~ TO INF,0.86,0.14,0.0
FUT ~ MOD must,0.57,0.0,0.43
MOD could ~ MOD would,0.57,0.0,0.43
PAST PERF,0.86,0.0,0.14
MOD would ~ TO INF,0.5,0.17,0.33
MOD lest ~ MOD might,0.5,0.0,0.5
MOD can ~ PRES PART,0.5,0.33,0.17
MOD could ~ PAST,0.83,0.0,0.17
MOD is to ~ MOD may,0.83,0.17,0.0
FUT ~ PRES PERF,0.5,0.0,0.5
MOD shall ~ MOD would,0.67,0.0,0.33
MOD let ~ PRES PART,1.0,0.0,0.0
FUT going-to ~ MOD shall,0.17,0.83,0.0
FUT ~ FUT going-to,0.17,0.33,0.5
MOD might ~ TO INF,0.67,0.0,0.33
PAST ~ PAST PROG,0.83,0.17,0.0
MOD might ~ PAST,0.4,0.0,0.6
MOD might ~ MOD should,0.6,0.0,0.4
MOD let ~ MOD would,0.6,0.0,0.4
MOD was to,1.0,0.0,0.0
MOD lest ~ TO INF,0.4,0.6,0.0
MOD VB ~ MOD may,1.0,0.0,0.0
MOD is to ~ MOD must,0.4,0.2,0.4
FUT ~ PRES PROG,0.0,0.0,1.0
PAST PERF ~ PRES,0.5,0.25,0.25
MOD can ~ PAST,1.0,0.0,0.0
HAB used to,1.0,0.0,0.0
