eng_TAMsimp,p3,p2,p1
PRES,1.33,6.34,10.91
FUT,2.11,8.86,2.42
FUT ~ MOD shall,1.26,6.04,23.99
IMPV ~ MOD shall,14.4,1.07,inf
PAST,1.35,11.46,5.81
FUT ~ PRES,1.47,5.67,7.02
MOD must ~ MOD shall,1.54,2.94,84.5
MOD is to ~ MOD shall,1.44,3.27,inf
MOD can,1.61,6.11,4.64
MOD shall,1.8,5.09,4.06
MOD may,1.59,3.19,17.09
IMPV,46.75,1.02,inf
MOD shall ~ PRES,1.48,5.48,7.05
MOD would,1.64,5.75,4.6
PAST ~ PRES,1.55,5.0,6.47
FUT ~ MOD may,1.43,5.42,8.58
PRES ~ PRES PART,1.23,6.4,32.0
PRES ~ PRES PERF,1.73,3.03,11.0
MOD should,1.98,11.29,2.47
MOD can ~ PRES,1.58,4.18,7.89
FUT ~ MOD lest,1.61,4.18,7.1
FUT ~ MOD can,1.39,6.4,8.0
PRES PERF,1.79,4.36,4.69
MOD may ~ MOD shall,1.43,3.53,53.0
PRES PART,1.4,4.08,24.5
IMPV ~ PRES,2.76,1.62,47.0
TO INF,2.04,2.35,11.75
MOD may ~ PRES,1.35,5.11,15.33
MOD can ~ MOD shall,2.59,7.33,2.1
MOD should ~ PRES,2.2,2.59,6.29
PRES ~ TO INF,1.32,4.56,41.0
FUT ~ MOD would,2.5,3.33,3.33
MOD could,1.27,inf,4.75
MOD shall ~ TO INF,2.18,2.64,6.17
MOD must,2.4,3.0,4.0
MOD let,1.35,8.75,7.0
MOD can ~ MOD may,1.7,4.25,5.67
PAST ~ PRES PERF,2.36,3.0,4.12
MOD shall ~ MOD should,2.58,15.5,1.82
MOD would ~ PAST,1.12,inf,9.67
FUT ~ TO INF,1.69,6.75,3.86
MOD would ~ PRES,2.88,2.09,5.75
FUT ~ IMPV,5.25,1.31,21.0
PAST ~ PRES PART,1.17,21.0,10.5
MOD shall ~ PRES PART,1.11,10.0,inf
MOD should ~ TO INF,2.0,3.6,4.5
MOD must ~ PRES,3.0,2.25,4.5
PRES ~ PRES PROG,1.6,3.2,16.0
MOD lest ~ MOD may,1.45,8.0,5.33
MOD let ~ PRES,1.36,7.5,7.5
FUT ~ PRES PART,1.5,5.0,7.5
FUT ~ PAST,1.67,7.5,3.75
MOD shall ~ PAST,1.27,7.0,14.0
FUT ~ MOD let,2.0,inf,2.0
MOD lest ~ PRES,2.8,1.75,14.0
MOD should ~ MOD would,1.17,14.0,14.0
IMPV ~ MOD may,inf,1.0,inf
MOD let ~ MOD shall,1.0,inf,inf
FUT ~ MOD should,1.5,3.0,inf
HAB used to ~ PAST,1.09,inf,12.0
MOD may ~ TO INF,2.0,3.0,6.0
IMPV ~ MOD must,12.0,1.09,inf
IMPV ~ MOD let,1.38,3.67,inf
IMPV ~ MOD can,1.22,5.5,inf
MOD might,1.57,inf,2.75
PAST ~ TO INF,1.38,11.0,5.5
MOD may ~ MOD must,2.0,2.0,inf
PAST ~ PAST PERF,1.43,inf,3.33
MOD is to,1.11,10.0,inf
MOD was to ~ PAST,1.0,inf,inf
MOD can ~ MOD should,1.6,4.0,8.0
MOD can ~ MOD could,1.6,8.0,4.0
MOD lest,1.4,3.5,inf
PAST PERF,1.17,inf,7.0
FUT ~ MOD must,1.75,inf,2.33
MOD should ~ MOD was to,1.4,7.0,7.0
MOD might ~ MOD would,1.2,6.0,inf
MOD could ~ PAST,1.2,inf,6.0
FUT ~ PRES PERF,2.0,inf,2.0
PAST ~ PAST PROG,1.2,6.0,inf
FUT going-to ~ MOD shall,6.0,1.2,inf
MOD lest ~ MOD might,2.0,inf,2.0
MOD shall ~ MOD would,1.5,inf,3.0
MOD let ~ MOD must,1.2,6.0,inf
PRES PART ~ TO INF,1.2,6.0,inf
MOD is to ~ MOD may,1.2,6.0,inf
MOD could ~ MOD would,1.5,inf,3.0
FUT ~ FUT going-to,5.0,2.5,2.5
MOD VB ~ MOD may,1.0,inf,inf
MOD can ~ PRES PART,1.67,2.5,inf
MOD is to ~ MOD must,2.5,5.0,2.5
MOD can ~ TO INF,1.67,inf,2.5
IMPV ~ PRES PART,inf,1.0,inf
MOD lest ~ TO INF,2.5,1.67,inf
MOD might ~ TO INF,1.67,inf,2.5
MOD may ~ PRES PART,1.67,inf,2.5
MOD would ~ TO INF,2.5,5.0,2.5
MOD might ~ PAST,2.5,inf,1.67
MOD might ~ MOD should,1.67,inf,2.5
MOD was to,1.0,inf,inf
?VB ~ PAST,1.33,inf,4.0
IMPV ~ TO INF,inf,1.0,inf
PRES PERF ~ TO INF,4.0,inf,1.33
MOD could ~ MOD might,1.0,inf,inf
MOD can ~ PAST,1.0,inf,inf
FUT ~ MOD is to,1.33,4.0,inf
MOD VB ~ PRES,1.0,inf,inf
PAST PERF ~ PRES,2.0,4.0,4.0
IMPV ~ PAST,4.0,1.33,inf
MOD should ~ PAST,1.33,4.0,inf
HAB used to,1.0,inf,inf
IMPV ~ MOD lest,1.33,4.0,inf
MOD let ~ MOD may,1.0,inf,inf
FUT ~ PRES PROG,inf,inf,1.0
MOD shall ~ PRES PERF,inf,1.0,inf
MOD would ~ PRES PART,3.0,3.0,3.0
FUT ~ MOD that be,1.0,inf,inf
MOD can ~ MOD let,3.0,inf,1.5
PAST PROG,1.0,inf,inf
MOD can ~ MOD might,inf,1.0,inf
MOD lest ~ MOD would,1.5,inf,3.0
MOD could ~ MOD must,inf,inf,1.0
MOD could ~ MOD should,1.5,3.0,inf
IMPV ~ MOD is to,3.0,1.5,inf
PRES PART ~ PRES PERF,3.0,3.0,3.0
MOD may ~ MOD might,1.5,3.0,inf
FUT PROG ~ PRES,3.0,1.5,inf
MOD is to ~ PRES PART,3.0,1.5,inf
