eng_TAMsimp,SBH,LBH
FUT,0.07,15.19
FUT ~ MOD shall,0.18,5.41
IMPV ~ MOD shall,0.0,inf
MOD is to ~ MOD shall,0.01,68.5
PRES,0.12,8.68
IMPV,0.1,9.57
MOD shall,0.0,inf
MOD must ~ MOD shall,0.0,inf
PAST,0.28,3.52
MOD may,0.07,13.5
PAST ~ PRES,0.0,inf
FUT ~ PRES,0.04,25.0
MOD shall ~ PRES,0.0,inf
FUT ~ MOD may,0.04,26.0
MOD shall ~ TO INF,0.04,23.0
MOD may ~ TO INF,0.1,10.5
PRES ~ PRES PERF,0.1,10.0
PRES PERF,0.47,2.14
MOD would ~ PAST,0.0,inf
MOD would,0.11,9.5
PRES ~ PRES PART,0.11,9.0
TO INF,0.13,7.5
MOD let,0.23,4.33
MOD may ~ MOD shall,0.0,inf
MOD shall ~ PRES PART,0.0,inf
MOD may ~ PRES,0.07,14.0
IMPV ~ MOD let,0.0,inf
PAST ~ PRES PART,0.17,6.0
PRES ~ TO INF,0.18,5.5
FUT ~ MOD lest,0.08,12.0
PRES PART,0.18,5.5
IMPV ~ PRES,0.0,inf
MOD can ~ MOD may,0.22,4.5
MOD can ~ MOD shall,0.0,inf
MOD is to ~ MOD let,0.0,inf
FUT ~ MOD would,0.14,7.0
FUT ~ TO INF,0.0,inf
IMPV ~ TO INF,0.0,inf
MOD is to ~ PRES,0.0,inf
MOD let ~ MOD shall,0.0,inf
FUT ~ IMPV,0.0,inf
MOD lest ~ TO INF,0.0,inf
MOD is to ~ PAST,0.0,inf
FUT ~ PAST,0.67,1.5
FUT ~ PRES PART,0.25,4.0
MOD let ~ MOD may,0.0,inf
PAST ~ PAST PROG,0.25,4.0
MOD may ~ MOD must,0.0,inf
MOD shall ~ MOD would,0.0,inf
IMPV ~ PAST,0.0,inf
MOD shall ~ MOD should,0.0,inf
HAB used to ~ PAST,0.0,inf
PAST ~ TO INF,0.33,3.0
MOD shall ~ PAST,0.0,inf
FUT ~ MOD let,0.0,inf
IMPV ~ MOD must,0.0,inf
MOD let ~ TO INF,0.0,inf
IMPV ~ MOD lest,0.0,inf
HAB used to ~ MOD would,0.0,inf
MOD can,0.5,2.0
IMPV ~ MOD would,0.0,inf
MOD is to ~ TO INF,0.0,inf
IMPV ~ MOD may,0.0,inf
PAST ~ PRES PERF,inf,0.0
MOD would ~ PRES,0.0,inf
MOD should ~ PRES,0.0,inf
PAST PERF,0.5,2.0
MOD was to,0.0,inf
MOD shall ~ PRES PERF,0.0,inf
MOD should,2.0,0.5
MOD lest ~ MOD might,0.0,inf
PAST ~ PAST PERF,0.0,inf
IMPV ~ MOD is to,0.0,inf
FUT ~ PRES PERF,0.0,inf
MOD that be ~ TO INF,0.0,inf
MOD VB ~ PRES,0.0,inf
FUT ~ MOD must,0.0,inf
PRES ~ PRES PROG,0.0,inf
MOD was to ~ PAST,1.0,1.0
FUT ~ FUT PERF,0.0,inf
FUT going-to ~ MOD shall,0.0,inf
IMPV ~ PRES PART,0.0,inf
MOD must ~ PRES PART,0.0,inf
MOD let ~ PRES,0.0,inf
MOD can ~ PRES,0.0,inf
MOD lest ~ MOD must,0.0,inf
MOD would ~ PRES PART,0.0,inf
MOD could ~ MOD may,0.0,inf
MOD lest ~ PRES PART,0.0,inf
MOD can ~ MOD let,0.0,inf
MOD let ~ PRES PART,inf,0.0
MOD is to ~ PRES PART,0.0,inf
FUT ~ FUT PROG,0.0,inf
FUT ~ FUT going-to,0.0,inf
MOD would ~ PRES PROG,0.0,inf
FUT ~ MOD VB,0.0,inf
FUT ~ MOD can,0.0,inf
MOD might,0.0,inf
MOD lest ~ PRES,0.0,inf
MOD let ~ MOD might,inf,0.0
MOD let ~ MOD must,0.0,inf
MOD is to ~ MOD may,inf,0.0
PRES PERF ~ TO INF,0.0,inf
FUT ~ MOD should,0.0,inf
FUT ~ MOD that be,0.0,inf
FUT ~ MOD is to,0.0,inf
MOD let ~ MOD would,inf,0.0
MOD could ~ MOD would,inf,0.0
IMPV ~ MOD VB,0.0,inf
MOD might ~ MOD would,0.0,inf
MOD must,0.0,inf
PAST PROG ~ TO INF,0.0,inf
MOD must ~ PRES,0.0,inf
MOD lest ~ MOD may,0.0,inf
MOD let ~ MOD should,0.0,inf
MOD quest must ~ MOD shall,0.0,inf
MOD ~ MOD would,0.0,inf
HAB used to ~ PAST PROG,0.0,inf
PAST PERF ~ PRES PART,inf,0.0
MOD may ~ PRES PART,inf,0.0
HAB used to,0.0,inf
MOD could,0.0,inf
MOD VB ~ MOD can,0.0,inf
MOD could ~ TO INF,inf,0.0
