eng_TAMsimp,SBH,LBH
FUT,0.94,0.06
FUT ~ MOD shall,0.84,0.16
IMPV ~ MOD shall,1.0,0.0
MOD is to ~ MOD shall,0.99,0.01
PRES,0.9,0.1
IMPV,0.91,0.09
MOD shall,1.0,0.0
MOD must ~ MOD shall,1.0,0.0
PAST,0.78,0.22
MOD may,0.93,0.07
PAST ~ PRES,1.0,0.0
FUT ~ PRES,0.96,0.04
MOD shall ~ PRES,1.0,0.0
FUT ~ MOD may,0.96,0.04
MOD shall ~ TO INF,0.96,0.04
MOD may ~ TO INF,0.91,0.09
PRES ~ PRES PERF,0.91,0.09
PRES PERF,0.68,0.32
MOD would ~ PAST,1.0,0.0
MOD would,0.9,0.1
PRES ~ PRES PART,0.9,0.1
TO INF,0.88,0.12
MOD let,0.81,0.19
MOD may ~ MOD shall,1.0,0.0
MOD shall ~ PRES PART,1.0,0.0
MOD may ~ PRES,0.93,0.07
IMPV ~ MOD let,1.0,0.0
PAST ~ PRES PART,0.86,0.14
PRES ~ TO INF,0.85,0.15
FUT ~ MOD lest,0.92,0.08
PRES PART,0.85,0.15
IMPV ~ PRES,1.0,0.0
MOD can ~ MOD may,0.82,0.18
MOD can ~ MOD shall,1.0,0.0
MOD is to ~ MOD let,1.0,0.0
FUT ~ MOD would,0.88,0.12
FUT ~ TO INF,1.0,0.0
IMPV ~ TO INF,1.0,0.0
MOD is to ~ PRES,1.0,0.0
MOD let ~ MOD shall,1.0,0.0
FUT ~ IMPV,1.0,0.0
MOD lest ~ TO INF,1.0,0.0
MOD is to ~ PAST,1.0,0.0
FUT ~ PAST,0.6,0.4
FUT ~ PRES PART,0.8,0.2
MOD let ~ MOD may,1.0,0.0
PAST ~ PAST PROG,0.8,0.2
MOD may ~ MOD must,1.0,0.0
MOD shall ~ MOD would,1.0,0.0
IMPV ~ PAST,1.0,0.0
MOD shall ~ MOD should,1.0,0.0
HAB used to ~ PAST,1.0,0.0
PAST ~ TO INF,0.75,0.25
MOD shall ~ PAST,1.0,0.0
FUT ~ MOD let,1.0,0.0
IMPV ~ MOD must,1.0,0.0
MOD let ~ TO INF,1.0,0.0
IMPV ~ MOD lest,1.0,0.0
HAB used to ~ MOD would,1.0,0.0
MOD can,0.67,0.33
IMPV ~ MOD would,1.0,0.0
MOD is to ~ TO INF,1.0,0.0
IMPV ~ MOD may,1.0,0.0
PAST ~ PRES PERF,0.0,1.0
MOD would ~ PRES,1.0,0.0
MOD should ~ PRES,1.0,0.0
PAST PERF,0.67,0.33
MOD was to,1.0,0.0
MOD shall ~ PRES PERF,1.0,0.0
MOD should,0.33,0.67
MOD lest ~ MOD might,1.0,0.0
PAST ~ PAST PERF,1.0,0.0
IMPV ~ MOD is to,1.0,0.0
FUT ~ PRES PERF,1.0,0.0
MOD that be ~ TO INF,1.0,0.0
MOD VB ~ PRES,1.0,0.0
FUT ~ MOD must,1.0,0.0
PRES ~ PRES PROG,1.0,0.0
MOD was to ~ PAST,0.5,0.5
FUT ~ FUT PERF,1.0,0.0
FUT going-to ~ MOD shall,1.0,0.0
IMPV ~ PRES PART,1.0,0.0
MOD must ~ PRES PART,1.0,0.0
MOD let ~ PRES,1.0,0.0
MOD can ~ PRES,1.0,0.0
MOD lest ~ MOD must,1.0,0.0
MOD would ~ PRES PART,1.0,0.0
MOD could ~ MOD may,1.0,0.0
MOD lest ~ PRES PART,1.0,0.0
MOD can ~ MOD let,1.0,0.0
MOD let ~ PRES PART,0.0,1.0
MOD is to ~ PRES PART,1.0,0.0
FUT ~ FUT PROG,1.0,0.0
FUT ~ FUT going-to,1.0,0.0
MOD would ~ PRES PROG,1.0,0.0
FUT ~ MOD VB,1.0,0.0
FUT ~ MOD can,1.0,0.0
MOD might,1.0,0.0
MOD lest ~ PRES,1.0,0.0
MOD let ~ MOD might,0.0,1.0
MOD let ~ MOD must,1.0,0.0
MOD is to ~ MOD may,0.0,1.0
PRES PERF ~ TO INF,1.0,0.0
FUT ~ MOD should,1.0,0.0
FUT ~ MOD that be,1.0,0.0
FUT ~ MOD is to,1.0,0.0
MOD let ~ MOD would,0.0,1.0
MOD could ~ MOD would,0.0,1.0
IMPV ~ MOD VB,1.0,0.0
MOD might ~ MOD would,1.0,0.0
MOD must,1.0,0.0
PAST PROG ~ TO INF,1.0,0.0
MOD must ~ PRES,1.0,0.0
MOD lest ~ MOD may,1.0,0.0
MOD let ~ MOD should,1.0,0.0
MOD quest must ~ MOD shall,1.0,0.0
MOD ~ MOD would,1.0,0.0
HAB used to ~ PAST PROG,1.0,0.0
PAST PERF ~ PRES PART,0.0,1.0
MOD may ~ PRES PART,0.0,1.0
HAB used to,1.0,0.0
MOD could,1.0,0.0
MOD VB ~ MOD can,1.0,0.0
MOD could ~ TO INF,0.0,1.0
