,SBH,LBH
FUT,1.18,0.85
FUT ~ MOD shall,0.34,2.98
IMPV ~ MOD shall,inf,0.0
MOD is to ~ MOD shall,5.62,0.18
PRES,0.63,1.59
IMPV,0.71,1.41
MOD shall,inf,0.0
MOD must ~ MOD shall,inf,0.0
PAST,0.24,4.1
MOD may,1.03,0.97
PAST ~ PRES,inf,0.0
FUT ~ PRES,1.91,0.52
MOD shall ~ PRES,inf,0.0
FUT ~ MOD may,1.98,0.5
MOD shall ~ TO INF,1.75,0.57
MOD may ~ TO INF,0.8,1.26
PRES ~ PRES PERF,0.76,1.32
PRES PERF,0.16,6.3
MOD would ~ PAST,inf,0.0
MOD would,0.72,1.39
PRES ~ PRES PART,0.68,1.47
TO INF,0.57,1.76
MOD let,0.33,3.06
MOD may ~ MOD shall,inf,0.0
MOD shall ~ PRES PART,inf,0.0
MOD may ~ PRES,1.06,0.94
IMPV ~ MOD let,inf,0.0
PAST ~ PRES PART,0.45,2.2
PRES ~ TO INF,0.42,2.4
FUT ~ MOD lest,0.91,1.1
PRES PART,0.42,2.4
IMPV ~ PRES,inf,0.0
MOD can ~ MOD may,0.34,2.94
MOD can ~ MOD shall,inf,0.0
MOD is to ~ MOD let,inf,0.0
FUT ~ MOD would,0.53,1.88
FUT ~ TO INF,inf,0.0
IMPV ~ TO INF,inf,0.0
MOD is to ~ PRES,inf,0.0
MOD let ~ MOD shall,inf,0.0
FUT ~ IMPV,inf,0.0
MOD lest ~ TO INF,inf,0.0
MOD is to ~ PAST,inf,0.0
FUT ~ PAST,0.11,8.84
FUT ~ PRES PART,0.3,3.3
MOD let ~ MOD may,inf,0.0
PAST ~ PAST PROG,0.3,3.3
MOD may ~ MOD must,inf,0.0
MOD shall ~ MOD would,inf,0.0
IMPV ~ PAST,inf,0.0
MOD shall ~ MOD should,inf,0.0
HAB used to ~ PAST,inf,0.0
PAST ~ TO INF,0.23,4.4
MOD shall ~ PAST,inf,0.0
FUT ~ MOD let,inf,0.0
IMPV ~ MOD must,inf,0.0
MOD let ~ TO INF,inf,0.0
IMPV ~ MOD lest,inf,0.0
HAB used to ~ MOD would,inf,0.0
MOD can,0.15,6.6
IMPV ~ MOD would,inf,0.0
MOD is to ~ TO INF,inf,0.0
IMPV ~ MOD may,inf,0.0
PAST ~ PRES PERF,0.0,inf
MOD would ~ PRES,inf,0.0
MOD should ~ PRES,inf,0.0
PAST PERF,0.15,6.6
MOD was to,inf,0.0
MOD shall ~ PRES PERF,inf,0.0
MOD should,0.04,26.54
MOD lest ~ MOD might,inf,0.0
PAST ~ PAST PERF,inf,0.0
IMPV ~ MOD is to,inf,0.0
FUT ~ PRES PERF,inf,0.0
MOD that be ~ TO INF,inf,0.0
MOD VB ~ PRES,inf,0.0
FUT ~ MOD must,inf,0.0
PRES ~ PRES PROG,inf,0.0
MOD was to ~ PAST,0.08,13.21
FUT ~ FUT PERF,inf,0.0
FUT going-to ~ MOD shall,inf,0.0
IMPV ~ PRES PART,inf,0.0
MOD must ~ PRES PART,inf,0.0
MOD let ~ PRES,inf,0.0
MOD can ~ PRES,inf,0.0
MOD lest ~ MOD must,inf,0.0
MOD would ~ PRES PART,inf,0.0
MOD could ~ MOD may,inf,0.0
MOD lest ~ PRES PART,inf,0.0
MOD can ~ MOD let,inf,0.0
MOD let ~ PRES PART,0.0,inf
MOD is to ~ PRES PART,inf,0.0
FUT ~ FUT PROG,inf,0.0
FUT ~ FUT going-to,inf,0.0
MOD would ~ PRES PROG,inf,0.0
FUT ~ MOD VB,inf,0.0
FUT ~ MOD can,inf,0.0
MOD might,inf,0.0
MOD lest ~ PRES,inf,0.0
MOD let ~ MOD might,0.0,inf
MOD let ~ MOD must,inf,0.0
MOD is to ~ MOD may,0.0,inf
PRES PERF ~ TO INF,inf,0.0
FUT ~ MOD should,inf,0.0
FUT ~ MOD that be,inf,0.0
FUT ~ MOD is to,inf,0.0
MOD let ~ MOD would,0.0,inf
MOD could ~ MOD would,0.0,inf
IMPV ~ MOD VB,inf,0.0
MOD might ~ MOD would,inf,0.0
MOD must,inf,0.0
PAST PROG ~ TO INF,inf,0.0
MOD must ~ PRES,inf,0.0
MOD lest ~ MOD may,inf,0.0
MOD let ~ MOD should,inf,0.0
MOD quest must ~ MOD shall,inf,0.0
MOD ~ MOD would,inf,0.0
HAB used to ~ PAST PROG,inf,0.0
PAST PERF ~ PRES PART,0.0,inf
MOD may ~ PRES PART,0.0,inf
HAB used to,inf,0.0
MOD could,inf,0.0
MOD VB ~ MOD can,inf,0.0
MOD could ~ TO INF,0.0,inf
