,prophetic,poetry,prose,instruction,poetry,prose,instruction,prophetic,prophetic,poetry,instruction,list,prose,list,prose,list,list,prophetic,instruction
,Q,Q,Q,Q,?,D,D,D,?,D,?,Q,N,D,?,?,N,N,N
PRES,0.7,2.37,0.49,0.75,4.57,0.18,0.99,0.61,1.29,4.84,1.29,0.12,0.13,0.0,0.0,0.88,0.0,0.0,0.0
FUT,1.81,0.95,1.39,0.13,0.87,0.04,0.15,1.45,1.6,0.66,0.0,0.14,0.0,0.0,0.0,0.0,0.0,4.33,0.0
FUT ~ MOD shall,3.47,0.3,1.13,0.42,0.04,0.03,0.23,1.79,2.31,0.0,0.77,2.84,0.0,0.0,0.0,0.0,0.0,5.94,0.0
IMPV ~ MOD shall,0.14,0.0,1.03,11.62,0.0,0.0,7.37,0.0,0.19,0.0,0.0,5.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST,0.46,2.37,0.13,0.01,0.45,31.29,0.43,3.44,0.44,4.71,0.51,0.0,12.46,52.56,52.1,17.29,25.88,0.0,0.0
FUT ~ PRES,1.08,1.78,0.75,0.3,3.19,0.0,0.0,1.61,0.72,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,0.19,0.01,0.65,13.44,0.0,0.0,5.85,0.23,0.0,0.0,7.38,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,0.28,0.0,0.71,12.5,0.0,0.0,2.1,0.0,0.0,0.0,6.31,11.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,0.87,2.18,0.99,0.17,1.96,0.0,0.0,0.29,1.13,0.39,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall,0.26,0.16,2.62,3.82,0.0,0.0,1.86,0.0,0.0,0.0,3.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,0.42,0.32,1.62,3.74,0.0,0.0,3.38,0.0,0.0,0.0,3.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,0.67,0.93,3.51,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,0.82,0.47,0.96,2.94,0.0,0.0,2.3,0.0,0.0,0.0,6.82,5.58,0.0,7.32,0.0,0.0,0.0,0.0,0.0
MOD would,0.7,2.27,0.86,0.0,0.0,5.76,0.0,0.0,0.0,0.0,0.0,3.46,29.65,0.0,0.0,0.0,0.0,0.0,0.0
