genre,prophetic,poetry,prose,instruction,poetry,prose,instruction,prophetic,prophetic,poetry,instruction,list,prose,list,prose,list,list,prophetic,instruction
domain2,Q,Q,Q,Q,?,D,D,D,?,D,?,Q,N,D,?,?,N,N,N
eng_TAMsimp,,,,,,,,,,,,,,,,,,,
PRES,4.5,2.6,6.54,9.03,16.85,266.3,66.58,121.05,83.22,40.97,190.21,2663.0,2663.0,inf,inf,2663.0,inf,inf,inf
FUT,2.65,4.17,3.39,40.93,46.9,1125.5,375.17,60.84,70.34,150.07,inf,2251.0,inf,inf,inf,inf,inf,2251.0,inf
FUT ~ MOD shall,1.94,9.87,3.81,14.89,863.5,1727.0,246.71,50.79,52.33,inf,287.83,172.7,inf,inf,inf,inf,inf,1727.0,inf
IMPV ~ MOD shall,18.67,inf,4.03,1.66,inf,inf,12.0,inf,504.0,inf,inf,84.0,inf,inf,inf,inf,inf,inf,inf
PAST,6.67,2.33,23.53,447.0,89.4,4.52,149.0,26.29,223.5,26.29,447.0,inf,49.67,55.88,111.75,223.5,447.0,inf,inf
FUT ~ PRES,3.45,2.74,5.11,21.79,14.79,inf,inf,51.75,138.0,103.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD shall,14.7,338.0,5.73,1.54,inf,inf,13.52,338.0,inf,inf,37.56,338.0,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD shall,10.14,inf,5.35,1.57,inf,inf,32.67,inf,inf,inf,42.0,42.0,inf,inf,inf,inf,inf,inf,inf
MOD can,4.01,2.42,4.14,38.43,22.42,inf,inf,269.0,89.67,269.0,134.5,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall,10.95,19.91,2.21,2.74,inf,inf,36.5,inf,inf,inf,73.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,7.23,10.44,2.94,2.76,inf,inf,20.89,inf,inf,inf,62.67,inf,inf,inf,inf,inf,inf,inf,inf
IMPV,4.92,4.25,1.91,26.71,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES,4.23,7.4,4.23,3.22,inf,inf,29.6,inf,inf,inf,37.0,74.0,inf,148.0,inf,inf,inf,inf,inf
MOD would,4.79,2.35,4.6,inf,inf,11.5,inf,inf,inf,inf,inf,115.0,19.17,inf,inf,inf,inf,inf,inf
PAST ~ PRES,3.33,2.2,13.75,110.0,36.67,27.5,55.0,55.0,55.0,55.0,inf,110.0,110.0,110.0,inf,inf,inf,inf,inf
FUT ~ MOD may,4.29,4.68,2.86,6.06,inf,inf,51.5,103.0,103.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,3.84,2.74,5.65,9.6,24.0,inf,96.0,96.0,96.0,48.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PERF,4.89,2.84,4.19,6.29,inf,inf,29.33,88.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should,6.58,5.64,1.72,inf,inf,15.8,inf,inf,inf,inf,inf,inf,inf,inf,79.0,inf,inf,inf,79.0
MOD can ~ PRES,4.44,2.29,3.74,71.0,17.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD lest,7.1,5.07,2.22,4.73,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD can,3.05,3.2,3.56,64.0,32.0,inf,inf,32.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF,5.08,2.54,3.81,10.17,inf,inf,61.0,inf,inf,30.5,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD shall,10.6,5.3,3.79,2.65,26.5,inf,53.0,inf,inf,inf,53.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART,2.88,3.06,4.45,24.5,inf,49.0,inf,24.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,3.13,2.04,6.71,23.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
TO INF,3.13,3.62,3.36,23.5,inf,inf,inf,inf,inf,47.0,inf,inf,23.5,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,5.11,3.54,4.6,6.57,15.33,inf,15.33,inf,46.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD shall,3.67,4.0,2.59,22.0,22.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,4.89,3.14,2.32,22.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ TO INF,6.83,3.42,5.86,3.15,20.5,inf,inf,41.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,4.0,2.35,3.08,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could,9.5,4.75,5.43,7.6,inf,3.8,inf,19.0,inf,19.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ TO INF,3.7,37.0,1.76,7.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must,3.6,9.0,2.4,6.0,inf,inf,inf,inf,36.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,3.89,2.69,4.38,8.75,35.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD may,8.5,5.67,2.0,6.8,34.0,inf,inf,inf,34.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PERF,4.71,1.5,16.5,16.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD should,2.38,15.5,2.07,31.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST,14.5,9.67,inf,14.5,inf,1.81,inf,5.8,inf,inf,inf,inf,inf,inf,inf,29.0,inf,inf,inf
FUT ~ TO INF,4.5,3.38,2.25,inf,27.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,23.0,1.53,4.6,inf,inf,inf,inf,inf,inf,23.0,23.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ IMPV,4.2,2.62,3.0,inf,inf,inf,21.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PRES PART,10.5,3.0,21.0,21.0,inf,5.25,inf,5.25,21.0,inf,inf,inf,inf,21.0,inf,inf,inf,inf,inf
MOD shall ~ PRES PART,2.5,inf,10.0,2.22,inf,inf,inf,inf,inf,inf,20.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,9.0,3.6,2.57,inf,inf,inf,inf,inf,inf,inf,inf,inf,6.0,inf,inf,18.0,inf,inf,inf
MOD must ~ PRES,9.0,3.0,3.6,4.5,inf,inf,18.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,8.0,8.0,2.29,8.0,inf,inf,5.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD may,16.0,4.0,5.33,2.67,inf,inf,16.0,16.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,3.0,3.75,5.0,inf,7.5,inf,inf,inf,inf,15.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,2.14,7.5,5.0,inf,inf,inf,inf,15.0,7.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PAST,2.14,7.5,3.0,inf,inf,inf,inf,15.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PAST,2.0,inf,2.8,7.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD let,3.5,2.8,2.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ PRES,14.0,7.0,1.4,14.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,14.0,2.0,4.67,inf,inf,inf,14.0,14.0,inf,inf,inf,inf,14.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD may,13.0,3.25,2.17,6.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD shall,3.25,inf,4.33,6.5,inf,inf,3.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD should,3.0,3.0,6.0,12.0,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ PAST,6.0,12.0,4.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ TO INF,6.0,12.0,1.5,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD must,6.0,inf,1.33,12.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD let,3.67,inf,2.75,2.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD can,inf,1.22,5.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might,11.0,1.83,2.75,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ TO INF,11.0,3.67,inf,11.0,inf,3.67,inf,11.0,inf,inf,inf,11.0,inf,inf,inf,inf,11.0,inf,inf
MOD may ~ MOD must,inf,inf,2.0,2.5,inf,inf,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF,inf,2.5,10.0,inf,inf,3.33,inf,inf,10.0,inf,inf,inf,10.0,inf,inf,inf,inf,inf,inf
MOD is to,10.0,inf,2.0,5.0,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to ~ PAST,4.5,9.0,9.0,4.5,inf,9.0,9.0,inf,inf,inf,inf,inf,inf,inf,9.0,inf,inf,inf,inf
MOD can ~ MOD should,2.67,8.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD could,8.0,2.0,2.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest,7.0,1.17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF,inf,7.0,inf,inf,inf,1.17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,3.5,2.33,3.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD was to,inf,3.5,3.5,inf,inf,3.5,inf,inf,inf,inf,inf,inf,7.0,inf,inf,inf,inf,inf,inf
MOD might ~ MOD would,3.0,2.0,inf,inf,inf,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST,inf,1.5,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,6.0,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,3.0,6.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,inf,6.0,inf,inf,inf,2.0,inf,6.0,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD shall,6.0,inf,1.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD might,6.0,inf,1.5,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ MOD would,inf,2.0,3.0,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD must,inf,inf,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,6.0,3.0,inf,3.0,inf,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD may,inf,inf,3.0,2.0,inf,inf,6.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD would,1.5,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD may,2.5,5.0,inf,5.0,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES PART,5.0,1.67,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD must,5.0,inf,1.25,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ TO INF,5.0,1.67,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PART,5.0,inf,1.67,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ TO INF,inf,inf,1.25,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ TO INF,2.5,2.5,inf,inf,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PART,2.5,inf,2.5,inf,inf,inf,inf,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ TO INF,5.0,1.67,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,5.0,inf,inf,inf,inf,inf,inf
MOD might ~ PAST,1.67,2.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ MOD should,inf,2.5,2.5,inf,inf,5.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to,inf,5.0,inf,inf,inf,1.67,inf,inf,inf,inf,inf,inf,inf,5.0,inf,inf,inf,inf,inf
?VB ~ PAST,inf,2.0,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ TO INF,4.0,4.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD might,inf,inf,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PAST,1.33,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD is to,4.0,inf,1.33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ PRES,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES,4.0,4.0,4.0,inf,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,1.33,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PAST,4.0,2.0,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to,inf,inf,4.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf,4.0,inf,inf,inf,inf,inf,inf
IMPV ~ MOD lest,2.0,4.0,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,4.0,4.0,4.0,4.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ PRES PROG,3.0,inf,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PERF,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PART,3.0,3.0,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD that be,inf,inf,1.5,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD let,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD might,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD would,inf,inf,3.0,3.0,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD must,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD should,3.0,inf,1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD is to,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
