eng_TAMsimp,TOTAL,"('prophetic', 'Q')","('poetry', 'Q')","('prose', 'Q')","('instruction', 'Q')","('poetry', '?')","('prose', 'D')","('instruction', 'D')","('prophetic', 'D')","('prophetic', '?')","('poetry', 'D')","('instruction', '?')","('list', 'Q')","('prose', 'N')","('list', 'D')","('prose', '?')","('list', '?')","('list', 'N')","('prophetic', 'N')","('instruction', 'N')"
PRES,2663,592,1025,407,295,158,10,40,22,32,65,14,1,1,0,0,1,0,0,0
FUT,2251,850,540,664,55,48,2,6,37,32,15,0,1,0,0,0,0,0,1,0
FUT ~ MOD shall,1727,889,175,453,116,2,1,7,34,33,0,6,10,0,0,0,0,0,1,0
IMPV ~ MOD shall,504,27,0,125,303,0,0,42,0,1,0,0,6,0,0,0,0,0,0,0
PAST,447,67,192,19,1,5,99,3,17,2,17,1,0,9,8,4,2,1,0,0
FUT ~ PRES,414,120,151,81,19,28,0,0,8,3,4,0,0,0,0,0,0,0,0,0
MOD must ~ MOD shall,338,23,1,59,219,0,0,25,1,0,0,9,1,0,0,0,0,0,0,0
MOD is to ~ MOD shall,294,29,0,55,187,0,0,9,0,0,0,7,7,0,0,0,0,0,0,0
MOD can,269,67,111,65,7,12,0,0,1,3,1,2,0,0,0,0,0,0,0,0
MOD shall,219,20,11,99,80,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0
MOD may,188,26,18,64,68,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0
IMPV,187,38,44,98,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES,148,35,20,35,46,0,0,5,0,0,0,4,2,0,1,0,0,0,0,0
MOD would,115,24,49,25,0,0,10,0,0,0,0,0,1,6,0,0,0,0,0,0
PAST ~ PRES,110,33,50,8,1,3,4,2,2,2,2,0,1,1,1,0,0,0,0,0
FUT ~ MOD may,103,24,22,36,17,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PART,96,25,35,17,10,4,0,1,1,1,2,0,0,0,0,0,0,0,0,0
PRES ~ PRES PERF,88,18,31,21,14,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
MOD should,79,12,14,46,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1
MOD can ~ PRES,71,16,31,19,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD lest,71,10,14,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
