,imparfait,passé_comp,passé_simp
PAST,0.37,-5.43,5.94
PRES,-22.74,21.29,0.16
FUT,0.23,0.48,-1.83
FUT ~ MOD shall,-0.88,0.97,0.0
MOD would,7.73,-4.57,-1.63
PAST ~ PRES,0.64,-0.08,-0.8
MOD would ~ PAST,4.62,-3.65,-0.47
PRES PERF,-3.85,6.18,-0.83
MOD could,2.98,-2.42,-0.15
PAST ~ PRES PART,0.21,-0.39,0.34
FUT ~ PRES,-0.79,0.85,0.15
PAST ~ PRES PERF,-0.11,0.85,-0.63
MOD should,2.99,-1.71,-0.42
HAB used to ~ PAST,1.66,-1.71,0.0
PRES ~ PRES PERF,-1.79,2.08,0.0
FUT ~ MOD would,1.15,-1.24,0.0
IMPV ~ MOD shall,1.8,-0.99,-0.22
MOD may,1.8,-0.99,-0.22
MOD should ~ MOD was to,1.5,-0.73,0.0
PRES ~ TO INF,-1.94,-0.73,5.18
FUT ~ MOD may,0.0,0.0,0.22
PAST ~ PAST PROG,0.0,0.0,0.22
MOD was to ~ PAST,0.42,-0.76,0.28
IMPV ~ PRES,-0.71,1.34,0.0
MOD can,1.2,-0.76,0.0
MOD may ~ PRES,-0.0,-0.0,0.0
PRES PART,0.2,-0.51,0.34
MOD shall,0.9,-0.51,0.0
IMPV,0.6,-0.26,0.0
MOD lest ~ PRES,0.6,-0.26,0.0
HAB used to,-0.22,-0.26,1.28
PAST PROG,0.6,-0.26,0.0
MOD was to,0.6,-0.26,0.0
MOD let ~ PRES,-0.0,0.0,0.0
MOD can ~ PAST,-0.65,0.95,0.0
MOD is to ~ MOD shall,-0.65,-0.0,0.58
FUT ~ PAST,-0.65,-0.0,0.58
MOD can ~ MOD could,0.3,-0.26,0.0
MOD might ~ PAST,-0.65,0.95,0.0
?VB ~ PAST,0.3,-0.26,0.0
MOD should ~ PAST,0.3,-0.26,0.0
PAST ~ TO INF,0.3,-0.26,0.0
MOD should ~ MOD would,0.3,-0.26,0.0
MOD shall ~ PRES,0.0,-0.0,0.0
PAST PERF,0.0,-0.0,0.0
PAST ~ PAST PERF,0.0,-0.0,0.0
PAST PERF ~ PRES,-0.65,0.95,0.0
PRES ~ PRES PART,0.0,-0.0,0.0
MOD should ~ PRES,0.3,-0.26,0.0
PRES PART ~ TO INF,-0.32,0.0,0.85
PAST PROG ~ PRES PART,-0.0,0.0,0.0
FUT ~ PRES PERF,-0.32,0.47,0.0
MOD VB ~ MOD may,-0.0,0.0,0.0
HAB used to ~ MOD would,-0.0,0.0,0.0
MOD would ~ PRES PART,-0.0,0.0,0.0
FUT ~ MOD lest,-0.0,0.0,0.0
MOD would ~ PRES,-0.0,0.0,0.0
PRES ~ PRES PROG,-0.32,0.47,0.0
MOD should ~ TO INF,-0.0,0.0,0.0
JJ ~ PRES,-0.32,0.47,0.0
MOD might ~ MOD would,-0.0,0.0,0.0
MOD may ~ PAST,-0.32,0.47,0.0
MOD can ~ MOD shall,-0.0,0.0,0.0
MOD can ~ PRES,-0.32,0.47,0.0
MOD could ~ MOD might,-0.0,0.0,0.0
MOD could ~ MOD would,-0.0,0.0,0.0
MOD could ~ PAST,-0.0,0.0,0.0
MOD could ~ PRES PERF,-0.0,0.0,0.0
MOD could ~ TO INF,-0.0,0.0,0.0
MOD shall ~ PAST,-0.0,0.0,0.0
MOD lest,-0.0,0.0,0.0
MOD lest ~ MOD would,-0.0,0.0,0.0
MOD shall ~ MOD should,-0.0,0.0,0.0
MOD let ~ PAST,-0.0,0.0,0.0
MOD must,-0.32,0.47,0.0
MOD might ~ PRES PERF,-0.32,0.47,0.0
TO INF,-0.32,0.47,0.0
