eng_TAMsimp,imparfait,passé_comp,passé_simp
PAST,0.83,3.63,3.2
PRES,4.85,0.48,5.61
FUT,0.72,1.38,inf
FUT ~ MOD shall,1.64,1.07,6.25
MOD would,0.0,inf,inf
PAST ~ PRES,0.53,2.25,25.0
MOD would ~ PAST,0.05,inf,20.0
PRES PERF,15.0,0.07,inf
MOD could,0.07,inf,14.0
PAST ~ PRES PART,0.67,4.0,4.0
FUT ~ PRES,2.25,0.86,5.5
PAST ~ PRES PERF,1.17,0.86,inf
MOD should,0.0,inf,inf
HAB used to ~ PAST,0.11,inf,9.0
PRES ~ PRES PERF,8.0,0.29,8.0
FUT ~ MOD would,0.14,inf,7.0
IMPV ~ MOD shall,0.0,inf,inf
MOD may,0.0,inf,inf
MOD should ~ MOD was to,0.0,inf,inf
PRES ~ TO INF,inf,inf,0.0
FUT ~ MOD may,1.0,2.0,5.0
PAST ~ PAST PROG,1.0,2.0,5.0
MOD was to ~ PAST,0.25,inf,4.0
IMPV ~ PRES,4.0,0.25,inf
MOD can,0.0,inf,inf
MOD may ~ PRES,0.67,1.5,inf
PRES PART,0.33,inf,3.0
MOD shall,0.0,inf,inf
IMPV,0.0,inf,inf
MOD lest ~ PRES,0.0,inf,inf
HAB used to,2.0,inf,0.5
PAST PROG,0.0,inf,inf
MOD was to,0.0,inf,inf
MOD let ~ PRES,0.5,2.0,inf
MOD can ~ PAST,inf,0.0,inf
MOD is to ~ MOD shall,inf,1.0,1.0
FUT ~ PAST,inf,1.0,1.0
MOD can ~ MOD could,0.0,inf,inf
MOD might ~ PAST,inf,0.0,inf
?VB ~ PAST,0.0,inf,inf
MOD should ~ PAST,0.0,inf,inf
PAST ~ TO INF,0.0,inf,inf
MOD should ~ MOD would,0.0,inf,inf
MOD shall ~ PRES,1.0,1.0,inf
PAST PERF,1.0,1.0,inf
PAST ~ PAST PERF,1.0,1.0,inf
PAST PERF ~ PRES,inf,0.0,inf
PRES ~ PRES PART,1.0,1.0,inf
MOD should ~ PRES,0.0,inf,inf
PRES PART ~ TO INF,inf,inf,0.0
PAST PROG ~ PRES PART,0.0,inf,inf
FUT ~ PRES PERF,inf,0.0,inf
MOD VB ~ MOD may,0.0,inf,inf
HAB used to ~ MOD would,0.0,inf,inf
MOD would ~ PRES PART,0.0,inf,inf
FUT ~ MOD lest,0.0,inf,inf
MOD would ~ PRES,0.0,inf,inf
PRES ~ PRES PROG,inf,0.0,inf
MOD should ~ TO INF,0.0,inf,inf
JJ ~ PRES,inf,0.0,inf
MOD might ~ MOD would,0.0,inf,inf
MOD may ~ PAST,inf,0.0,inf
MOD can ~ MOD shall,0.0,inf,inf
MOD can ~ PRES,inf,0.0,inf
MOD could ~ MOD might,0.0,inf,inf
MOD could ~ MOD would,0.0,inf,inf
MOD could ~ PAST,0.0,inf,inf
MOD could ~ PRES PERF,0.0,inf,inf
MOD could ~ TO INF,0.0,inf,inf
MOD shall ~ PAST,0.0,inf,inf
MOD lest,0.0,inf,inf
MOD lest ~ MOD would,0.0,inf,inf
MOD shall ~ MOD should,0.0,inf,inf
MOD let ~ PAST,0.0,inf,inf
MOD must,inf,0.0,inf
MOD might ~ PRES PERF,inf,0.0,inf
TO INF,inf,0.0,inf
