eng_TAMsimp,imparfait,passé_comp,passé_simp
PAST,1.83,4.63,4.2
PRES,5.85,1.48,6.61
FUT,1.72,2.38,inf
FUT ~ MOD shall,2.64,2.07,7.25
MOD would,1.0,inf,inf
PAST ~ PRES,1.53,3.25,26.0
MOD would ~ PAST,1.05,inf,21.0
PRES PERF,16.0,1.07,inf
MOD could,1.07,inf,15.0
PAST ~ PRES PART,1.67,5.0,5.0
FUT ~ PRES,3.25,1.86,6.5
PAST ~ PRES PERF,2.17,1.86,inf
MOD should,1.0,inf,inf
HAB used to ~ PAST,1.11,inf,10.0
PRES ~ PRES PERF,9.0,1.29,9.0
FUT ~ MOD would,1.14,inf,8.0
IMPV ~ MOD shall,1.0,inf,inf
MOD may,1.0,inf,inf
MOD should ~ MOD was to,1.0,inf,inf
PRES ~ TO INF,inf,inf,1.0
FUT ~ MOD may,2.0,3.0,6.0
PAST ~ PAST PROG,2.0,3.0,6.0
MOD was to ~ PAST,1.25,inf,5.0
IMPV ~ PRES,5.0,1.25,inf
MOD can,1.0,inf,inf
MOD may ~ PRES,1.67,2.5,inf
PRES PART,1.33,inf,4.0
MOD shall,1.0,inf,inf
IMPV,1.0,inf,inf
MOD lest ~ PRES,1.0,inf,inf
HAB used to,3.0,inf,1.5
PAST PROG,1.0,inf,inf
MOD was to,1.0,inf,inf
MOD let ~ PRES,1.5,3.0,inf
MOD can ~ PAST,inf,1.0,inf
MOD is to ~ MOD shall,inf,2.0,2.0
FUT ~ PAST,inf,2.0,2.0
MOD can ~ MOD could,1.0,inf,inf
MOD might ~ PAST,inf,1.0,inf
?VB ~ PAST,1.0,inf,inf
MOD should ~ PAST,1.0,inf,inf
PAST ~ TO INF,1.0,inf,inf
MOD should ~ MOD would,1.0,inf,inf
MOD shall ~ PRES,2.0,2.0,inf
PAST PERF,2.0,2.0,inf
PAST ~ PAST PERF,2.0,2.0,inf
PAST PERF ~ PRES,inf,1.0,inf
PRES ~ PRES PART,2.0,2.0,inf
MOD should ~ PRES,1.0,inf,inf
PRES PART ~ TO INF,inf,inf,1.0
PAST PROG ~ PRES PART,1.0,inf,inf
FUT ~ PRES PERF,inf,1.0,inf
MOD VB ~ MOD may,1.0,inf,inf
HAB used to ~ MOD would,1.0,inf,inf
MOD would ~ PRES PART,1.0,inf,inf
FUT ~ MOD lest,1.0,inf,inf
MOD would ~ PRES,1.0,inf,inf
PRES ~ PRES PROG,inf,1.0,inf
MOD should ~ TO INF,1.0,inf,inf
JJ ~ PRES,inf,1.0,inf
MOD might ~ MOD would,1.0,inf,inf
MOD may ~ PAST,inf,1.0,inf
MOD can ~ MOD shall,1.0,inf,inf
MOD can ~ PRES,inf,1.0,inf
MOD could ~ MOD might,1.0,inf,inf
MOD could ~ MOD would,1.0,inf,inf
MOD could ~ PAST,1.0,inf,inf
MOD could ~ PRES PERF,1.0,inf,inf
MOD could ~ TO INF,1.0,inf,inf
MOD shall ~ PAST,1.0,inf,inf
MOD lest,1.0,inf,inf
MOD lest ~ MOD would,1.0,inf,inf
MOD shall ~ MOD should,1.0,inf,inf
MOD let ~ PAST,1.0,inf,inf
MOD must,inf,1.0,inf
MOD might ~ PRES PERF,inf,1.0,inf
TO INF,inf,1.0,inf
