eng_TAMsimp,imparfait,passé_comp,passé_simp
PAST,0.55,0.22,0.24
PRES,0.17,0.68,0.15
FUT,0.58,0.42,0.0
FUT ~ MOD shall,0.38,0.48,0.14
MOD would,1.0,0.0,0.0
PAST ~ PRES,0.65,0.31,0.04
MOD would ~ PAST,0.95,0.0,0.05
PRES PERF,0.06,0.94,0.0
MOD could,0.93,0.0,0.07
PAST ~ PRES PART,0.6,0.2,0.2
FUT ~ PRES,0.31,0.54,0.15
PAST ~ PRES PERF,0.46,0.54,0.0
MOD should,1.0,0.0,0.0
HAB used to ~ PAST,0.9,0.0,0.1
PRES ~ PRES PERF,0.11,0.78,0.11
FUT ~ MOD would,0.88,0.0,0.12
IMPV ~ MOD shall,1.0,0.0,0.0
MOD may,1.0,0.0,0.0
MOD should ~ MOD was to,1.0,0.0,0.0
PRES ~ TO INF,0.0,0.0,1.0
FUT ~ MOD may,0.5,0.33,0.17
PAST ~ PAST PROG,0.5,0.33,0.17
MOD was to ~ PAST,0.8,0.0,0.2
IMPV ~ PRES,0.2,0.8,0.0
MOD can,1.0,0.0,0.0
MOD may ~ PRES,0.6,0.4,0.0
PRES PART,0.75,0.0,0.25
MOD shall,1.0,0.0,0.0
IMPV,1.0,0.0,0.0
MOD lest ~ PRES,1.0,0.0,0.0
HAB used to,0.33,0.0,0.67
PAST PROG,1.0,0.0,0.0
MOD was to,1.0,0.0,0.0
MOD let ~ PRES,0.67,0.33,0.0
MOD can ~ PAST,0.0,1.0,0.0
MOD is to ~ MOD shall,0.0,0.5,0.5
FUT ~ PAST,0.0,0.5,0.5
MOD can ~ MOD could,1.0,0.0,0.0
MOD might ~ PAST,0.0,1.0,0.0
?VB ~ PAST,1.0,0.0,0.0
MOD should ~ PAST,1.0,0.0,0.0
PAST ~ TO INF,1.0,0.0,0.0
MOD should ~ MOD would,1.0,0.0,0.0
MOD shall ~ PRES,0.5,0.5,0.0
PAST PERF,0.5,0.5,0.0
PAST ~ PAST PERF,0.5,0.5,0.0
PAST PERF ~ PRES,0.0,1.0,0.0
PRES ~ PRES PART,0.5,0.5,0.0
MOD should ~ PRES,1.0,0.0,0.0
PRES PART ~ TO INF,0.0,0.0,1.0
PAST PROG ~ PRES PART,1.0,0.0,0.0
FUT ~ PRES PERF,0.0,1.0,0.0
MOD VB ~ MOD may,1.0,0.0,0.0
HAB used to ~ MOD would,1.0,0.0,0.0
MOD would ~ PRES PART,1.0,0.0,0.0
FUT ~ MOD lest,1.0,0.0,0.0
MOD would ~ PRES,1.0,0.0,0.0
PRES ~ PRES PROG,0.0,1.0,0.0
MOD should ~ TO INF,1.0,0.0,0.0
JJ ~ PRES,0.0,1.0,0.0
MOD might ~ MOD would,1.0,0.0,0.0
MOD may ~ PAST,0.0,1.0,0.0
MOD can ~ MOD shall,1.0,0.0,0.0
MOD can ~ PRES,0.0,1.0,0.0
MOD could ~ MOD might,1.0,0.0,0.0
MOD could ~ MOD would,1.0,0.0,0.0
MOD could ~ PAST,1.0,0.0,0.0
MOD could ~ PRES PERF,1.0,0.0,0.0
MOD could ~ TO INF,1.0,0.0,0.0
MOD shall ~ PAST,1.0,0.0,0.0
MOD lest,1.0,0.0,0.0
MOD lest ~ MOD would,1.0,0.0,0.0
MOD shall ~ MOD should,1.0,0.0,0.0
MOD let ~ PAST,1.0,0.0,0.0
MOD must,0.0,1.0,0.0
MOD might ~ PRES PERF,0.0,1.0,0.0
TO INF,0.0,1.0,0.0
