eng_TAMsimp,prose,prophetic,poetry,list,instruction
PAST,0.19,12.3,31.57,36.72,40.1
PAST ~ PRES PART,0.15,13.0,31.67,48.0,97.0
PRES,6.8,1.71,1.03,194.0,194.0
PAST ~ PAST PERF,0.15,14.25,90.5,25.14,60.0
PRES PERF,0.72,3.92,4.87,181.0,25.0
PAST ~ PRES PERF,1.07,1.9,5.44,inf,57.0
PAST ~ PRES,1.66,2.44,3.04,92.0,12.29
PAST ~ TO INF,0.13,12.0,77.0,inf,38.0
PAST PERF,0.3,27.0,55.0,4.6,inf
PRES ~ PRES PERF,4.0,1.65,1.5,44.0,inf
PAST ~ PAST PROG,0.12,12.5,inf,26.0,inf
PRES PART,0.18,5.5,inf,inf,inf
FUT ~ PRES,inf,1.0,1.25,inf,17.0
MOD would,0.5,5.0,5.0,inf,inf
MOD could ~ PAST,0.1,10.0,inf,inf,inf
TO INF,0.67,4.0,4.0,inf,inf
FUT ~ PAST,inf,0.6,1.67,inf,inf
MOD let ~ PAST,0.5,5.0,5.0,inf,inf
PRES ~ PRES PART,inf,2.0,0.5,inf,inf
PRES ~ TO INF,inf,1.5,0.67,inf,inf
PRES PART ~ PRES PERF,1.5,1.5,inf,inf,4.0
PAST PROG,0.0,inf,inf,inf,inf
PRES ~ PRES PROG,0.25,4.0,inf,inf,inf
MOD would ~ PAST,0.25,inf,4.0,inf,inf
IMPV ~ PAST,0.25,4.0,inf,inf,inf
FUT ~ PRES PERF,inf,0.67,1.5,inf,inf
PAST PERF ~ PRES PERF,0.33,inf,3.0,inf,inf
PAST PERF ~ PRES PART,0.0,inf,inf,inf,inf
PRES PERF ~ TO INF,2.0,2.0,2.0,inf,inf
PAST ~ VB,0.5,inf,inf,2.0,inf
MOD let,0.0,inf,inf,inf,inf
FUT ~ MOD shall,inf,0.5,2.0,inf,inf
FUT,inf,1.0,1.0,inf,inf
PRES PERF ~ PRES PROG,1.0,1.0,inf,inf,inf
MOD may ~ PAST,1.0,inf,1.0,inf,inf
MOD can ~ PRES,inf,1.0,1.0,inf,inf
PRES PERF PROG,0.0,inf,inf,inf,inf
MOD is to ~ PRES PERF,inf,0.0,inf,inf,inf
FUT ~ PRES PART,inf,0.0,inf,inf,inf
FUT ~ MOD would,inf,inf,0.0,inf,inf
PRES PART ~ TO INF,0.0,inf,inf,inf,inf
IMPV ~ PRES,inf,inf,0.0,inf,inf
IMPV ~ PRES PART,inf,inf,inf,0.0,inf
MOD can ~ PAST,inf,inf,0.0,inf,inf
MOD could ~ MOD might,0.0,inf,inf,inf,inf
MOD might ~ PRES PERF,inf,0.0,inf,inf,inf
PAST ~ PAST PERF PROG,0.0,inf,inf,inf,inf
MOD let ~ MOD may,inf,inf,0.0,inf,inf
MOD must ~ PAST,inf,inf,0.0,inf,inf
MOD let ~ PRES,0.0,inf,inf,inf,inf
PAST PROG ~ PRES PERF PROG,0.0,inf,inf,inf,inf
PAST PROG ~ PRES PERF,0.0,inf,inf,inf,inf
PAST PROG ~ PRES PART,0.0,inf,inf,inf,inf
MOD let ~ PRES PART,0.0,inf,inf,inf,inf
PAST PERF ~ TO INF,0.0,inf,inf,inf,inf
MOD may,inf,inf,0.0,inf,inf
MOD would ~ PRES,inf,inf,0.0,inf,inf
MOD may ~ PRES,inf,0.0,inf,inf,inf
MOD should ~ TO INF,0.0,inf,inf,inf,inf
MOD should ~ PRES,inf,inf,0.0,inf,inf
MOD should ~ MOD would,0.0,inf,inf,inf,inf
MOD must ~ PRES,inf,0.0,inf,inf,inf
??VB ~ PAST,0.0,inf,inf,inf,inf
