,prose,prophetic,poetry,list,instruction
PAST,99.37,-43.1,-82.56,0.62,0.59
PAST ~ PRES PART,1.2,-0.35,-0.41,-0.09,-0.47
PRES,-97.81,26.74,76.15,-1.18,-1.02
PAST ~ PAST PERF,1.17,-0.45,-1.73,0.61,-0.09
PRES PERF,-12.65,5.69,9.69,-1.02,0.68
PAST ~ PRES PERF,-15.34,13.91,5.28,-1.11,0.0
PAST ~ PRES,-20.16,7.74,10.71,-0.13,2.18
PAST ~ TO INF,0.85,-0.07,-0.57,-0.57,0.15
PAST PERF,-0.41,-0.63,-0.28,5.84,-0.19
PRES ~ PRES PERF,-18.36,6.94,12.47,0.0,-0.2
PAST ~ PAST PROG,0.34,0.0,-0.2,0.29,0.0
PRES PART,-0.0,0.55,-0.2,0.0,0.0
FUT ~ PRES,-13.25,5.12,6.27,0.0,0.45
MOD would,-0.6,0.54,0.99,0.0,0.0
MOD could ~ PAST,0.15,-0.0,0.0,0.0,0.0
TO INF,-1.02,0.66,1.13,0.0,0.0
FUT ~ PAST,-5.88,3.62,2.35,0.0,0.0
MOD let ~ PAST,-0.51,0.37,0.61,0.0,0.0
PRES ~ PRES PART,-4.41,1.03,4.21,0.0,0.0
PRES ~ TO INF,-3.68,1.18,3.05,0.0,0.0
PRES PART ~ PRES PERF,-1.33,1.18,0.0,0.0,0.95
PAST PROG,0.23,0.0,0.0,0.0,0.0
PRES ~ PRES PROG,0.0,0.43,0.0,0.0,0.0
MOD would ~ PAST,0.0,0.0,0.68,0.0,0.0
IMPV ~ PAST,0.0,0.43,0.0,0.0,0.0
FUT ~ PRES PERF,-3.68,2.22,1.72,0.0,0.0
PAST PERF ~ PRES PERF,-0.25,0.0,0.77,0.0,0.0
PAST PERF ~ PRES PART,-0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,-1.05,0.61,0.88,0.0,0.0
PAST ~ VB,-0.34,0.0,0.0,1.12,0.0
MOD let,-0.0,0.0,0.0,0.0,0.0
FUT ~ MOD shall,-2.2,1.65,0.88,0.0,0.0
FUT,-1.47,0.77,1.05,0.0,0.0
PRES PERF ~ PRES PROG,-0.48,0.77,0.0,0.0,0.0
MOD may ~ PAST,-0.48,0.0,1.05,0.0,0.0
MOD can ~ PRES,-1.47,0.77,1.05,0.0,0.0
PRES PERF PROG,-0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PERF,-0.73,1.05,0.0,0.0,0.0
FUT ~ PRES PART,-0.73,1.05,0.0,0.0,0.0
FUT ~ MOD would,-0.73,0.0,1.34,0.0,0.0
PRES PART ~ TO INF,-0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES,-0.73,0.0,1.34,0.0,0.0
IMPV ~ PRES PART,-0.73,0.0,0.0,1.59,0.0
MOD can ~ PAST,-0.73,0.0,1.34,0.0,0.0
MOD could ~ MOD might,-0.0,0.0,0.0,0.0,0.0
MOD might ~ PRES PERF,-0.73,1.05,0.0,0.0,0.0
PAST ~ PAST PERF PROG,-0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD may,-0.73,0.0,1.34,0.0,0.0
MOD must ~ PAST,-0.73,0.0,1.34,0.0,0.0
MOD let ~ PRES,-0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PERF PROG,-0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PERF,-0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,-0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,-0.0,0.0,0.0,0.0,0.0
PAST PERF ~ TO INF,-0.0,0.0,0.0,0.0,0.0
MOD may,-0.73,0.0,1.34,0.0,0.0
MOD would ~ PRES,-0.73,0.0,1.34,0.0,0.0
MOD may ~ PRES,-0.73,1.05,0.0,0.0,0.0
MOD should ~ TO INF,-0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES,-0.73,0.0,1.34,0.0,0.0
MOD should ~ MOD would,-0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES,-0.73,1.05,0.0,0.0,0.0
??VB ~ PAST,-0.0,0.0,0.0,0.0,0.0
