,prose,prophetic,poetry,list,instruction
PAST,3.43,0.36,0.17,1.3,0.76
PAST ~ PRES PART,1.5,0.75,0.68,0.81,0.43
PAST ~ PAST PERF,1.49,0.72,0.23,1.52,0.68
PRES PERF,0.31,2.78,4.24,0.21,1.71
PRES,0.03,6.16,23.97,0.0,0.25
?PAST ~ PAST,0.67,0.61,1.25,0.61,5.89
PAST ~ PRES PERF,0.2,5.89,3.8,0.0,0.74
?PAST,1.21,0.87,0.63,0.75,1.25
PAST ~ PRES,0.12,4.37,7.39,0.49,4.12
PAST ~ TO INF,2.07,0.78,0.0,0.0,1.19
PAST PERF,0.73,0.39,0.38,8.59,0.0
PRES ~ PRES PERF,0.06,5.39,15.15,0.94,0.0
PAST ~ PAST PROG,1.81,0.82,0.0,1.45,0.0
PRES PART,1.24,1.87,0.0,0.0,0.0
FUT ~ PRES,0.0,15.55,10.48,0.0,2.94
?PRES,0.0,8.86,24.55,0.0,0.0
?PRES ~ PRES,0.0,6.45,24.55,3.14,0.0
MOD would,0.39,2.29,4.64,0.0,0.0
MOD could ~ PAST,2.26,1.03,0.0,0.0,0.0
TO INF,0.45,2.94,2.6,0.0,0.0
?VB ~ PAST,0.28,1.29,5.96,0.0,5.14
?PRES ~ PAST,0.3,4.12,3.47,0.0,0.0
FUT ~ PAST,0.0,10.31,20.91,0.0,0.0
?PAST ~ PRES PART,1.13,2.06,0.0,0.0,0.0
PAST PROG,inf,0.0,0.0,0.0,0.0
?VB,0.06,0.0,5.21,25.23,10.29
PRES PART ~ PRES PERF,0.15,6.87,0.0,0.0,10.29
FUT ~ PRES PERF,0.0,15.47,13.91,0.0,0.0
PAST PERF ~ PRES PERF,0.68,0.0,6.95,0.0,0.0
MOD would ~ PAST,0.68,0.0,6.95,0.0,0.0
?PAST did not ~ PAST,0.68,3.43,0.0,0.0,0.0
PRES ~ PRES PART,0.0,3.43,62.73,0.0,0.0
PRES ~ PRES PROG,inf,0.0,0.0,0.0,0.0
?TO INF ~ PAST,inf,0.0,0.0,0.0,0.0
MOD let ~ PAST,0.45,0.0,10.42,0.0,0.0
?PAST ~ PRES,0.45,5.15,0.0,0.0,0.0
?PAST ~ ?VB,0.0,0.0,10.42,0.0,82.61
PRES ~ TO INF,0.0,5.15,41.75,0.0,0.0
IMPV ~ PAST,0.45,5.15,0.0,0.0,0.0
MOD let,inf,0.0,0.0,0.0,0.0
FUT ~ MOD shall,0.0,20.61,10.42,0.0,0.0
PAST PERF ~ PRES PART,inf,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,0.11,5.15,10.42,0.0,0.0
??PAST,0.23,10.3,0.0,0.0,0.0
?PRES PERF ~ PRES,inf,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,0.23,10.3,0.0,0.0,0.0
?PAST ~ IMPV,inf,0.0,0.0,0.0,0.0
?VB ~ PRES,0.23,10.3,0.0,0.0,0.0
?VB ~ PRES PERF,inf,0.0,0.0,0.0,0.0
FUT,0.0,10.3,20.84,0.0,0.0
?PRES ~ ?PRES PERF,0.0,10.3,20.84,0.0,0.0
?PRES ~ PRES PERF,0.0,inf,0.0,0.0,0.0
?FUT ~ PAST,0.0,inf,0.0,0.0,0.0
?PRES PERF,0.23,0.0,20.84,0.0,0.0
MOD can ~ PRES,0.0,10.3,20.84,0.0,0.0
??VB ~ ?PAST question,inf,0.0,0.0,0.0,0.0
MOD may ~ PAST,0.23,0.0,20.84,0.0,0.0
?PRES ~ PRES PART,0.0,10.3,20.84,0.0,0.0
?PAST wh-question,inf,0.0,0.0,0.0,0.0
?PAST wh-question ~ ?PRES,inf,0.0,0.0,0.0,0.0
?PAST question,0.0,inf,0.0,0.0,0.0
?PAST do-support ~ PAST,0.0,inf,0.0,0.0,0.0
?PAST wh-question ~ MOD let,inf,0.0,0.0,0.0,0.0
?PAST did not ~ TO INF,0.0,0.0,inf,0.0,0.0
?PAST wh-question ~ PAST,inf,0.0,0.0,0.0,0.0
?PAST wh-question ~ TO INF,0.0,inf,0.0,0.0,0.0
?PAST ~ ?TO INF,inf,0.0,0.0,0.0,0.0
?MOD would ~ PAST,inf,0.0,0.0,0.0,0.0
?PAST did not ~ ?PAST question,inf,0.0,0.0,0.0,0.0
?PAST PERF ~ PAST PERF,inf,0.0,0.0,0.0,0.0
?MOD would,inf,0.0,0.0,0.0,0.0
?MOD let ~ PAST,inf,0.0,0.0,0.0,0.0
?FUT ~ PRES PART,0.0,inf,0.0,0.0,0.0
?FUT ~ PRES,0.0,0.0,inf,0.0,0.0
?FUT ~ ?PRES,0.0,0.0,inf,0.0,0.0
??VB ~ PRES PERF,0.0,0.0,inf,0.0,0.0
??VB ~ PRES,inf,0.0,0.0,0.0,0.0
??VB ~ PAST,0.0,inf,0.0,0.0,0.0
??PRES ~ PAST,inf,0.0,0.0,0.0,0.0
??PAST ~ PAST,inf,0.0,0.0,0.0,0.0
??PAST ~ ?TO INF,inf,0.0,0.0,0.0,0.0
??PAST ~ ?PAST,inf,0.0,0.0,0.0,0.0
PRES PERF PROG,inf,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,inf,0.0,0.0,0.0,0.0
PRES PART ~ TO INF,inf,0.0,0.0,0.0,0.0
?PAST ~ PAST PERF,inf,0.0,0.0,0.0,0.0
MOD may,0.0,0.0,inf,0.0,0.0
MOD let ~ MOD may,0.0,0.0,inf,0.0,0.0
MOD is to ~ PRES PERF,0.0,inf,0.0,0.0,0.0
MOD may ~ PRES,0.0,inf,0.0,0.0,0.0
MOD could ~ MOD might,inf,0.0,0.0,0.0,0.0
IMPV ~ PRES PART,0.0,0.0,0.0,inf,0.0
IMPV ~ PRES,0.0,0.0,inf,0.0,0.0
MOD might ~ PRES PERF,0.0,inf,0.0,0.0,0.0
MOD must ~ PAST,0.0,0.0,inf,0.0,0.0
MOD must ~ PRES,0.0,inf,0.0,0.0,0.0
