,Q,D,N,?
FUT,7.96,-1.46,-21.44,0.51
FUT ~ MOD shall,6.65,-2.9,-17.99,1.35
PRES,-1.74,8.26,-6.34,0.79
IMPV ~ MOD shall,8.54,-0.89,-6.36,-3.35
IMPV,16.14,-5.44,-5.26,-4.34
MOD is to ~ MOD shall,1.29,-2.17,-4.7,2.29
PAST,-45.82,0.75,68.62,0.17
MOD shall,-2.73,5.52,-2.88,2.02
MOD must ~ MOD shall,1.39,0.0,-2.18,-0.2
FUT ~ PRES,0.06,-0.36,-0.73,1.35
MOD may,0.68,0.29,-0.76,-0.57
PAST ~ PRES,-30.48,-0.76,52.16,-0.58
MOD shall ~ PRES,1.39,-0.57,-0.58,0.0
FUT ~ MOD may,0.44,0.14,-0.58,0.0
PRES PERF,1.35,-0.2,-0.2,-0.2
MOD shall ~ TO INF,0.97,-0.2,-0.2,0.0
PRES ~ PRES PART,-1.32,-0.2,1.87,0.72
PRES ~ PRES PERF,0.29,0.21,0.0,0.0
MOD would,-11.37,5.83,7.1,0.0
TO INF,-0.0,0.65,0.0,0.0
FUT ~ MOD lest,0.3,0.23,0.0,0.0
MOD would ~ PAST,-13.2,4.86,9.93,0.0
MOD may ~ TO INF,0.14,0.25,0.0,0.0
MOD may ~ PRES,0.15,0.27,0.0,0.0
MOD let,0.15,0.27,0.0,0.0
FUT ~ IMPV,0.6,0.0,0.0,0.0
PRES ~ TO INF,0.6,0.0,0.0,0.0
MOD may ~ MOD shall,-0.0,0.32,0.0,0.0
PAST ~ PRES PART,-8.44,0.34,12.14,0.0
FUT ~ TO INF,0.4,0.0,0.0,0.0
MOD shall ~ PRES PART,-0.0,0.0,0.0,0.42
IMPV ~ PRES,-0.0,0.38,0.0,0.0
IMPV ~ MOD let,0.41,0.0,0.0,0.0
PRES PART,-2.83,1.91,1.94,0.0
IMPV ~ TO INF,0.2,0.0,0.0,0.0
PAST ~ PRES PERF,0.2,0.0,0.0,0.0
FUT ~ MOD let,0.21,0.0,0.0,0.0
FUT ~ PRES PART,0.21,0.0,0.0,0.0
MOD can ~ MOD may,0.21,0.0,0.0,0.0
FUT ~ MOD would,0.21,0.0,0.0,0.0
MOD can ~ MOD shall,-0.0,0.52,0.0,0.0
MOD shall ~ PAST,0.0,0.55,0.0,0.0
MOD let ~ MOD shall,0.21,0.0,0.0,0.0
MOD is to ~ PRES,-0.24,0.6,0.0,0.0
MOD is to ~ MOD let,-0.0,0.0,0.0,0.0
MOD let ~ MOD may,-0.73,0.0,1.53,0.0
FUT ~ PAST,-0.24,0.6,0.0,0.0
MOD is to ~ PAST,-0.82,0.0,0.0,1.78
MOD lest ~ MOD may,-0.0,0.0,0.0,0.0
PAST ~ TO INF,-2.56,0.0,2.88,0.72
MOD lest ~ TO INF,-0.0,0.0,0.0,0.0
PAST ~ PAST PROG,-3.75,0.65,4.33,0.0
MOD shall ~ PRES PERF,-0.33,0.71,0.0,0.0
FUT ~ PRES PERF,-0.0,0.0,0.0,0.0
IMPV ~ MOD lest,-0.0,0.0,0.0,0.0
MOD shall ~ MOD would,-0.0,0.0,0.0,0.0
MOD may ~ MOD must,-0.0,0.0,0.0,0.0
MOD can,-0.0,0.0,0.0,0.0
MOD would ~ PRES,-0.0,0.0,0.0,0.0
IMPV ~ PAST,-0.0,0.0,0.0,0.0
MOD should ~ PRES,-0.0,0.0,0.0,0.0
HAB used to ~ PAST,-4.0,0.87,3.79,0.0
IMPV ~ MOD may,-0.46,0.0,0.0,0.94
IMPV ~ MOD must,-0.0,0.0,0.0,0.0
PAST PERF,-2.43,0.0,3.79,0.0
MOD shall ~ MOD should,-0.0,0.0,0.0,0.0
FUT ~ MOD can,-0.46,0.0,0.0,0.94
MOD let ~ TO INF,-0.0,0.0,0.0,0.0
FUT ~ FUT PERF,-0.0,0.0,0.0,0.0
MOD should,-0.46,0.0,0.88,0.0
MOD could ~ MOD may,-0.0,0.0,0.0,0.0
PAST ~ PAST PERF,-3.0,0.0,4.38,0.0
MOD can ~ PRES,-0.0,0.0,0.0,0.0
MOD should ~ TO INF,-0.0,0.0,0.0,0.0
IMPV ~ MOD would,-1.55,0.0,2.45,0.0
MOD VB ~ PRES,-0.0,0.0,0.0,0.0
MOD is to ~ TO INF,-0.57,0.99,0.0,0.0
HAB used to ~ MOD would,-3.0,0.99,2.45,0.0
HAB used to,-1.55,0.99,1.0,0.0
