genre,prophetic,prose,poetry,instruction,poetry,prose,instruction,prophetic,prophetic,poetry,instruction,list,prose,list,prose,list,list,prophetic,instruction
domain2,Q,Q,Q,Q,?,D,D,D,?,D,?,Q,N,D,?,?,N,N,N
eng_TAMsimp,,,,,,,,,,,,,,,,,,,
PRES,596,408,1033,295,158,10,40,22,32,65,14,1,1,0,0,1,0,0,0
FUT,867,690,598,55,48,2,6,37,32,15,0,1,0,0,0,0,0,1,0
FUT ~ MOD shall,893,461,183,116,2,1,7,34,33,0,6,10,0,0,0,0,0,1,0
IMPV,160,236,183,19,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD shall,27,126,0,305,0,0,42,0,1,0,0,6,0,0,0,0,0,0,0
PAST,67,19,192,1,5,99,3,17,2,17,1,0,9,8,4,2,1,0,0
FUT ~ PRES,121,82,164,19,28,0,0,8,3,4,0,0,0,0,0,0,0,0,0
MOD let,92,124,119,10,17,0,0,3,1,1,0,0,0,0,0,0,0,0,0
MOD must ~ MOD shall,23,59,1,219,0,0,25,1,0,0,9,1,0,0,0,0,0,0,0
MOD may,35,146,65,68,0,0,9,0,0,0,3,0,0,0,0,0,0,0,0
MOD is to ~ MOD shall,29,55,0,187,0,0,9,0,0,0,7,7,0,0,0,0,0,0,0
MOD can,68,65,111,7,12,0,0,1,3,1,2,0,0,0,0,0,0,0,0
MOD shall,21,99,11,80,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0
MOD shall ~ PRES,35,35,22,46,0,0,5,0,0,0,4,2,0,1,0,0,0,0,0
FUT ~ MOD may,29,50,34,17,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0
MOD would,25,25,52,0,0,10,0,1,0,0,0,1,6,0,0,0,0,0,0
IMPV ~ MOD let,21,58,27,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES,33,8,51,1,3,4,2,2,2,2,0,1,1,1,0,0,0,0,0
MOD let ~ MOD may,5,25,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PART,25,17,35,10,4,0,1,1,1,2,0,0,0,0,0,0,0,0,0
PRES ~ PRES PERF,18,21,31,14,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
MOD should,13,47,16,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1
FUT ~ MOD lest,10,33,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ PRES,16,19,31,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO INF,19,29,16,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
FUT ~ MOD can,21,18,20,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES,10,22,16,7,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0
PRES PERF,12,16,24,6,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
MOD may ~ MOD shall,5,16,13,20,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
IMPV ~ PRES,16,11,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD may,5,32,6,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PRES PART,17,11,16,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
PRES ~ TO INF,6,7,12,17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES,9,19,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD shall,12,17,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD would,10,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must,11,15,5,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD shall ~ TO INF,10,22,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could,4,7,8,5,0,10,0,2,0,2,0,0,0,0,0,0,0,0,0
PAST ~ PRES PERF,7,2,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ TO INF,3,26,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD should,13,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD may,1,19,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ TO INF,6,14,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST,2,0,3,2,0,16,0,5,0,0,0,0,0,0,0,1,0,0,0
MOD would ~ PRES,1,5,15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
FUT ~ IMPV,7,7,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES,6,4,9,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PAST ~ PRES PART,2,1,7,1,0,4,0,4,1,0,0,0,0,1,0,0,0,0,0
FUT ~ MOD let,5,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PART,8,2,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MOD should ~ TO INF,3,7,5,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
MOD must ~ PRES,2,5,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PART,7,5,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
MOD let ~ TO INF,1,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD may,1,3,4,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PROG,2,7,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD shall,6,3,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PAST,7,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD must,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ PRES,1,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PAST,7,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ MOD would,1,3,7,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
PAST ~ TO INF,2,1,3,1,0,3,0,1,0,0,0,1,0,0,0,0,1,0,0
FUT ~ MOD should,4,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST,2,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD must,0,5,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD can,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to,1,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF,0,1,4,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0
MOD let ~ MOD must,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to ~ PAST,2,1,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
MOD is to ~ MOD let,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD should,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ PAST,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD should,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD could,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PAST,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD would,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD should,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD must,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ MOD was to,0,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
PAST PERF,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PART,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might ~ MOD would,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ TO INF,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT going-to,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART ~ TO INF,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD might,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ PAST,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FUT ~ PRES PERF,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ TO INF,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD may,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES PART,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD might,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD shall,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD would,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?VB ~ MOD let,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PROG,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0
MOD can ~ PRES PART,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD may,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD must,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might ~ TO INF,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD let,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ TO INF,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ TO INF,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MOD let ~ PRES PART,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might ~ PAST,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
MOD might ~ MOD should,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PAST,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ PRES,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PROG,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD lest,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
PAST PERF ~ PRES,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ PAST,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD is to,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?VB ~ PAST,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD should,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?VB,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PERF,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD might,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD must,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT PROG ~ PRES,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD would,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD that be,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD need not ~ MOD shall,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES PERF,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PAST,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD might,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES PERF,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD would,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD is to,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PART,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?VB ~ MOD must,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?VB ~ MOD shall,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
??VB ~ MOD let,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD should,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD must,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PERF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD that be,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD that be,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD should,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD shall,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ TO INF,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD need not ~ PRES,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ TO INF,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PROG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES do,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT PERF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD quest must,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD quest must ~ MOD shall,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES shall,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PART,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?VB ~ IMPV,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?VB ~ MOD lest,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD that be ~ TO INF,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to ~ PRES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST PERF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD ~ PRES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST PROG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT PERF ~ PRES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES can,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ PRES PROG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ TO INF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD is to,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES PART,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FUT PROG ~ MOD shall,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PROG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD lest,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD lest,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
