,prose,poetry,prophetic,instruction,poetry,prose,instruction,prophetic,prophetic,poetry,instruction,list,prose,list,prose,list,prophetic,list,instruction
,Q,Q,Q,Q,?,D,D,D,?,D,?,Q,N,D,?,?,N,N,N
PRES,0.42,2.02,0.78,0.92,4.87,0.22,1.21,0.7,1.56,5.62,1.59,0.14,0.16,0.0,0.0,1.08,0.0,0.0,0.0
FUT,1.13,1.04,1.77,0.14,0.87,0.05,0.16,1.45,1.7,0.75,0.0,0.16,0.0,0.0,0.0,0.0,2.35,0.0,0.0
FUT ~ MOD shall,0.96,0.29,3.6,0.5,0.05,0.03,0.28,2.14,2.7,0.0,0.93,3.4,0.0,0.0,0.0,0.0,3.56,0.0,0.0
IMPV,1.81,1.37,0.9,0.21,0.0,0.2,0.0,0.13,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,1.99,1.14,0.78,0.2,1.58,0.0,0.0,0.65,0.21,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD shall,0.89,0.0,0.15,13.82,0.0,0.0,8.71,0.0,0.22,0.0,0.0,6.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST,0.11,2.18,0.49,0.02,0.51,36.13,0.51,3.84,0.51,5.44,0.6,0.0,14.83,62.55,62.0,20.57,0.0,30.8,0.0
FUT ~ PRES,0.63,1.81,1.09,0.33,3.32,0.0,0.0,1.7,0.8,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,2.31,0.77,0.4,1.57,0.0,0.0,1.81,0.0,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD shall,0.57,0.01,0.2,15.94,0.0,0.0,6.93,0.26,0.0,0.0,8.8,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD shall,0.61,0.0,0.31,14.89,0.0,0.0,2.51,0.0,0.0,0.0,7.56,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,0.86,1.93,0.96,0.2,2.18,0.0,0.0,0.33,1.32,0.45,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall,2.21,0.14,0.31,4.47,0.0,0.0,2.2,0.0,0.0,0.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD may,1.95,0.93,0.71,0.87,0.0,0.0,0.95,0.55,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES,0.79,0.51,0.88,3.32,0.0,0.0,2.66,0.0,0.0,0.0,7.91,6.47,0.0,8.48,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,3.23,0.95,0.53,0.28,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,0.66,2.57,0.64,0.0,0.0,5.63,0.0,1.34,0.0,0.0,0.0,3.47,29.53,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD may,1.05,5.58,0.11,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.23,0.0,0.0
PAST ~ PRES,0.2,2.49,1.17,0.07,1.25,2.53,1.39,1.62,2.12,2.21,0.0,4.19,4.65,11.44,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,0.57,1.55,1.05,0.87,1.99,0.0,0.8,0.94,1.23,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PERF,0.84,1.49,0.73,1.44,0.0,0.0,2.76,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should,3.44,0.69,0.52,0.0,0.0,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.35,0.0,0.0,0.0,inf
TO INF,2.04,0.69,1.04,0.4,0.0,0.88,0.0,0.0,0.0,1.58,0.0,0.0,14.22,0.0,0.0,0.0,0.0,0.0,0.0
