eng_TAMsimp,TOTAL,SBH,LBH
PRES,508,421,87
PAST,436,275,161
PRES PART,146,105,41
PRES PROG,117,102,15
PAST PROG,97,81,16
PAST ~ PAST PROG,84,62,22
PRES ~ PRES PROG,75,66,9
PAST ~ PRES PART,67,45,22
PRES ~ PRES PART,62,51,11
PAST PERF,40,23,17
FUT,38,36,2
FUT ~ MOD shall,32,26,6
PAST PROG ~ PRES PART,31,26,5
PAST ~ PRES,29,25,4
PRES PART ~ PRES PROG,24,20,4
PRES PERF,24,20,4
PAST ~ PAST PERF,24,13,11
FUT ~ PRES,22,19,3
FUT ~ FUT going-to,18,15,3
PAST ~ PRES PERF,16,13,3
PRES ~ PRES PERF,16,12,4
PAST ~ TO INF,15,12,3
TO INF,15,9,6
MOD could ~ PAST,11,6,5
FUT going-to ~ PRES,8,7,1
FUT ~ PRES PROG,8,8,0
MOD may ~ PRES,6,4,2
MOD can ~ PRES,6,5,1
MOD could,6,3,3
FUT going-to ~ PRES PROG,5,5,0
PAST ~ PAST PERF PROG,4,2,2
PRES PART ~ TO INF,4,2,2
MOD would ~ PRES,4,3,1
MOD would ~ PAST,4,0,4
MOD should,4,3,1
IMPV ~ PRES,4,2,2
MOD is to ~ MOD shall,4,3,1
MOD is to ~ PRES,4,4,0
FUT ~ MOD is to,3,2,1
IMPV ~ MOD may,3,3,0
IMPV,3,2,1
PAST PERF ~ PAST PROG,3,1,2
FUT ~ TO INF,3,2,1
MOD would,3,2,1
MOD was to ~ PAST,3,2,1
PRES PERF PROG ~ PRES PROG,3,2,1
MOD should ~ TO INF,3,0,3
PRES ~ TO INF,3,2,1
MOD was to ~ TO INF,2,0,2
MOD was to ~ PAST PROG,2,2,0
FUT PROG ~ PRES PART,2,2,0
MOD can ~ PRES PART,2,2,0
PAST PERF ~ PRES PART,2,2,0
MOD let ~ PRES,2,2,0
MOD is to ~ TO INF,2,2,0
PAST PERF PROG ~ PAST PROG,2,2,0
MOD may,2,2,0
PRES PART ~ PRES PERF,2,2,0
MOD must ~ PRES,2,2,0
PAST PERF ~ PAST PERF PROG,2,2,0
FUT ~ MOD must,2,2,0
PRES PERF PROG,2,1,1
FUT ~ PRES PART,2,2,0
MOD shall ~ PRES,2,1,1
PRES PERF ~ PRES PROG,2,2,0
MOD must ~ MOD shall,2,1,1
IMPV ~ PAST,1,0,1
PRES PERF ~ TO INF,1,1,0
PRES PERF ~ PRES PERF PROG,1,1,0
FUT going-to ~ PRES PART,1,1,0
PRES PART ~ PRES PERF PROG,1,1,0
HAB used to ~ PAST PERF,1,0,1
HAB used to ~ PAST,1,1,0
IMPV ~ PRES PROG,1,1,0
FUT going-to ~ MOD shall,1,1,0
FUT ~ PAST,1,1,0
PRES ~ PRES PERF PROG,1,1,0
FUT ~ FUT PROG,1,0,1
MOD is to ~ PRES PART,1,1,0
MOD can,1,1,0
PAST PROG ~ TO INF,1,1,0
MOD let,1,1,0
MOD let ~ TO INF,1,1,0
MOD may ~ PAST,1,1,0
MOD might,1,0,1
MOD must,1,1,0
MOD must ~ PRES PROG,1,1,0
MOD shall,1,1,0
MOD shall ~ PAST,1,1,0
MOD shall ~ TO INF,1,1,0
FUT PROG ~ MOD is to,1,1,0
MOD should ~ MOD was to,1,0,1
MOD should ~ MOD would,1,0,1
MOD should ~ PAST,1,1,0
MOD that VB ~ PRES PART,1,0,1
MOD was to,1,0,1
MOD was to ~ PRES PART,1,0,1
MOD is to ~ MOD would,1,0,1
MOD would ~ PRES PROG,1,1,0
MOD is to,1,1,0
MOD could ~ PRES PART,1,1,0
PAST PERF ~ PRES,1,1,0
PAST PROG ~ PRES,1,1,0
MOD can ~ MOD shall,1,1,0
TO INF ~ VB,1,0,1
