bhsa_node,ref,sentence,text_full,lxx,lxx_tm,esv,esv_TAM,esv_verse,niv,niv_TAM,niv_verse
1396,Genesis 3:12,הָֽאִשָּׁה֙ אֲשֶׁ֣ר נָתַ֣תָּה עִמָּדִ֔י הִ֛וא נָֽתְנָה־לִּ֥י מִן־הָעֵ֖ץ וָאֹכֵֽל׃ ,נָתַ֣תָּה,ἔδωκας,aorist indc,you gave,PAST..IND,"The man said , “ The woman whom you gave to be with me , she gave me fruit of the tree , and I ate . ”",put,PRES..IND,"The man said , “ The woman you put here with me — she gave me some fruit from the tree , and I ate it . ”"
1760,Genesis 4:6,לָ֚מָּה חָ֣רָה לָ֔ךְ ,חָ֣רָה,ἐγένου,aorist indc,are angry,PRES..IND,"The Lord said to Cain , “ Why are you angry , and why has your face fallen ?",are angry,PRES..IND,"Then the LORD said to Cain , “ Why are you angry ? Why is your face downcast ?"
1764,Genesis 4:6,וְלָ֖מָּה נָפְל֥וּ פָנֶֽיךָ׃ ,נָפְל֥וּ,συνέπεσεν,aorist indc,has fallen,,"The Lord said to Cain , “ Why are you angry , and why has your face fallen ?",is downcast,PRES..IND,"Then the LORD said to Cain , “ Why are you angry ? Why is your face downcast ?"
2758,Genesis 6:7,כִּ֥י נִחַ֖מְתִּי ,נִחַ֖מְתִּי,ἐθυμώθην,aorist indc,I am sorry,PRES..IND,"So the Lord said , “ I will blot out man whom I have created from the face of the land , man and animals and creeping things and birds of the heavens , for I am sorry that I have made them . ”",I am grieved,PRES..IND,"So the LORD said , “ I will wipe mankind , whom I have created , from the face of the earth — men and animals , and creatures that move along the ground , and birds of the air — for I am grieved that I have made them . ”"
2838,Genesis 6:13,כִּֽי־מָלְאָ֥ה הָאָ֛רֶץ חָמָ֖ס מִפְּנֵיהֶ֑ם ,מָלְאָ֥ה,ἐπλήσθη,aorist indc,is filled,PRES..IND,"And God said to Noah , “ I have determined to make an end of all flesh , for the earth is filled with violence through them . Behold , I will destroy them with the earth .",is filled with,PRES..IND,"So God said to Noah , “ I am going to put an end to all people , for the earth is filled with violence because of them . I am surely going to destroy both them and the earth ."
4148,Genesis 9:6,כִּ֚י בְּצֶ֣לֶם אֱלֹהִ֔ים עָשָׂ֖ה אֶת־הָאָדָֽם׃ ,עָשָׂ֖ה,ἐποίησα,aorist indc,made,PAST..IND,"“ Whoever sheds the blood of man , by man shall his blood be shed , for God made man in his own image .",has God made,PRES..IND,"“ Whoever sheds the blood of man , by man shall his blood be shed ; for in the image of God has God made man ."
4589,Genesis 10:5,מֵ֠אֵלֶּה נִפְרְד֞וּ אִיֵּ֤י הַגֹּויִם֙ בְּאַרְצֹתָ֔ם אִ֖ישׁ לִלְשֹׁנֹ֑ו לְמִשְׁפְּחֹתָ֖ם בְּגֹויֵהֶֽם׃ ,נִפְרְד֞וּ,ἀφωρίσθησαν,aorist indc,spread,PRES..IND,"From these the coastland peoples spread in their lands , each with his own language , by their clans , in their nations .",spread out,,"( From these the maritime peoples spread out into their territories by their clans within their nations , each with its own language . )"
8895,Genesis 19:21,הִנֵּה֙ נָשָׂ֣אתִי פָנֶ֔יךָ גַּ֖ם לַדָּבָ֣ר הַזֶּ֑ה לְבִלְתִּ֛י הָפְכִּ֥י אֶת־הָעִ֖יר אֲשֶׁ֥ר דִּבַּֽרְתָּ׃ ,נָשָׂ֣אתִי,ἐθαύμασά,aorist indc,I grant,PRES..IND,"He said to him , “ Behold , I grant you this favor also , that I will not overthrow the city of which you have spoken .",I will grant,FUT..IND,"He said to him , “ Very well , I will grant this request too ; I will not overthrow the town you speak of ."
8910,Genesis 19:21,הִנֵּה֙ נָשָׂ֣אתִי פָנֶ֔יךָ גַּ֖ם לַדָּבָ֣ר הַזֶּ֑ה לְבִלְתִּ֛י הָפְכִּ֥י אֶת־הָעִ֖יר אֲשֶׁ֥ר דִּבַּֽרְתָּ׃ ,דִּבַּֽרְתָּ,ἐλάλησας,aorist indc,you have spoken,PRES.PERF.IND,"He said to him , “ Behold , I grant you this favor also , that I will not overthrow the city of which you have spoken .",you speak,PRES..IND,"He said to him , “ Very well , I will grant this request too ; I will not overthrow the town you speak of ."
9350,Genesis 20:6,גַּ֣ם אָנֹכִ֤י יָדַ֨עְתִּי֙ כִּ֤י בְתָם־לְבָבְךָ֙ עָשִׂ֣יתָ זֹּ֔את ,יָדַ֨עְתִּי֙,ἔγνων,aorist indc,know,PRES..IND,"Then God said to him in the dream , “ Yes , I know that you have done this in the integrity of your heart , and it was I who kept you from sinning against me . Therefore I did not let you touch her .",know,PRES..IND,"Then God said to him in the dream , “ Yes , I know you did this with a clear conscience , and so I have kept you from sinning against me . That is why I did not let you touch her ."
