,0.0,1.0
PRES,0.6,1.68
PAST,1.62,0.62
PRES PART,1.42,0.71
PRES PROG,1.29,0.78
PRES ~ PRES PART,1.21,0.83
FUT,0.4,2.5
PRES ~ PRES PROG,0.73,1.37
PAST PROG,1.88,0.53
PAST ~ PAST PROG,4.08,0.24
PAST ~ PRES PART,1.53,0.65
PAST ~ PRES,0.58,1.74
FUT ~ PRES,0.52,1.93
PRES ~ PRES PERF,1.37,0.73
FUT ~ MOD shall,2.84,0.35
PRES PERF,2.01,0.5
PAST PERF,1.21,0.82
TO INF,1.09,0.92
PAST PROG ~ PRES PART,3.12,0.32
FUT ~ FUT going-to,0.13,7.5
PAST ~ PRES PERF,0.89,1.12
FUT ~ PRES PROG,0.78,1.29
PRES PART ~ PRES PROG,0.97,1.03
PAST ~ PAST PERF,4.34,0.23
PAST ~ TO INF,1.69,0.59
FUT ~ TO INF,1.69,0.59
MOD may ~ PRES,6.21,0.16
FUT going-to ~ PRES,0.47,2.14
FUT going-to ~ PRES PROG,0.21,4.76
MOD could ~ PAST,0.98,1.02
FUT ~ PRES PART,0.7,1.42
PRES ~ TO INF,inf,0.0
MOD is to ~ PRES,0.94,1.07
PRES PART ~ TO INF,0.34,2.97
IMPV ~ PRES,0.42,2.37
MOD can ~ PRES,inf,0.0
PRES PERF ~ PRES PROG,2.82,0.36
MOD could,1.12,0.89
MOD should,0.84,1.19
IMPV,2.25,0.44
MOD shall ~ PRES,0.84,1.19
MOD can,2.25,0.44
MOD would,1.69,0.59
MOD would ~ PAST,inf,0.0
PAST ~ PAST PERF PROG,inf,0.0
IMPV ~ MOD may,inf,0.0
PAST ~ PRES PROG,1.69,0.59
PAST PROG ~ PRES,inf,0.0
FUT going-to ~ MOD shall,1.69,0.59
MOD is to ~ MOD shall,1.69,0.59
PAST PERF ~ PAST PROG,1.69,0.59
MOD would ~ PRES,0.56,1.78
FUT ~ MOD must,0.19,5.34
MOD shall ~ TO INF,1.12,0.89
FUT ~ MOD is to,1.12,0.89
MOD let ~ PRES,0.28,3.56
MOD was to ~ PAST,1.12,0.89
PRES PART ~ PRES PERF,1.12,0.89
MOD is to ~ PRES PART,inf,0.0
PRES PERF PROG ~ PRES PROG,1.12,0.89
MOD is to,1.12,0.89
MOD may,inf,0.0
MOD can ~ MOD shall,inf,0.0
MOD can ~ TO INF,inf,0.0
PAST PERF ~ PAST PERF PROG,inf,0.0
PRES ~ PRES PROG keep,0.56,1.78
FUT PROG ~ PRES PART,0.56,1.78
PRES ~ PRES PERF PROG,0.0,inf
PAST PERF ~ PRES PART,inf,0.0
PAST PERF ~ PRES,inf,0.0
FUT ~ MOD may,inf,0.0
PRES PERF PROG,inf,0.0
MOD was to ~ TO INF,inf,0.0
FUT ~ PAST PROG,0.56,1.78
MOD should ~ TO INF,0.56,1.78
MOD must ~ MOD shall,0.0,inf
MOD can ~ PRES PART,inf,0.0
MOD was to ~ PAST PROG,inf,0.0
MOD must ~ PRES,inf,0.0
MOD may ~ TO INF,0.56,1.78
MOD may ~ PAST,0.56,1.78
MOD let,0.56,1.78
MOD is to ~ TO INF,inf,0.0
MOD should ~ MOD would,0.56,1.78
PRES PROG ~ PRES PROG keep,inf,0.0
PRES PROG ~ TO INF,inf,0.0
MOD could ~ PRES PART,0.0,inf
MOD might,0.0,inf
MOD is to ~ MOD would,inf,0.0
MOD can ~ MOD may,inf,0.0
FUT going-to ~ PRES PART,inf,0.0
FUT PROG ~ PRES PROG,inf,0.0
IMPV ~ PRES PROG,0.0,inf
PRES PART ~ PRES PERF PROG,inf,0.0
MOD may ~ PRES PART,inf,0.0
IMPV ~ PAST,0.0,inf
FUT ~ FUT PROG,inf,0.0
HAB used to ~ PAST,inf,0.0
FUT ~ VB,0.0,inf
PAST ~ VB,inf,0.0
MOD was to ~ PRES PART,0.0,inf
MOD must,inf,0.0
MOD should ~ PRES,inf,0.0
MOD was to,inf,0.0
MOD that VB ~ PRES PART,inf,0.0
FUT ~ PAST,inf,0.0
MOD would ~ PRES PERF,inf,0.0
MOD would ~ PRES PROG,0.0,inf
FUT ~ MOD would,inf,0.0
MOD should ~ PRES PERF,inf,0.0
PAST PERF PROG ~ PAST PROG,inf,0.0
MOD should ~ PAST,inf,0.0
FUT ~ MOD can,inf,0.0
MOD should ~ MOD was to,inf,0.0
MOD shall ~ PRES PERF,inf,0.0
FUT PROG ~ MOD is to,inf,0.0
MOD shall ~ PAST,inf,0.0
PAST PROG ~ TO INF,inf,0.0
MOD shall,inf,0.0
MOD need not ~ TO INF,inf,0.0
MOD must ~ PRES PROG,0.0,inf
MOD shall ~ PRES PART,0.0,inf
