,0,1
PRES,1.09,0.91
FUT,0.67,1.49
FUT ~ MOD shall,2.16,0.46
IMPV ~ MOD shall,0.32,3.14
PAST,0.76,1.31
FUT ~ PRES,1.06,0.94
MOD must ~ MOD shall,0.91,1.1
MOD is to ~ MOD shall,1.02,0.98
MOD can,0.91,1.1
MOD shall,1.71,0.59
MOD may,1.26,0.79
IMPV,0.54,1.85
MOD shall ~ PRES,1.72,0.58
MOD would,0.76,1.32
PAST ~ PRES,0.74,1.35
FUT ~ MOD may,1.22,0.82
PRES ~ PRES PART,0.81,1.24
PRES ~ PRES PERF,0.94,1.07
MOD should,1.44,0.7
MOD can ~ PRES,1.66,0.6
FUT ~ MOD lest,2.57,0.39
FUT ~ MOD can,0.7,1.43
PRES PERF,0.82,1.22
MOD may ~ MOD shall,2.56,0.39
PRES PART,1.87,0.54
IMPV ~ PRES,0.55,1.82
TO INF,0.55,1.82
MOD may ~ PRES,1.54,0.65
MOD can ~ MOD shall,0.74,1.34
MOD should ~ PRES,1.18,0.84
PRES ~ TO INF,0.58,1.72
FUT ~ MOD would,0.91,1.1
MOD could,3.99,0.25
MOD shall ~ TO INF,0.98,1.02
MOD must,0.74,1.34
MOD let,0.34,2.94
MOD can ~ MOD may,1.06,0.94
PAST ~ PRES PERF,0.32,3.1
MOD shall ~ MOD should,0.9,1.11
MOD would ~ PAST,2.35,0.43
FUT ~ TO INF,0.26,3.85
MOD would ~ PRES,0.68,1.47
FUT ~ IMPV,0.68,1.48
PAST ~ PRES PART,1.21,0.83
MOD shall ~ PRES PART,4.23,0.24
MOD should ~ TO INF,2.61,0.38
MOD must ~ PRES,3.73,0.27
PRES ~ PRES PROG,1.24,0.81
MOD lest ~ MOD may,0.96,1.04
MOD let ~ PRES,2.05,0.49
FUT ~ PRES PART,1.49,0.67
FUT ~ PAST,0.27,3.7
MOD shall ~ PAST,0.74,1.34
FUT ~ MOD let,0.12,8.07
MOD lest ~ PRES,0.41,2.42
MOD should ~ MOD would,0.56,1.79
IMPV ~ MOD may,0.64,1.57
MOD let ~ MOD shall,2.49,0.4
FUT ~ MOD should,0.74,1.34
HAB used to ~ PAST,1.49,0.67
MOD may ~ TO INF,0.53,1.88
IMPV ~ MOD must,0.74,1.34
IMPV ~ MOD let,0.89,1.12
IMPV ~ MOD can,inf,0.0
MOD might,0.62,1.61
PAST ~ TO INF,3.36,0.3
MOD may ~ MOD must,6.71,0.15
PAST ~ PAST PERF,1.74,0.57
MOD is to,2.98,0.34
MOD was to ~ PAST,0.93,1.07
