eng_TAMsimp,yqtl,Ø,qtl,wqtl,impv,wayq,ptcp,infc,cohoF,jussF,infa
PRES,1.31,2.69,8.18,14.48,27.62,38.15,23.42,82.19,203.77,379.29,531.4
FUT,1.55,4.06,9.13,9.22,12.3,20.68,20.68,44.9,56.1,194.08,584.25
FUT ~ MOD shall,1.54,3.53,9.51,4.7,24.28,57.13,28.07,55.26,289.67,435.0,inf
IMPV,2.51,4.74,13.56,28.85,2.73,10.26,34.12,41.64,198.0,38.8,inf
IMPV ~ MOD shall,0.67,4.23,82.67,9.68,24.1,44.64,250.0,37.62,inf,501.0,99.4
PAST,2.24,3.48,4.29,33.15,147.0,4.48,33.15,43.4,147.0,inf,443.0
FUT ~ PRES,1.3,3.54,6.62,18.41,20.35,25.69,22.72,60.0,105.75,141.33,426.0
MOD let,1.89,4.2,21.75,90.0,3.44,12.0,44.5,120.33,18.16,44.5,inf
MOD must ~ MOD shall,1.24,1.97,41.0,9.84,55.0,41.0,47.0,29.55,inf,335.0,335.0
MOD may,1.57,5.48,45.29,8.26,4.06,39.5,53.0,53.0,45.29,23.92,161.0
MOD is to ~ MOD shall,1.54,1.89,96.33,5.79,35.5,57.4,145.0,21.46,291.0,291.0,inf
MOD can,2.02,2.36,6.47,23.45,15.81,21.42,16.93,52.8,133.5,88.67,inf
MOD shall,1.93,3.4,13.67,11.22,35.67,9.0,35.67,8.57,inf,inf,43.0
MOD shall ~ PRES,1.87,2.24,13.9,6.1,36.25,23.83,148.0,23.83,48.67,inf,inf
FUT ~ MOD may,1.68,18.14,32.5,5.09,3.62,66.0,15.75,66.0,21.33,32.5,inf
MOD would,1.45,7.0,3.8,39.0,119.0,14.0,19.0,19.0,16.14,inf,inf
IMPV ~ MOD let,2.73,6.47,8.33,111.0,2.73,9.18,27.0,36.33,111.0,27.0,111.0
PAST ~ PRES,1.71,2.17,3.83,inf,110.0,26.75,54.5,54.5,54.5,110.0,inf
MOD let ~ MOD may,1.26,7.67,13.86,inf,4.2,51.0,103.0,51.0,103.0,7.0,inf
PRES ~ PRES PART,1.23,3.8,11.0,8.6,18.2,31.0,18.2,47.0,inf,inf,inf
PRES ~ PRES PERF,2.35,3.58,4.8,6.25,42.5,11.43,42.5,28.0,inf,inf,86.0
MOD should,4.19,1.77,15.6,82.0,5.92,12.83,19.75,12.83,82.0,40.5,inf
FUT ~ MOD lest,1.12,35.0,71.0,13.4,2.43,inf,inf,inf,inf,7.0,inf
MOD can ~ PRES,1.54,4.07,4.46,22.67,16.75,70.0,16.75,inf,34.5,34.5,inf
TO INF,4.46,6.89,4.92,10.83,3.18,22.67,70.0,22.67,22.67,22.67,70.0
FUT ~ MOD can,1.37,2.56,7.0,63.0,63.0,20.33,15.0,inf,63.0,63.0,inf
MOD may ~ PRES,1.07,4.17,9.33,11.4,19.67,61.0,inf,30.0,inf,19.67,inf
PRES PERF,1.95,8.83,2.93,10.8,10.8,13.75,inf,28.5,58.0,inf,58.0
MOD may ~ MOD shall,1.59,2.35,27.5,4.7,56.0,18.0,27.5,inf,inf,inf,inf
IMPV ~ PRES,0.96,8.17,8.17,12.75,6.86,26.5,inf,inf,inf,26.5,inf
MOD can ~ MOD may,1.78,4.0,24.0,24.0,2.12,24.0,inf,inf,inf,inf,inf
PRES PART,1.58,5.13,3.45,15.33,23.5,48.0,23.5,15.33,inf,inf,inf
PRES ~ TO INF,1.81,4.62,14.0,8.0,6.5,44.0,14.0,21.5,inf,44.0,inf
MOD should ~ PRES,1.65,2.75,14.0,44.0,6.5,21.5,21.5,inf,inf,21.5,inf
MOD can ~ MOD shall,1.1,10.0,4.5,21.0,7.8,13.67,43.0,inf,inf,inf,inf
FUT ~ MOD would,1.21,4.25,5.0,inf,9.5,20.0,inf,41.0,41.0,inf,inf
MOD must,1.11,3.22,6.6,18.0,inf,11.67,inf,37.0,inf,inf,inf
MOD could,6.6,1.71,4.43,inf,37.0,5.33,6.6,inf,inf,inf,inf
MOD shall ~ TO INF,1.92,6.6,8.5,3.75,11.67,inf,inf,6.6,inf,inf,inf
PAST ~ PRES PERF,1.2,5.6,2.67,32.0,inf,10.0,inf,inf,inf,inf,inf
MOD may ~ TO INF,1.75,15.5,inf,32.0,1.75,32.0,inf,inf,5.6,inf,inf
MOD shall ~ MOD should,5.2,2.88,5.2,30.0,3.43,9.33,30.0,30.0,inf,inf,inf
IMPV ~ MOD may,3.29,5.0,29.0,9.0,3.29,14.0,inf,6.5,inf,29.0,inf
FUT ~ TO INF,1.42,13.5,6.25,8.67,13.5,13.5,inf,13.5,13.5,inf,inf
MOD would ~ PAST,4.8,1.23,28.0,3.83,inf,8.67,inf,28.0,inf,inf,inf
MOD would ~ PRES,0.92,6.67,2.29,inf,inf,inf,22.0,inf,inf,inf,inf
FUT ~ IMPV,1.56,2.29,inf,inf,3.6,10.5,inf,inf,inf,inf,inf
MOD let ~ PRES,2.67,4.5,4.5,inf,21.0,10.0,6.33,21.0,21.0,inf,inf
PAST ~ PRES PART,2.0,3.2,4.25,9.5,inf,6.0,inf,inf,inf,inf,inf
FUT ~ MOD let,1.33,6.0,6.0,20.0,9.5,9.5,inf,20.0,inf,inf,inf
MOD shall ~ PRES PART,1.22,3.0,19.0,4.0,19.0,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,3.75,1.11,18.0,inf,inf,8.5,18.0,8.5,inf,inf,inf
MOD must ~ PRES,3.5,1.25,3.5,17.0,17.0,inf,inf,inf,inf,inf,inf
FUT ~ PRES PART,1.43,3.25,16.0,4.67,inf,inf,16.0,inf,16.0,inf,inf
MOD let ~ TO INF,2.4,4.67,inf,inf,2.4,inf,inf,inf,3.25,inf,inf
PRES ~ PRES PROG,1.0,15.0,7.0,15.0,15.0,7.0,inf,inf,15.0,inf,inf
MOD lest ~ MOD may,0.6,7.0,inf,inf,15.0,inf,15.0,inf,15.0,15.0,inf
MOD let ~ MOD shall,1.5,6.5,4.0,inf,14.0,14.0,14.0,14.0,inf,inf,inf
FUT ~ PAST,4.0,6.5,4.0,2.0,inf,inf,14.0,14.0,inf,inf,inf
MOD shall ~ PAST,1.33,3.67,6.0,6.0,inf,inf,inf,inf,inf,13.0,inf
MOD lest ~ PRES,2.5,13.0,inf,3.67,1.33,inf,inf,inf,inf,inf,inf
IMPV ~ MOD must,inf,1.8,13.0,inf,3.67,3.67,inf,6.0,inf,inf,inf
MOD should ~ MOD would,1.8,6.0,3.67,inf,13.0,3.67,inf,inf,inf,inf,inf
PAST ~ TO INF,3.33,1.6,12.0,inf,inf,5.5,inf,12.0,inf,12.0,inf
FUT ~ MOD should,3.0,0.71,inf,11.0,inf,inf,inf,inf,inf,inf,11.0
HAB used to ~ PAST,2.0,3.0,inf,inf,inf,5.0,3.0,inf,inf,inf,inf
MOD might,4.5,10.0,2.67,10.0,inf,2.67,inf,10.0,inf,inf,inf
IMPV ~ MOD can,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD must,1.75,1.75,10.0,inf,10.0,inf,inf,inf,10.0,inf,inf
MOD is to,1.5,2.33,inf,9.0,4.0,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF,4.0,4.0,4.0,9.0,inf,2.33,inf,inf,inf,inf,inf
MOD was to ~ PAST,3.5,1.25,8.0,inf,inf,3.5,inf,inf,inf,inf,inf
MOD let ~ MOD must,2.0,2.0,8.0,inf,8.0,inf,inf,inf,inf,8.0,inf
MOD is to ~ MOD let,3.5,3.5,inf,inf,3.5,3.5,inf,8.0,inf,inf,inf
MOD can ~ MOD should,inf,1.0,3.0,inf,3.0,inf,inf,inf,inf,inf,inf
MOD let ~ MOD should,inf,7.0,7.0,inf,inf,0.6,inf,inf,inf,7.0,inf
MOD let ~ PAST,1.0,7.0,7.0,inf,inf,inf,inf,inf,7.0,7.0,inf
MOD can ~ MOD could,1.67,0.6,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ TO INF,6.0,inf,2.5,inf,1.33,inf,inf,6.0,inf,inf,inf
IMPV ~ PAST,0.75,6.0,inf,inf,6.0,inf,inf,inf,6.0,inf,inf
IMPV ~ PRES PART,0.4,inf,inf,inf,2.5,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,0.75,inf,2.5,inf,inf,inf,6.0,inf,inf,inf,inf
MOD could ~ MOD would,6.0,0.75,inf,6.0,inf,inf,inf,inf,6.0,inf,inf
MOD lest,1.33,2.5,inf,inf,2.5,inf,inf,inf,inf,inf,inf
MOD might ~ MOD would,6.0,1.33,6.0,inf,inf,6.0,inf,6.0,inf,inf,inf
IMPV ~ MOD should,1.33,6.0,inf,inf,6.0,inf,inf,inf,inf,2.5,inf
PAST PERF,6.0,inf,2.5,inf,inf,inf,6.0,1.33,inf,inf,inf
MOD should ~ MOD was to,inf,1.33,2.5,inf,inf,6.0,inf,6.0,inf,inf,inf
