,yqtl,Ø,qtl,impv,wqtl,wayq,ptcp,infc,infa
MOD may ~ MOD must,1.03,1.77,0.85,2.08,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD should,0.48,4.97,0.0,0.0,1.03,0.0,0.0,0.0,46.23
IMPV ~ MOD can,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD should,0.32,0.79,0.94,0.0,0.0,24.55,0.0,0.0,0.0
IMPV ~ MOD should,3.84,0.79,0.0,1.04,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,0.36,0.89,2.34,0.0,1.26,8.73,0.0,0.0,0.0
IMPV ~ PRES PART,2.16,0.0,0.0,4.47,1.26,0.0,0.0,0.0,0.0
MOD is to,0.96,1.52,0.0,2.6,1.26,0.0,0.0,0.0,0.0
MOD is to ~ MOD let,0.36,1.52,0.0,2.6,0.0,5.08,0.0,4.65,0.0
MOD was to ~ PAST,0.41,2.84,1.17,0.0,0.0,5.81,0.0,0.0,0.0
IMPV ~ TO INF,0.72,0.0,2.68,5.21,0.0,0.0,0.0,5.23,0.0
MOD can ~ MOD could,0.86,5.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD should,0.0,3.55,3.12,3.47,0.0,0.0,0.0,0.0,0.0
MOD should ~ MOD was to,0.0,2.66,3.75,0.0,0.0,3.38,0.0,6.98,0.0
MOD can ~ MOD let,0.24,2.66,1.56,4.17,0.0,0.0,0.0,0.0,0.0
IMPV ~ PAST,3.6,0.59,0.0,1.73,0.0,0.0,0.0,0.0,0.0
MOD can ~ TO INF,1.08,1.42,3.75,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,3.6,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0
MOD might ~ MOD would,0.24,2.66,1.56,0.0,0.0,3.38,0.0,6.98,0.0
MOD lest,1.08,1.42,0.0,4.17,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD might,0.24,0.59,7.04,0.0,0.0,0.0,0.0,16.8,0.0
PRES PART ~ TO INF,0.24,0.59,1.56,1.73,4.53,0.0,0.0,6.98,0.0
FUT ~ MOD must,1.92,0.0,3.75,0.0,0.0,0.0,4.98,0.0,0.0
MOD could ~ MOD would,0.58,4.73,0.0,0.0,1.89,0.0,0.0,0.0,0.0
PAST PERF,0.24,0.0,3.75,0.0,0.0,0.0,4.98,31.59,0.0
MOD would ~ TO INF,0.29,3.55,1.87,0.0,0.0,4.06,0.0,0.0,0.0
MOD lest ~ MOD might,1.44,0.0,4.69,2.08,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES PART,7.2,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST,0.29,0.71,4.69,0.0,0.0,10.17,0.0,0.0,0.0
MOD is to ~ MOD may,0.72,0.71,1.87,0.0,5.67,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,0.29,1.77,4.69,0.0,0.0,4.06,0.0,0.0,0.0
MOD shall ~ MOD would,0.29,0.71,9.38,0.0,2.27,0.0,0.0,0.0,0.0
MOD let ~ PRES PART,1.44,0.0,0.0,10.43,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD shall,0.29,0.71,1.87,5.21,0.0,4.06,0.0,0.0,0.0
FUT ~ FUT going-to,0.0,0.0,4.69,2.08,0.0,10.17,0.0,8.37,0.0
PAST ~ PAST PROG,1.44,0.0,1.87,0.0,2.27,4.06,0.0,0.0,0.0
MOD might ~ TO INF,0.0,0.89,6.25,0.0,0.0,0.0,0.0,28.0,0.0
MOD might ~ PAST,0.36,0.89,14.07,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ MOD should,0.36,0.89,0.0,0.0,0.0,5.08,0.0,28.0,0.0
MOD let ~ MOD would,0.36,0.0,0.0,0.0,2.83,30.55,0.0,0.0,0.0
MOD was to,0.0,2.37,2.34,0.0,2.83,0.0,0.0,10.47,0.0
MOD lest ~ TO INF,0.36,0.89,0.0,15.64,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD may,5.76,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD must,0.96,2.37,0.0,0.0,0.0,5.08,0.0,0.0,0.0
FUT ~ PRES PROG,0.0,0.0,0.0,31.29,0.0,0.0,9.97,0.0,0.0
PAST PERF ~ PRES,0.0,10.65,0.0,0.0,0.0,0.0,0.0,13.96,0.0
MOD can ~ PAST,0.48,0.0,9.38,0.0,0.0,6.77,0.0,0.0,0.0
HAB used to,0.0,0.0,0.0,0.0,3.78,20.34,0.0,13.96,0.0
IMPV ~ MOD is to,0.0,1.18,0.0,0.0,0.0,6.77,0.0,42.0,0.0
MOD VB ~ PRES,0.48,3.55,3.12,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,1.44,0.0,3.12,0.0,3.78,0.0,0.0,0.0,0.0
FUT ~ MOD is to,0.48,1.18,0.0,0.0,3.78,0.0,0.0,13.96,0.0
IMPV ~ MOD lest,4.32,0.0,0.0,3.47,0.0,0.0,0.0,0.0,0.0
?VB ~ PAST,0.48,1.18,9.38,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ PRES PERF,1.44,1.18,0.0,0.0,0.0,6.77,0.0,0.0,0.0
MOD should ~ PAST,1.44,0.0,3.12,0.0,0.0,0.0,0.0,13.96,0.0
MOD would ~ PRES PART,2.88,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ PRES,2.88,1.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD that be,0.0,1.77,0.0,0.0,22.68,0.0,0.0,0.0,0.0
PRES PART ~ PRES PERF,0.72,0.0,4.68,0.0,0.0,0.0,14.95,0.0,0.0
MOD may ~ PRES PERF,0.72,1.77,0.0,0.0,0.0,10.15,0.0,0.0,0.0
MOD may ~ PAST,0.72,0.0,4.68,0.0,5.66,0.0,0.0,0.0,0.0
MOD shall ~ PRES PERF,0.72,0.0,0.0,5.21,0.0,0.0,14.95,0.0,0.0
MOD may ~ MOD might,0.0,7.1,4.68,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,0.0,0.0,0.0,0.0,5.66,10.15,0.0,20.94,0.0
MOD lest ~ MOD would,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD might,0.0,1.77,0.0,20.84,0.0,0.0,0.0,0.0,0.0
MOD need not ~ MOD shall,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD should,0.0,7.1,4.68,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,0.0,1.77,0.0,0.0,0.0,40.68,0.0,0.0,0.0
MOD could ~ MOD must,0.72,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,0.0,3.55,9.37,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD that be,1.44,0.0,9.37,0.0,0.0,0.0,0.0,0.0,0.0
MOD need not ~ PRES,0.0,0.0,9.37,0.0,0.0,0.0,29.9,0.0,0.0
PAST PROG ~ PRES,0.0,0.0,9.37,10.41,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES do,1.44,0.0,9.37,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD should,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD that be,1.44,0.0,0.0,10.41,0.0,0.0,0.0,0.0,0.0
MOD must ~ MOD quest must,1.44,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PRES PROG,0.0,3.55,9.37,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD let,1.44,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD should,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ TO INF,1.44,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD must,1.44,3.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ TO INF,0.0,0.0,9.37,0.0,0.0,20.31,0.0,0.0,0.0
MOD lest ~ MOD shall,1.44,0.0,0.0,10.41,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD was to,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD quest must,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
MOD quest must ~ MOD shall,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
MOD might ~ PRES PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART ~ PRES PROG,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ TO INF,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
MOD must ~ PRES PART,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD lest,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES shall,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
FUT PERF ~ PRES,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT PROG ~ MOD shall,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD lest,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD is to,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to ~ MOD may,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES can,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES shall,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PERF,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ FUT PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PAST PERF,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
FUT ~ MOD,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ PRES PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PRES,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES shall,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD would,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST PROG,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD must,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would ~ PAST PERF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD that be,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD lest,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD ~ MOD let,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ TO INF,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD that be ~ TO INF,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD shall,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD VB ~ MOD can,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JJ ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD might,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ PRES PERF,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD ~ PRES,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PART,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ MOD that,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD need not,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD shall,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0
MOD is to ~ MOD should,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD let ~ VB,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PROG,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
IMPV ~ MOD,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV not ~ MOD must,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ PRES PERF,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to ~ MOD would,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD should,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to ~ PRES,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
