eng_TAMsimp,TOTAL,yqtl,Ø,qtl,wqtl,impv,wayq,ptcp,infc,cohoF,jussF,infa
PRES,2662,1152,721,290,172,93,68,109,32,13,7,5
FUT,2341,918,463,231,229,176,108,108,51,41,12,4
FUT ~ MOD shall,1744,687,385,166,306,69,30,60,31,6,4,0
IMPV,597,170,104,41,20,160,53,17,14,3,15,0
IMPV ~ MOD shall,502,301,96,6,47,20,11,2,13,0,1,5
PAST,444,137,99,84,13,3,81,13,10,3,0,1
FUT ~ PRES,427,186,94,56,22,20,16,18,7,4,3,1
MOD let,364,126,70,16,4,82,28,8,3,19,8,0
MOD must ~ MOD shall,336,150,113,8,31,6,8,7,11,0,1,1
MOD may,324,126,50,7,35,64,8,6,6,7,13,2
MOD is to ~ MOD shall,292,115,101,3,43,8,5,2,13,1,1,0
MOD can,269,89,80,36,11,16,12,15,5,2,3,0
MOD shall,220,75,50,15,18,6,22,6,23,0,0,5
MOD shall ~ PRES,149,52,46,10,21,4,6,1,6,3,0,0
FUT ~ MOD may,134,50,7,4,22,29,2,8,2,6,4,0
MOD would,120,49,15,25,3,1,8,6,6,7,0,0
IMPV ~ MOD let,112,30,15,12,1,30,11,4,3,1,4,1
PAST ~ PRES,111,41,35,23,0,1,4,2,2,2,1,0
MOD let ~ MOD may,104,46,12,7,0,20,2,1,2,1,13,0
PRES ~ PRES PART,96,43,20,8,10,5,3,5,2,0,0,0
PRES ~ PRES PERF,87,26,19,15,12,2,7,2,3,0,0,1
MOD should,83,16,30,5,1,12,6,4,6,1,2,0
FUT ~ MOD lest,72,34,2,1,5,21,0,0,0,0,9,0
MOD can ~ PRES,71,28,14,13,3,4,1,4,0,2,2,0
TO INF,71,13,9,12,6,17,3,1,3,3,3,1
FUT ~ MOD can,64,27,18,8,1,1,3,4,0,1,1,0
MOD may ~ PRES,62,30,12,6,5,3,1,0,2,0,3,0
PRES PERF,59,20,6,15,5,5,4,0,2,1,0,1
MOD may ~ MOD shall,57,22,17,2,10,1,3,2,0,0,0,0
IMPV ~ PRES,55,28,6,6,4,7,2,0,0,0,2,0
MOD can ~ MOD may,50,18,10,2,2,16,2,0,0,0,0,0
PRES PART,49,19,8,11,3,2,1,2,3,0,0,0
PRES ~ TO INF,45,16,8,3,5,6,1,3,2,0,1,0
MOD should ~ PRES,45,17,12,3,1,6,2,2,0,0,2,0
MOD can ~ MOD shall,44,21,4,8,2,5,3,1,0,0,0,0
FUT ~ MOD would,42,19,8,7,0,4,2,0,1,1,0,0
MOD must,38,18,9,5,2,0,3,0,1,0,0,0
MOD could,38,5,14,7,0,1,6,5,0,0,0,0
MOD shall ~ TO INF,38,13,5,4,8,3,0,0,5,0,0,0
PAST ~ PRES PERF,33,15,5,9,1,0,3,0,0,0,0,0
MOD may ~ TO INF,33,12,2,0,1,12,1,0,0,5,0,0
MOD shall ~ MOD should,31,5,8,5,1,7,3,1,1,0,0,0
IMPV ~ MOD may,30,7,5,1,3,7,2,0,4,0,1,0
FUT ~ TO INF,29,12,2,4,3,2,2,0,2,2,0,0
MOD would ~ PAST,29,5,13,1,6,0,3,0,1,0,0,0
MOD would ~ PRES,23,12,3,7,0,0,0,1,0,0,0,0
FUT ~ IMPV,23,9,7,0,0,5,2,0,0,0,0,0
MOD let ~ PRES,22,6,4,4,0,1,2,3,1,1,0,0
PAST ~ PRES PART,21,7,5,4,2,0,3,0,0,0,0,0
FUT ~ MOD let,21,9,3,3,1,2,2,0,1,0,0,0
MOD shall ~ PRES PART,20,9,5,1,4,1,0,0,0,0,0,0
MOD should ~ TO INF,19,4,9,1,0,0,2,1,2,0,0,0
MOD must ~ PRES,18,4,8,4,1,1,0,0,0,0,0,0
FUT ~ PRES PART,17,7,4,1,3,0,0,1,0,1,0,0
MOD let ~ TO INF,17,5,3,0,0,5,0,0,0,4,0,0
PRES ~ PRES PROG,16,8,1,2,1,1,2,0,0,1,0,0
MOD lest ~ MOD may,16,10,2,0,0,1,0,1,0,1,1,0
MOD let ~ MOD shall,15,6,2,3,0,1,1,1,1,0,0,0
FUT ~ PAST,15,3,2,3,5,0,0,1,1,0,0,0
MOD shall ~ PAST,14,6,3,2,2,0,0,0,0,0,1,0
MOD lest ~ PRES,14,4,1,0,3,6,0,0,0,0,0,0
IMPV ~ MOD must,14,0,5,1,0,3,3,0,2,0,0,0
MOD should ~ MOD would,14,5,2,3,0,1,3,0,0,0,0,0
PAST ~ TO INF,13,3,5,1,0,0,2,0,1,0,1,0
FUT ~ MOD should,12,3,7,0,1,0,0,0,0,0,0,1
HAB used to ~ PAST,12,4,3,0,0,0,2,3,0,0,0,0
MOD might,11,2,1,3,1,0,3,0,1,0,0,0
IMPV ~ MOD can,11,0,11,0,0,0,0,0,0,0,0,0
MOD may ~ MOD must,11,4,4,1,0,1,0,0,0,1,0,0
MOD is to,10,4,3,0,1,2,0,0,0,0,0,0
PAST ~ PAST PERF,10,2,2,2,1,0,3,0,0,0,0,0
MOD was to ~ PAST,9,2,4,1,0,0,2,0,0,0,0,0
MOD let ~ MOD must,9,3,3,1,0,1,0,0,0,0,1,0
MOD is to ~ MOD let,9,2,2,0,0,2,2,0,1,0,0,0
MOD can ~ MOD should,8,0,4,2,0,2,0,0,0,0,0,0
MOD let ~ MOD should,8,0,1,1,0,0,5,0,0,0,1,0
MOD let ~ PAST,8,4,1,1,0,0,0,0,0,1,1,0
MOD can ~ MOD could,8,3,5,0,0,0,0,0,0,0,0,0
IMPV ~ TO INF,7,1,0,2,0,3,0,0,1,0,0,0
IMPV ~ PAST,7,4,1,0,0,1,0,0,0,1,0,0
IMPV ~ PRES PART,7,5,0,0,0,2,0,0,0,0,0,0
FUT ~ MOD must,7,4,0,2,0,0,0,1,0,0,0,0
MOD could ~ MOD would,7,1,4,0,1,0,0,0,0,1,0,0
MOD lest,7,3,2,0,0,2,0,0,0,0,0,0
MOD might ~ MOD would,7,1,3,1,0,0,1,0,1,0,0,0
IMPV ~ MOD should,7,3,1,0,0,1,0,0,0,0,2,0
PAST PERF,7,1,0,2,0,0,0,1,3,0,0,0
MOD should ~ MOD was to,7,0,3,2,0,0,1,0,1,0,0,0
FUT ~ FUT going-to,6,0,0,2,0,1,2,0,1,0,0,0
PAST ~ PAST PROG,6,3,0,1,1,0,1,0,0,0,0,0
MOD is to ~ MOD may,6,2,1,1,2,0,0,0,0,0,0,0
PRES PART ~ TO INF,6,1,1,1,2,0,0,0,1,0,0,0
MOD can ~ TO INF,6,2,1,2,0,0,0,0,0,0,1,0
MOD could ~ PAST,6,1,1,2,0,0,2,0,0,0,0,0
MOD could ~ MOD might,6,1,1,2,0,0,0,0,2,0,0,0
FUT ~ PRES PERF,6,1,2,2,0,0,1,0,0,0,0,0
MOD lest ~ MOD might,6,3,0,2,0,1,0,0,0,0,0,0
?VB ~ MOD let,6,1,1,1,0,1,0,0,1,1,0,0
MOD may ~ PRES PART,6,2,0,0,0,0,0,0,2,1,1,0
FUT going-to ~ MOD shall,6,1,1,1,0,2,1,0,0,0,0,0
MOD shall ~ MOD would,6,1,1,3,1,0,0,0,0,0,0,0
MOD is to ~ MOD must,5,2,2,0,0,0,1,0,0,0,0,0
MOD can ~ PRES PART,5,4,1,0,0,0,0,0,0,0,0,0
MOD would ~ TO INF,5,0,3,1,0,0,1,0,0,0,0,0
MOD was to,5,0,2,1,1,0,0,0,1,0,0,0
MOD lest ~ TO INF,5,1,1,0,0,3,0,0,0,0,0,0
MOD can ~ MOD let,5,1,2,1,0,1,0,0,0,0,0,0
MOD let ~ PRES PART,5,2,0,0,0,3,0,0,0,0,0,0
MOD might ~ PAST,5,1,1,3,0,0,0,0,0,0,0,0
MOD might ~ MOD should,5,1,1,0,0,0,1,0,2,0,0,0
MOD VB ~ MOD may,5,4,0,1,0,0,0,0,0,0,0,0
MOD can ~ PAST,4,1,0,2,0,0,1,0,0,0,0,0
MOD VB ~ PRES,4,1,2,1,0,0,0,0,0,0,0,0
MOD might ~ TO INF,4,0,0,2,0,0,0,0,2,0,0,0
MOD should ~ PAST,4,2,0,1,0,0,0,0,1,0,0,0
FUT ~ MOD is to,4,1,1,0,1,0,0,0,1,0,0,0
HAB used to,4,0,0,0,1,0,2,0,1,0,0,0
PAST PERF ~ PRES,4,0,3,0,0,0,0,0,1,0,0,0
?VB ~ PAST,4,1,1,2,0,0,0,0,0,0,0,0
FUT ~ PRES PROG,4,0,0,0,0,3,0,1,0,0,0,0
IMPV ~ MOD lest,4,3,0,0,0,1,0,0,0,0,0,0
PRES PERF ~ TO INF,4,2,0,1,1,0,0,0,0,0,0,0
MOD can ~ MOD might,3,0,1,0,0,2,0,0,0,0,0,0
MOD could ~ MOD must,3,0,0,2,0,0,0,0,0,1,0,0
PAST PROG,3,0,0,0,1,0,1,0,1,0,0,0
?VB,3,0,0,1,0,0,1,0,1,0,0,0
MOD shall ~ PRES PERF,3,1,0,0,0,1,0,1,0,0,0,0
