eng_TAMsimp,yqtl,Ø,qtl,wqtl,impv,wayq,ptcp,infc,cohoF,jussF,infa
PRES,1152,721,290,172,93,68,109,32,13,7,5
FUT,918,463,231,229,176,108,108,51,41,12,4
FUT ~ MOD shall,687,385,166,306,69,30,60,31,6,4,0
IMPV,170,104,41,20,160,53,17,14,3,15,0
IMPV ~ MOD shall,301,96,6,47,20,11,2,13,0,1,5
PAST,137,99,84,13,3,81,13,10,3,0,1
FUT ~ PRES,186,94,56,22,20,16,18,7,4,3,1
MOD let,126,70,16,4,82,28,8,3,19,8,0
MOD must ~ MOD shall,150,113,8,31,6,8,7,11,0,1,1
MOD may,126,50,7,35,64,8,6,6,7,13,2
MOD is to ~ MOD shall,115,101,3,43,8,5,2,13,1,1,0
MOD can,89,80,36,11,16,12,15,5,2,3,0
MOD shall,75,50,15,18,6,22,6,23,0,0,5
MOD shall ~ PRES,52,46,10,21,4,6,1,6,3,0,0
FUT ~ MOD may,50,7,4,22,29,2,8,2,6,4,0
MOD would,49,15,25,3,1,8,6,6,7,0,0
IMPV ~ MOD let,30,15,12,1,30,11,4,3,1,4,1
PAST ~ PRES,41,35,23,0,1,4,2,2,2,1,0
MOD let ~ MOD may,46,12,7,0,20,2,1,2,1,13,0
PRES ~ PRES PART,43,20,8,10,5,3,5,2,0,0,0
PRES ~ PRES PERF,26,19,15,12,2,7,2,3,0,0,1
MOD should,16,30,5,1,12,6,4,6,1,2,0
FUT ~ MOD lest,34,2,1,5,21,0,0,0,0,9,0
MOD can ~ PRES,28,14,13,3,4,1,4,0,2,2,0
TO INF,13,9,12,6,17,3,1,3,3,3,1
FUT ~ MOD can,27,18,8,1,1,3,4,0,1,1,0
MOD may ~ PRES,30,12,6,5,3,1,0,2,0,3,0
PRES PERF,20,6,15,5,5,4,0,2,1,0,1
MOD may ~ MOD shall,22,17,2,10,1,3,2,0,0,0,0
IMPV ~ PRES,28,6,6,4,7,2,0,0,0,2,0
MOD can ~ MOD may,18,10,2,2,16,2,0,0,0,0,0
PRES PART,19,8,11,3,2,1,2,3,0,0,0
PRES ~ TO INF,16,8,3,5,6,1,3,2,0,1,0
MOD should ~ PRES,17,12,3,1,6,2,2,0,0,2,0
MOD can ~ MOD shall,21,4,8,2,5,3,1,0,0,0,0
FUT ~ MOD would,19,8,7,0,4,2,0,1,1,0,0
MOD must,18,9,5,2,0,3,0,1,0,0,0
MOD could,5,14,7,0,1,6,5,0,0,0,0
MOD shall ~ TO INF,13,5,4,8,3,0,0,5,0,0,0
PAST ~ PRES PERF,15,5,9,1,0,3,0,0,0,0,0
MOD may ~ TO INF,12,2,0,1,12,1,0,0,5,0,0
MOD shall ~ MOD should,5,8,5,1,7,3,1,1,0,0,0
IMPV ~ MOD may,7,5,1,3,7,2,0,4,0,1,0
FUT ~ TO INF,12,2,4,3,2,2,0,2,2,0,0
MOD would ~ PAST,5,13,1,6,0,3,0,1,0,0,0
MOD would ~ PRES,12,3,7,0,0,0,1,0,0,0,0
FUT ~ IMPV,9,7,0,0,5,2,0,0,0,0,0
MOD let ~ PRES,6,4,4,0,1,2,3,1,1,0,0
PAST ~ PRES PART,7,5,4,2,0,3,0,0,0,0,0
FUT ~ MOD let,9,3,3,1,2,2,0,1,0,0,0
MOD shall ~ PRES PART,9,5,1,4,1,0,0,0,0,0,0
MOD should ~ TO INF,4,9,1,0,0,2,1,2,0,0,0
MOD must ~ PRES,4,8,4,1,1,0,0,0,0,0,0
FUT ~ PRES PART,7,4,1,3,0,0,1,0,1,0,0
MOD let ~ TO INF,5,3,0,0,5,0,0,0,4,0,0
PRES ~ PRES PROG,8,1,2,1,1,2,0,0,1,0,0
MOD lest ~ MOD may,10,2,0,0,1,0,1,0,1,1,0
MOD let ~ MOD shall,6,2,3,0,1,1,1,1,0,0,0
FUT ~ PAST,3,2,3,5,0,0,1,1,0,0,0
MOD shall ~ PAST,6,3,2,2,0,0,0,0,0,1,0
MOD lest ~ PRES,4,1,0,3,6,0,0,0,0,0,0
IMPV ~ MOD must,0,5,1,0,3,3,0,2,0,0,0
MOD should ~ MOD would,5,2,3,0,1,3,0,0,0,0,0
PAST ~ TO INF,3,5,1,0,0,2,0,1,0,1,0
FUT ~ MOD should,3,7,0,1,0,0,0,0,0,0,1
HAB used to ~ PAST,4,3,0,0,0,2,3,0,0,0,0
MOD might,2,1,3,1,0,3,0,1,0,0,0
IMPV ~ MOD can,0,11,0,0,0,0,0,0,0,0,0
MOD may ~ MOD must,4,4,1,0,1,0,0,0,1,0,0
MOD is to,4,3,0,1,2,0,0,0,0,0,0
PAST ~ PAST PERF,2,2,2,1,0,3,0,0,0,0,0
MOD was to ~ PAST,2,4,1,0,0,2,0,0,0,0,0
MOD let ~ MOD must,3,3,1,0,1,0,0,0,0,1,0
MOD is to ~ MOD let,2,2,0,0,2,2,0,1,0,0,0
MOD can ~ MOD should,0,4,2,0,2,0,0,0,0,0,0
MOD let ~ MOD should,0,1,1,0,0,5,0,0,0,1,0
MOD let ~ PAST,4,1,1,0,0,0,0,0,1,1,0
MOD can ~ MOD could,3,5,0,0,0,0,0,0,0,0,0
IMPV ~ TO INF,1,0,2,0,3,0,0,1,0,0,0
IMPV ~ PAST,4,1,0,0,1,0,0,0,1,0,0
IMPV ~ PRES PART,5,0,0,0,2,0,0,0,0,0,0
FUT ~ MOD must,4,0,2,0,0,0,1,0,0,0,0
MOD could ~ MOD would,1,4,0,1,0,0,0,0,1,0,0
MOD lest,3,2,0,0,2,0,0,0,0,0,0
MOD might ~ MOD would,1,3,1,0,0,1,0,1,0,0,0
IMPV ~ MOD should,3,1,0,0,1,0,0,0,0,2,0
PAST PERF,1,0,2,0,0,0,1,3,0,0,0
MOD should ~ MOD was to,0,3,2,0,0,1,0,1,0,0,0
FUT ~ FUT going-to,0,0,2,0,1,2,0,1,0,0,0
PAST ~ PAST PROG,3,0,1,1,0,1,0,0,0,0,0
MOD is to ~ MOD may,2,1,1,2,0,0,0,0,0,0,0
PRES PART ~ TO INF,1,1,1,2,0,0,0,1,0,0,0
MOD can ~ TO INF,2,1,2,0,0,0,0,0,0,1,0
MOD could ~ PAST,1,1,2,0,0,2,0,0,0,0,0
MOD could ~ MOD might,1,1,2,0,0,0,0,2,0,0,0
FUT ~ PRES PERF,1,2,2,0,0,1,0,0,0,0,0
MOD lest ~ MOD might,3,0,2,0,1,0,0,0,0,0,0
?VB ~ MOD let,1,1,1,0,1,0,0,1,1,0,0
MOD may ~ PRES PART,2,0,0,0,0,0,0,2,1,1,0
FUT going-to ~ MOD shall,1,1,1,0,2,1,0,0,0,0,0
MOD shall ~ MOD would,1,1,3,1,0,0,0,0,0,0,0
MOD is to ~ MOD must,2,2,0,0,0,1,0,0,0,0,0
MOD can ~ PRES PART,4,1,0,0,0,0,0,0,0,0,0
MOD would ~ TO INF,0,3,1,0,0,1,0,0,0,0,0
MOD was to,0,2,1,1,0,0,0,1,0,0,0
MOD lest ~ TO INF,1,1,0,0,3,0,0,0,0,0,0
MOD can ~ MOD let,1,2,1,0,1,0,0,0,0,0,0
MOD let ~ PRES PART,2,0,0,0,3,0,0,0,0,0,0
MOD might ~ PAST,1,1,3,0,0,0,0,0,0,0,0
MOD might ~ MOD should,1,1,0,0,0,1,0,2,0,0,0
MOD VB ~ MOD may,4,0,1,0,0,0,0,0,0,0,0
MOD can ~ PAST,1,0,2,0,0,1,0,0,0,0,0
MOD VB ~ PRES,1,2,1,0,0,0,0,0,0,0,0
MOD might ~ TO INF,0,0,2,0,0,0,0,2,0,0,0
MOD should ~ PAST,2,0,1,0,0,0,0,1,0,0,0
FUT ~ MOD is to,1,1,0,1,0,0,0,1,0,0,0
HAB used to,0,0,0,1,0,2,0,1,0,0,0
PAST PERF ~ PRES,0,3,0,0,0,0,0,1,0,0,0
?VB ~ PAST,1,1,2,0,0,0,0,0,0,0,0
FUT ~ PRES PROG,0,0,0,0,3,0,1,0,0,0,0
IMPV ~ MOD lest,3,0,0,0,1,0,0,0,0,0,0
PRES PERF ~ TO INF,2,0,1,1,0,0,0,0,0,0,0
MOD can ~ MOD might,0,1,0,0,2,0,0,0,0,0,0
MOD could ~ MOD must,0,0,2,0,0,0,0,0,1,0,0
PAST PROG,0,0,0,1,0,1,0,1,0,0,0
?VB,0,0,1,0,0,1,0,1,0,0,0
MOD shall ~ PRES PERF,1,0,0,0,1,0,1,0,0,0,0
FUT PROG ~ PRES,2,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD that be,0,1,0,2,0,0,0,0,0,0,0
MOD need not ~ MOD shall,3,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES PERF,1,1,0,0,0,1,0,0,0,0,0
MOD would ~ PRES PART,2,1,0,0,0,0,0,0,0,0,0
MOD could ~ MOD should,0,2,1,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,0,1,0,0,0,2,0,0,0,0,0
MOD may ~ PAST,1,0,1,1,0,0,0,0,0,0,0
MOD may ~ MOD might,0,2,1,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF,1,0,1,0,0,0,1,0,0,0,0
