eng_TAMsimp,imparfait,passé_comp,passé_simp
PAST,1.76,3.3,1.47
PAST ~ PRES,0.11,9.25,inf
PRES,10.0,0.5,3.12
MOD would ~ PAST,0.0,inf,inf
FUT,1.71,0.58,inf
FUT ~ MOD shall,1.43,1.83,3.25
MOD would,0.07,inf,14.0
PRES PERF,inf,0.0,inf
PAST ~ PRES PART,0.67,4.0,4.0
PAST ~ PRES PERF,inf,0.0,inf
FUT ~ PRES,2.0,0.5,inf
PAST ~ PAST PROG,0.25,inf,4.0
PRES ~ PRES PART,1.0,1.0,inf
HAB used to ~ PAST,0.0,inf,inf
HAB used to ~ MOD would,0.0,inf,inf
HAB used to,0.5,inf,2.0
MOD is to ~ MOD shall,inf,inf,0.0
FUT ~ MOD lest,0.0,inf,inf
PAST ~ TO INF,inf,inf,0.0
IMPV ~ MOD would,0.0,inf,inf
PRES PART,1.0,inf,1.0
FUT ~ MOD may,inf,0.0,inf
IMPV ~ PRES,inf,inf,0.0
FUT ~ MOD can,inf,0.0,inf
HAB used to ~ PAST PROG,0.0,inf,inf
IMPV,inf,inf,0.0
TO INF,0.0,inf,inf
MOD may,0.0,inf,inf
MOD may ~ PRES,0.0,inf,inf
MOD shall,inf,inf,0.0
MOD should,0.0,inf,inf
MOD should ~ PRES,0.0,inf,inf
PRES ~ PRES PERF,inf,0.0,inf
MOD was to ~ PAST,0.0,inf,inf
MOD would ~ PRES PART,0.0,inf,inf
MOD ~ MOD would,0.0,inf,inf
PAST ~ PAST PERF,inf,inf,0.0
PRES PERF ~ TO INF,inf,0.0,inf
MOD was to,0.0,inf,inf
