,PRES,PAST,PRES PART,FUT,PAST PROG,PRES PROG,PRES PERF,TO INF,PAST PERF,FUT going-to,MOD can,MOD may,MOD would,IMPV,MOD could,MOD is to,MOD must,MOD should,PAST PERF PROG,PRES PERF PROG,FUT PROG,MOD let,MOD was to,MOD shall,MOD might,MOD need not,HAB used to,PRES PROG keep,VB
PRES,53.71,0.04,0.27,0.16,0.02,0.59,0.69,0.1,0.04,0.26,0.26,1.07,0.3,0.67,0.0,0.4,0.4,0.0,0.0,0.24,0.0,1.21,0.0,0.0,0.0,0.0,0.0,inf,0.0
PAST,0.03,60.1,0.46,0.01,1.94,0.04,0.65,0.74,1.58,0.0,0.0,0.54,1.49,0.0,2.93,0.0,0.0,0.58,5.47,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,0.2,0.31,29.25,0.48,0.46,0.47,0.15,0.82,0.0,0.12,0.99,0.47,0.0,0.0,0.0,0.68,1.07,0.0,0.0,1.49,11.25,0.0,0.0,7.47,0.0,0.0,0.0,0.0,0.0
FUT,0.15,0.0,0.03,53.01,0.0,0.1,0.0,1.16,0.0,32.32,1.25,0.0,0.0,0.0,0.0,1.81,6.7,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,0.0,1.04,1.03,0.14,79.85,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG,0.18,0.05,0.48,1.88,0.0,69.42,0.43,0.23,0.0,4.4,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF,0.23,1.3,0.35,0.0,0.0,0.26,85.28,0.0,0.0,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,7.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall,0.1,0.06,0.0,36.82,0.0,0.0,0.54,1.89,0.0,3.98,12.12,0.0,0.0,0.0,0.0,28.73,18.63,0.0,0.0,0.0,0.0,0.0,0.0,55.22,0.0,0.0,0.0,0.0,0.0
TO INF,0.07,0.15,0.1,1.76,0.29,0.0,0.63,172.77,0.0,0.0,8.78,8.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,inf
PAST PERF,0.0,0.72,0.23,0.0,1.33,0.0,0.0,0.0,498.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0
MOD is to,0.64,0.0,0.94,2.03,0.0,0.0,0.0,6.51,0.0,0.0,0.0,0.0,19.68,0.0,0.0,106.08,0.0,0.0,0.0,0.0,69.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could,0.0,3.49,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may,0.62,0.0,0.0,2.59,0.0,0.0,0.0,0.0,0.0,0.0,21.53,88.61,0.0,112.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should,0.13,0.0,0.0,0.0,0.0,0.0,0.0,15.39,0.0,0.0,0.0,0.0,63.65,0.0,0.0,0.0,0.0,987.38,0.0,0.0,0.0,0.0,125.67,0.0,0.0,0.0,0.0,0.0,0.0
IMPV,0.6,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.72,0.0,460.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can,0.94,0.0,0.0,0.0,0.0,0.0,0.0,5.01,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PERF PROG,0.4,0.0,0.82,0.0,0.0,5.77,5.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD would,0.2,0.0,0.0,2.03,0.0,2.87,0.0,0.0,0.0,0.0,0.0,0.0,376.64,0.0,0.0,0.0,0.0,84.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD was to,0.0,0.77,1.09,0.0,7.33,0.0,0.0,18.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.67,0.0,0.0,0.0,0.0,0.0,0.0
MOD let,0.47,0.0,0.0,0.0,0.0,0.0,0.0,15.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD must,0.0,0.0,0.0,28.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT going-to,0.0,0.0,6.56,14.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VB,0.0,4.64,0.0,14.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG keep,1.41,0.0,0.0,0.0,0.0,20.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD might,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
PAST PERF PROG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAB used to,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD that VB,0.0,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
