period,SBH,SBH,LBH,SBH,SBH,SBH,SBH,SBH,SBH,SBH,LBH,LBH,SBH,SBH,SBH,LBH,LBH,LBH,LBH,LBH
genre,prose,instruction,prose,instruction,prose,list,instruction,prose,poetry,list,prose,poetry,instruction,prose,prophetic,list,prose,list,prose,list
domain2,Q,Q,Q,D,N,N,?,D,Q,Q,N,Q,N,?,Q,Q,?,N,D,?
eng_TAMsimp,,,,,,,,,,,,,,,,,,,,
FUT,343,60,27,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
FUT ~ MOD shall,178,147,58,1,0,0,5,2,5,8,0,6,0,0,0,0,0,0,0,0
IMPV ~ MOD shall,93,281,0,9,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD shall,44,207,4,3,0,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0
PRES,110,90,27,34,1,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0
IMPV,169,31,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD shall,28,137,0,22,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD shall,11,129,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST,16,3,10,0,52,2,0,10,4,0,10,3,3,4,1,0,2,1,1,0
MOD may,32,19,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES,2,5,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES,33,12,2,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES,14,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD may,15,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ TO INF,6,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MOD may ~ TO INF,14,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PERF,13,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PRES PERF,9,5,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST,3,0,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
MOD would,5,0,0,0,6,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0
PRES ~ PRES PART,6,7,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TO INF,11,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let,11,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD shall,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PART,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES,4,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD let,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES PART,2,0,0,0,4,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0
PRES ~ TO INF,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD lest,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART,4,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD may,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD shall,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD let,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD would,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ TO INF,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ TO INF,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD shall,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ IMPV,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ TO INF,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PAST,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PAST,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PART,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD may,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PROG,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD must,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD would,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PAST,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD should,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ TO INF,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
MOD shall ~ PAST,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD let,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD must,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ TO INF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD lest,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ MOD would,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD can,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD would,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ TO INF,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD may,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES PERF,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MOD was to,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PERF,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD might,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD is to,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PERF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD that be ~ TO INF,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ PRES,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD must,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PROG,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to ~ PAST,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FUT ~ FUT PERF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD shall,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PART,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PART,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ PRES,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD must,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PART,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD may,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ PRES PART,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD let,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES PART,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT going-to,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PROG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD VB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD can,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ PRES,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD might,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MOD let ~ MOD must,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD may,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD should,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD that be,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD is to,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD would,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MOD could ~ MOD would,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
