eng_TAMsimp,TOTAL,"('SBH', 'prose', 'Q')","('SBH', 'instruction', 'Q')","('LBH', 'prose', 'Q')","('SBH', 'instruction', 'D')","('SBH', 'prose', 'N')","('SBH', 'list', 'N')","('SBH', 'instruction', '?')","('SBH', 'prose', 'D')","('SBH', 'poetry', 'Q')","('SBH', 'list', 'Q')","('LBH', 'prose', 'N')","('LBH', 'poetry', 'Q')","('SBH', 'instruction', 'N')","('SBH', 'prose', '?')","('SBH', 'prophetic', 'Q')","('LBH', 'list', 'Q')","('LBH', 'prose', '?')","('LBH', 'list', 'N')","('LBH', 'prose', 'D')","('LBH', 'list', '?')"
MOD let,16,11,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD shall,16,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PART,15,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ PRES,15,4,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD let,14,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES PART,14,2,0,0,0,4,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0
PRES ~ TO INF,13,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD lest,13,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PART,13,4,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES,12,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD may,11,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD shall,10,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD let,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD would,8,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ TO INF,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ TO INF,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES,7,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD shall,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ IMPV,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ TO INF,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PAST,6,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PAST,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PART,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD may,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PROG,5,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD must,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD would,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PAST,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ MOD should,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ TO INF,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
MOD shall ~ PAST,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD let,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD must,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ TO INF,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD lest,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ MOD would,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD can,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD would,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ TO INF,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD may,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PRES PERF,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MOD was to,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PERF,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD should,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD might,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD is to,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PERF,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD that be ~ TO INF,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ PRES,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD must,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES PROG,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD was to ~ PAST,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
FUT ~ FUT PERF,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD shall,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PART,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PART,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ PRES,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD must,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PART,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD may,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ PRES PART,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD let,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES PART,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT going-to,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PROG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD VB,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD can,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ PRES,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD might,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MOD let ~ MOD must,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD may,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD should,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD that be,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD is to,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD would,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MOD could ~ MOD would,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD VB,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD might ~ MOD would,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD must,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ TO INF,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD may,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ MOD should,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD quest must ~ MOD shall,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD ~ MOD would,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST PROG,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PAST PERF ~ PRES PART,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MOD may ~ PRES PART,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAB used to,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MOD could,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD can,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ TO INF,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
